District,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Gender,Age,Indicator,Value
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Male,00 - 14 Years,Service,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Male,00 - 14 Years,Study,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Male,00 - 14 Years,Marriage,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Male,00 - 14 Years,Dependent,50
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Male,00 - 14 Years,Conflict,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Male,00 - 14 Years,Others,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Male,00 - 14 Years,Reasons not stated,2
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Male,15 - 59 Years,Agriculture,1
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Male,15 - 59 Years,Business,44
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Male,15 - 59 Years,Service,11
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Male,15 - 59 Years,Study,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Male,15 - 59 Years,Marriage,1
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Male,15 - 59 Years,Dependent,2
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Male,15 - 59 Years,Conflict,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Male,15 - 59 Years,Others,9
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Male,15 - 59 Years,Reasons not stated,18
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Male,60+ Years,Agriculture,1
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Male,60+ Years,Business,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Male,60+ Years,Service,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Male,60+ Years,Study,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Male,60+ Years,Marriage,8
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Male,60+ Years,Dependent,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Male,60+ Years,Conflict,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Male,60+ Years,Others,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Male,60+ Years,Reasons not stated,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Female,00 - 14 Years,Agriculture,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Female,00 - 14 Years,Business,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Female,00 - 14 Years,Service,8
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Female,00 - 14 Years,Study,8
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Female,00 - 14 Years,Marriage,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Female,00 - 14 Years,Dependent,41
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Female,00 - 14 Years,Conflict,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Female,00 - 14 Years,Others,8
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Female,00 - 14 Years,Reasons not stated,7
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Female,15 - 59 Years,Agriculture,4
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Female,15 - 59 Years,Business,2
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Female,15 - 59 Years,Service,1
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Female,15 - 59 Years,Study,8
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Female,15 - 59 Years,Marriage,324
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Female,15 - 59 Years,Dependent,7
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Female,15 - 59 Years,Conflict,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Female,15 - 59 Years,Others,8
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Female,15 - 59 Years,Reasons not stated,47
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Female,60+ Years,Agriculture,1
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Female,60+ Years,Business,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Female,60+ Years,Service,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Female,60+ Years,Study,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Female,60+ Years,Marriage,76
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Female,60+ Years,Dependent,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Female,60+ Years,Conflict,1
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Female,60+ Years,Others,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Female,60+ Years,Reasons not stated,16
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Male,00 - 14 Years,Agriculture,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Male,00 - 14 Years,Business,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Male,00 - 14 Years,Service,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Male,00 - 14 Years,Study,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Male,00 - 14 Years,Marriage,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Male,00 - 14 Years,Dependent,112
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Male,00 - 14 Years,Conflict,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Male,00 - 14 Years,Others,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Male,00 - 14 Years,Reasons not stated,112
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Male,15 - 59 Years,Agriculture,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Male,15 - 59 Years,Business,8
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Male,15 - 59 Years,Service,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Male,15 - 59 Years,Study,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Male,15 - 59 Years,Marriage,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Male,15 - 59 Years,Dependent,58
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Male,15 - 59 Years,Conflict,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Male,15 - 59 Years,Others,16
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Male,15 - 59 Years,Reasons not stated,17
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Male,60+ Years,Agriculture,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Male,60+ Years,Business,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Male,60+ Years,Service,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Male,60+ Years,Study,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Male,60+ Years,Marriage,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Male,60+ Years,Dependent,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Male,60+ Years,Conflict,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Male,60+ Years,Others,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Male,60+ Years,Reasons not stated,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Female,00 - 14 Years,Agriculture,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Female,00 - 14 Years,Business,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Female,00 - 14 Years,Service,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Female,00 - 14 Years,Study,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Female,00 - 14 Years,Marriage,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Female,00 - 14 Years,Dependent,126
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Female,00 - 14 Years,Conflict,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Female,00 - 14 Years,Others,17
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Female,00 - 14 Years,Reasons not stated,75
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Female,15 - 59 Years,Agriculture,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Female,15 - 59 Years,Business,8
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Female,15 - 59 Years,Service,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Female,15 - 59 Years,Study,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Female,15 - 59 Years,Marriage,88
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Female,15 - 59 Years,Dependent,8
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Female,15 - 59 Years,Conflict,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Female,15 - 59 Years,Others,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Female,15 - 59 Years,Reasons not stated,41
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Female,60+ Years,Agriculture,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Female,60+ Years,Business,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Female,60+ Years,Service,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Female,60+ Years,Study,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Female,60+ Years,Marriage,8
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Female,60+ Years,Dependent,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Female,60+ Years,Conflict,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Female,60+ Years,Others,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Female,60+ Years,Reasons not stated,0
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,Male,00 - 14 Years,Agriculture,0
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,Male,00 - 14 Years,Business,0
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,Male,00 - 14 Years,Service,0
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,Male,00 - 14 Years,Study,24
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,Male,00 - 14 Years,Marriage,0
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,Male,00 - 14 Years,Dependent,40
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,Male,00 - 14 Years,Conflict,0
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,Male,00 - 14 Years,Others,8
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,Male,00 - 14 Years,Reasons not stated,8
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,Male,15 - 59 Years,Agriculture,8
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,Male,15 - 59 Years,Business,15
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,Male,15 - 59 Years,Service,0
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,Male,15 - 59 Years,Study,0
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,Male,15 - 59 Years,Marriage,0
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,Male,15 - 59 Years,Dependent,0
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,Male,15 - 59 Years,Conflict,0
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,Male,15 - 59 Years,Others,8
