District,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Age-Group,Gender,Major field of study,In number
Achham,Seti,Hill,Far-Western,2068/69,2011/12,25-29 Yrs,Male,Mathematics and statistics,20
Achham,Seti,Hill,Far-Western,2068/69,2011/12,25-29 Yrs,Male,"Agriculture, forestry & fishery",2
Achham,Seti,Hill,Far-Western,2068/69,2011/12,25-29 Yrs,Male,Computing,2
Achham,Seti,Hill,Far-Western,2068/69,2011/12,25-29 Yrs,Male,Journalism and information,1
Achham,Seti,Hill,Far-Western,2068/69,2011/12,25-29 Yrs,Male,Others,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,25-29 Yrs,Male,Not stated,230
Achham,Seti,Hill,Far-Western,2068/69,2011/12,30-34 Yrs,Male,Humanities and arts,144
Achham,Seti,Hill,Far-Western,2068/69,2011/12,30-34 Yrs,Male,Business & administration,63
Achham,Seti,Hill,Far-Western,2068/69,2011/12,30-34 Yrs,Male,Education,382
Achham,Seti,Hill,Far-Western,2068/69,2011/12,30-34 Yrs,Male,Science,20
Achham,Seti,Hill,Far-Western,2068/69,2011/12,30-34 Yrs,Male,Health,31
Achham,Seti,Hill,Far-Western,2068/69,2011/12,30-34 Yrs,Male,"Engineering, manuf. and construction",5
Achham,Seti,Hill,Far-Western,2068/69,2011/12,30-34 Yrs,Male,Law,3
Achham,Seti,Hill,Far-Western,2068/69,2011/12,30-34 Yrs,Male,Social & behavioural science,62
Achham,Seti,Hill,Far-Western,2068/69,2011/12,30-34 Yrs,Male,Mathematics and statistics,12
Achham,Seti,Hill,Far-Western,2068/69,2011/12,30-34 Yrs,Male,"Agriculture, forestry & fishery",4
Achham,Seti,Hill,Far-Western,2068/69,2011/12,30-34 Yrs,Male,Computing,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,30-34 Yrs,Male,Journalism and information,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,30-34 Yrs,Male,Others,3
Achham,Seti,Hill,Far-Western,2068/69,2011/12,30-34 Yrs,Male,Not stated,140
Achham,Seti,Hill,Far-Western,2068/69,2011/12,35-39 Yrs,Male,Humanities and arts,95
Achham,Seti,Hill,Far-Western,2068/69,2011/12,35-39 Yrs,Male,Business & administration,48
Achham,Seti,Hill,Far-Western,2068/69,2011/12,35-39 Yrs,Male,Education,163
Achham,Seti,Hill,Far-Western,2068/69,2011/12,35-39 Yrs,Male,Science,26
Achham,Seti,Hill,Far-Western,2068/69,2011/12,35-39 Yrs,Male,Health,25
Achham,Seti,Hill,Far-Western,2068/69,2011/12,35-39 Yrs,Male,"Engineering, manuf. and construction",1
Achham,Seti,Hill,Far-Western,2068/69,2011/12,35-39 Yrs,Male,Law,6
Achham,Seti,Hill,Far-Western,2068/69,2011/12,35-39 Yrs,Male,Social & behavioural science,52
Achham,Seti,Hill,Far-Western,2068/69,2011/12,35-39 Yrs,Male,Mathematics and statistics,6
Achham,Seti,Hill,Far-Western,2068/69,2011/12,35-39 Yrs,Male,"Agriculture, forestry & fishery",3
Achham,Seti,Hill,Far-Western,2068/69,2011/12,35-39 Yrs,Male,Computing,1
Achham,Seti,Hill,Far-Western,2068/69,2011/12,35-39 Yrs,Male,Journalism and information,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,35-39 Yrs,Male,Others,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,35-39 Yrs,Male,Not stated,81
Achham,Seti,Hill,Far-Western,2068/69,2011/12,40-44 Yrs,Male,Humanities and arts,57
Achham,Seti,Hill,Far-Western,2068/69,2011/12,40-44 Yrs,Male,Business & administration,36
Achham,Seti,Hill,Far-Western,2068/69,2011/12,40-44 Yrs,Male,Education,84
Achham,Seti,Hill,Far-Western,2068/69,2011/12,40-44 Yrs,Male,Science,19
Achham,Seti,Hill,Far-Western,2068/69,2011/12,40-44 Yrs,Male,Health,7
Achham,Seti,Hill,Far-Western,2068/69,2011/12,40-44 Yrs,Male,"Engineering, manuf. and construction",0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,40-44 Yrs,Male,Law,2
Achham,Seti,Hill,Far-Western,2068/69,2011/12,40-44 Yrs,Male,Social & behavioural science,21
Achham,Seti,Hill,Far-Western,2068/69,2011/12,40-44 Yrs,Male,Mathematics and statistics,7
Achham,Seti,Hill,Far-Western,2068/69,2011/12,40-44 Yrs,Male,"Agriculture, forestry & fishery",3
Achham,Seti,Hill,Far-Western,2068/69,2011/12,40-44 Yrs,Male,Computing,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,40-44 Yrs,Male,Journalism and information,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,40-44 Yrs,Male,Others,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,40-44 Yrs,Male,Not stated,46
Achham,Seti,Hill,Far-Western,2068/69,2011/12,45-49 Yrs,Male,Humanities and arts,38
Achham,Seti,Hill,Far-Western,2068/69,2011/12,45-49 Yrs,Male,Business & administration,21
Achham,Seti,Hill,Far-Western,2068/69,2011/12,45-49 Yrs,Male,Education,43
Achham,Seti,Hill,Far-Western,2068/69,2011/12,45-49 Yrs,Male,Science,10
Achham,Seti,Hill,Far-Western,2068/69,2011/12,45-49 Yrs,Male,Health,6
Achham,Seti,Hill,Far-Western,2068/69,2011/12,45-49 Yrs,Male,"Engineering, manuf. and construction",1
Achham,Seti,Hill,Far-Western,2068/69,2011/12,45-49 Yrs,Male,Law,3
Achham,Seti,Hill,Far-Western,2068/69,2011/12,45-49 Yrs,Male,Social & behavioural science,13
Achham,Seti,Hill,Far-Western,2068/69,2011/12,45-49 Yrs,Male,Mathematics and statistics,1
Achham,Seti,Hill,Far-Western,2068/69,2011/12,45-49 Yrs,Male,"Agriculture, forestry & fishery",0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,45-49 Yrs,Male,Computing,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,45-49 Yrs,Male,Journalism and information,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,45-49 Yrs,Male,Others,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,45-49 Yrs,Male,Not stated,22
Achham,Seti,Hill,Far-Western,2068/69,2011/12,50-54 Yrs,Male,Humanities and arts,14
Achham,Seti,Hill,Far-Western,2068/69,2011/12,50-54 Yrs,Male,Business & administration,9
Achham,Seti,Hill,Far-Western,2068/69,2011/12,50-54 Yrs,Male,Education,17
Achham,Seti,Hill,Far-Western,2068/69,2011/12,50-54 Yrs,Male,Science,2
Achham,Seti,Hill,Far-Western,2068/69,2011/12,50-54 Yrs,Male,Health,3
Achham,Seti,Hill,Far-Western,2068/69,2011/12,50-54 Yrs,Male,"Engineering, manuf. and construction",2
Achham,Seti,Hill,Far-Western,2068/69,2011/12,50-54 Yrs,Male,Law,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,50-54 Yrs,Male,Social & behavioural science,6
Achham,Seti,Hill,Far-Western,2068/69,2011/12,50-54 Yrs,Male,Mathematics and statistics,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,50-54 Yrs,Male,"Agriculture, forestry & fishery",2
Achham,Seti,Hill,Far-Western,2068/69,2011/12,50-54 Yrs,Male,Computing,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,50-54 Yrs,Male,Journalism and information,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,50-54 Yrs,Male,Others,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,50-54 Yrs,Male,Not stated,10
Achham,Seti,Hill,Far-Western,2068/69,2011/12,55-59 Yrs,Male,Humanities and arts,12
Achham,Seti,Hill,Far-Western,2068/69,2011/12,55-59 Yrs,Male,Business & administration,4
Achham,Seti,Hill,Far-Western,2068/69,2011/12,55-59 Yrs,Male,Education,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,55-59 Yrs,Male,Science,3
Achham,Seti,Hill,Far-Western,2068/69,2011/12,55-59 Yrs,Male,Health,1
Achham,Seti,Hill,Far-Western,2068/69,2011/12,55-59 Yrs,Male,"Engineering, manuf. and construction",0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,55-59 Yrs,Male,Law,1
Achham,Seti,Hill,Far-Western,2068/69,2011/12,55-59 Yrs,Male,Social & behavioural science,4
Achham,Seti,Hill,Far-Western,2068/69,2011/12,55-59 Yrs,Male,Mathematics and statistics,4
Achham,Seti,Hill,Far-Western,2068/69,2011/12,55-59 Yrs,Male,"Agriculture, forestry & fishery",0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,55-59 Yrs,Male,Computing,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,55-59 Yrs,Male,Journalism and information,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,55-59 Yrs,Male,Others,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,55-59 Yrs,Male,Not stated,11
Achham,Seti,Hill,Far-Western,2068/69,2011/12,60-64 Yrs,Male,Humanities and arts,4
Achham,Seti,Hill,Far-Western,2068/69,2011/12,60-64 Yrs,Male,Business & administration,3
Achham,Seti,Hill,Far-Western,2068/69,2011/12,60-64 Yrs,Male,Education,4
Achham,Seti,Hill,Far-Western,2068/69,2011/12,60-64 Yrs,Male,Science,3
Achham,Seti,Hill,Far-Western,2068/69,2011/12,60-64 Yrs,Male,Health,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,60-64 Yrs,Male,"Engineering, manuf. and construction",0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,60-64 Yrs,Male,Law,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,60-64 Yrs,Male,Social & behavioural science,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,60-64 Yrs,Male,Mathematics and statistics,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,60-64 Yrs,Male,"Agriculture, forestry & fishery",0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,60-64 Yrs,Male,Computing,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,60-64 Yrs,Male,Journalism and information,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,60-64 Yrs,Male,Others,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,60-64 Yrs,Male,Not stated,3
Achham,Seti,Hill,Far-Western,2068/69,2011/12,65-69 Yrs,Male,Humanities and arts,2
Achham,Seti,Hill,Far-Western,2068/69,2011/12,65-69 Yrs,Male,Business & administration,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,65-69 Yrs,Male,Education,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,65-69 Yrs,Male,Science,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,65-69 Yrs,Male,Health,1
Achham,Seti,Hill,Far-Western,2068/69,2011/12,65-69 Yrs,Male,"Engineering, manuf. and construction",0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,65-69 Yrs,Male,Law,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,65-69 Yrs,Male,Social & behavioural science,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,65-69 Yrs,Male,Mathematics and statistics,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,65-69 Yrs,Male,"Agriculture, forestry & fishery",0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,65-69 Yrs,Male,Computing,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,65-69 Yrs,Male,Journalism and information,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,65-69 Yrs,Male,Others,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,65-69 Yrs,Male,Not stated,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,70-74 Yrs,Male,Humanities and arts,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,70-74 Yrs,Male,Business & administration,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,70-74 Yrs,Male,Education,1
Achham,Seti,Hill,Far-Western,2068/69,2011/12,70-74 Yrs,Male,Science,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,70-74 Yrs,Male,Health,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,70-74 Yrs,Male,"Engineering, manuf. and construction",0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,70-74 Yrs,Male,Law,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,70-74 Yrs,Male,Social & behavioural science,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,70-74 Yrs,Male,Mathematics and statistics,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,70-74 Yrs,Male,"Agriculture, forestry & fishery",0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,70-74 Yrs,Male,Computing,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,70-74 Yrs,Male,Journalism and information,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,70-74 Yrs,Male,Others,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,70-74 Yrs,Male,Not stated,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,75+ Yrs,Male,Humanities and arts,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,75+ Yrs,Male,Business & administration,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,75+ Yrs,Male,Education,1
Achham,Seti,Hill,Far-Western,2068/69,2011/12,75+ Yrs,Male,Science,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,75+ Yrs,Male,Health,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,75+ Yrs,Male,"Engineering, manuf. and construction",0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,75+ Yrs,Male,Law,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,75+ Yrs,Male,Social & behavioural science,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,75+ Yrs,Male,Mathematics and statistics,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,75+ Yrs,Male,"Agriculture, forestry & fishery",0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,75+ Yrs,Male,Computing,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,75+ Yrs,Male,Journalism and information,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,75+ Yrs,Male,Others,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,75+ Yrs,Male,Not stated,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,15-19 Yrs,Female,Humanities and arts,13
Achham,Seti,Hill,Far-Western,2068/69,2011/12,15-19 Yrs,Female,Business & administration,22
Achham,Seti,Hill,Far-Western,2068/69,2011/12,15-19 Yrs,Female,Education,86
Achham,Seti,Hill,Far-Western,2068/69,2011/12,15-19 Yrs,Female,Science,1
Achham,Seti,Hill,Far-Western,2068/69,2011/12,15-19 Yrs,Female,Health,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,15-19 Yrs,Female,"Engineering, manuf. and construction",0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,15-19 Yrs,Female,Law,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,15-19 Yrs,Female,Social & behavioural science,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,15-19 Yrs,Female,Mathematics and statistics,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,15-19 Yrs,Female,"Agriculture, forestry & fishery",0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,15-19 Yrs,Female,Computing,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,15-19 Yrs,Female,Journalism and information,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,15-19 Yrs,Female,Others,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,15-19 Yrs,Female,Not stated,47
Achham,Seti,Hill,Far-Western,2068/69,2011/12,20-24 Yrs,Female,Humanities and arts,97
Achham,Seti,Hill,Far-Western,2068/69,2011/12,20-24 Yrs,Female,Business & administration,50
Achham,Seti,Hill,Far-Western,2068/69,2011/12,20-24 Yrs,Female,Education,441
Achham,Seti,Hill,Far-Western,2068/69,2011/12,20-24 Yrs,Female,Science,13
Achham,Seti,Hill,Far-Western,2068/69,2011/12,20-24 Yrs,Female,Health,55
Achham,Seti,Hill,Far-Western,2068/69,2011/12,20-24 Yrs,Female,"Engineering, manuf. and construction",1
Achham,Seti,Hill,Far-Western,2068/69,2011/12,20-24 Yrs,Female,Law,1
Achham,Seti,Hill,Far-Western,2068/69,2011/12,20-24 Yrs,Female,Social & behavioural science,38
Achham,Seti,Hill,Far-Western,2068/69,2011/12,20-24 Yrs,Female,Mathematics and statistics,2
Achham,Seti,Hill,Far-Western,2068/69,2011/12,20-24 Yrs,Female,"Agriculture, forestry & fishery",5
Achham,Seti,Hill,Far-Western,2068/69,2011/12,20-24 Yrs,Female,Computing,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,20-24 Yrs,Female,Journalism and information,1
Achham,Seti,Hill,Far-Western,2068/69,2011/12,20-24 Yrs,Female,Others,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,20-24 Yrs,Female,Not stated,153
Achham,Seti,Hill,Far-Western,2068/69,2011/12,25-29 Yrs,Female,Humanities and arts,71
Achham,Seti,Hill,Far-Western,2068/69,2011/12,25-29 Yrs,Female,Business & administration,14
Achham,Seti,Hill,Far-Western,2068/69,2011/12,25-29 Yrs,Female,Education,223
Achham,Seti,Hill,Far-Western,2068/69,2011/12,25-29 Yrs,Female,Science,4
Achham,Seti,Hill,Far-Western,2068/69,2011/12,25-29 Yrs,Female,Health,35
Achham,Seti,Hill,Far-Western,2068/69,2011/12,25-29 Yrs,Female,"Engineering, manuf. and construction",0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,25-29 Yrs,Female,Law,1
Achham,Seti,Hill,Far-Western,2068/69,2011/12,25-29 Yrs,Female,Social & behavioural science,20
Achham,Seti,Hill,Far-Western,2068/69,2011/12,25-29 Yrs,Female,Mathematics and statistics,4
Achham,Seti,Hill,Far-Western,2068/69,2011/12,25-29 Yrs,Female,"Agriculture, forestry & fishery",2
Achham,Seti,Hill,Far-Western,2068/69,2011/12,25-29 Yrs,Female,Computing,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,25-29 Yrs,Female,Journalism and information,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,25-29 Yrs,Female,Others,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,25-29 Yrs,Female,Not stated,70
Achham,Seti,Hill,Far-Western,2068/69,2011/12,30-34 Yrs,Female,Humanities and arts,20
Achham,Seti,Hill,Far-Western,2068/69,2011/12,30-34 Yrs,Female,Business & administration,4
Achham,Seti,Hill,Far-Western,2068/69,2011/12,30-34 Yrs,Female,Education,69
Achham,Seti,Hill,Far-Western,2068/69,2011/12,30-34 Yrs,Female,Science,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,30-34 Yrs,Female,Health,11
Achham,Seti,Hill,Far-Western,2068/69,2011/12,30-34 Yrs,Female,"Engineering, manuf. and construction",0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,30-34 Yrs,Female,Law,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,30-34 Yrs,Female,Social & behavioural science,7
Achham,Seti,Hill,Far-Western,2068/69,2011/12,30-34 Yrs,Female,Mathematics and statistics,5
Achham,Seti,Hill,Far-Western,2068/69,2011/12,30-34 Yrs,Female,"Agriculture, forestry & fishery",0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,30-34 Yrs,Female,Computing,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,30-34 Yrs,Female,Journalism and information,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,30-34 Yrs,Female,Others,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,30-34 Yrs,Female,Not stated,28
Achham,Seti,Hill,Far-Western,2068/69,2011/12,35-39 Yrs,Female,Humanities and arts,10
Achham,Seti,Hill,Far-Western,2068/69,2011/12,35-39 Yrs,Female,Business & administration,6
Achham,Seti,Hill,Far-Western,2068/69,2011/12,35-39 Yrs,Female,Education,28
Achham,Seti,Hill,Far-Western,2068/69,2011/12,35-39 Yrs,Female,Science,1
Achham,Seti,Hill,Far-Western,2068/69,2011/12,35-39 Yrs,Female,Health,1
Achham,Seti,Hill,Far-Western,2068/69,2011/12,35-39 Yrs,Female,"Engineering, manuf. and construction",0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,35-39 Yrs,Female,Law,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,35-39 Yrs,Female,Social & behavioural science,3
Achham,Seti,Hill,Far-Western,2068/69,2011/12,35-39 Yrs,Female,Mathematics and statistics,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,35-39 Yrs,Female,"Agriculture, forestry & fishery",0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,35-39 Yrs,Female,Computing,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,35-39 Yrs,Female,Journalism and information,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,35-39 Yrs,Female,Others,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,35-39 Yrs,Female,Not stated,7
Achham,Seti,Hill,Far-Western,2068/69,2011/12,40-44 Yrs,Female,Humanities and arts,1
Achham,Seti,Hill,Far-Western,2068/69,2011/12,40-44 Yrs,Female,Business & administration,3
Achham,Seti,Hill,Far-Western,2068/69,2011/12,40-44 Yrs,Female,Education,10
Achham,Seti,Hill,Far-Western,2068/69,2011/12,40-44 Yrs,Female,Science,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,40-44 Yrs,Female,Health,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,40-44 Yrs,Female,"Engineering, manuf. and construction",0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,40-44 Yrs,Female,Law,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,40-44 Yrs,Female,Social & behavioural science,1
Achham,Seti,Hill,Far-Western,2068/69,2011/12,40-44 Yrs,Female,Mathematics and statistics,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,40-44 Yrs,Female,"Agriculture, forestry & fishery",0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,40-44 Yrs,Female,Computing,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,40-44 Yrs,Female,Journalism and information,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,40-44 Yrs,Female,Others,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,40-44 Yrs,Female,Not stated,4
Achham,Seti,Hill,Far-Western,2068/69,2011/12,45-49 Yrs,Female,Humanities and arts,1
Achham,Seti,Hill,Far-Western,2068/69,2011/12,45-49 Yrs,Female,Business & administration,1
Achham,Seti,Hill,Far-Western,2068/69,2011/12,45-49 Yrs,Female,Education,2
Achham,Seti,Hill,Far-Western,2068/69,2011/12,45-49 Yrs,Female,Science,1
Achham,Seti,Hill,Far-Western,2068/69,2011/12,45-49 Yrs,Female,Health,1
Achham,Seti,Hill,Far-Western,2068/69,2011/12,45-49 Yrs,Female,"Engineering, manuf. and construction",0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,45-49 Yrs,Female,Law,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,45-49 Yrs,Female,Social & behavioural science,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,45-49 Yrs,Female,Mathematics and statistics,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,45-49 Yrs,Female,"Agriculture, forestry & fishery",0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,45-49 Yrs,Female,Computing,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,45-49 Yrs,Female,Journalism and information,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,45-49 Yrs,Female,Others,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,45-49 Yrs,Female,Not stated,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,50-54 Yrs,Female,Humanities and arts,3
Achham,Seti,Hill,Far-Western,2068/69,2011/12,50-54 Yrs,Female,Business & administration,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,50-54 Yrs,Female,Education,1
Achham,Seti,Hill,Far-Western,2068/69,2011/12,50-54 Yrs,Female,Science,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,50-54 Yrs,Female,Health,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,50-54 Yrs,Female,"Engineering, manuf. and construction",0
