District,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Age-Group,Gender,Population who are,Number
Achham,Seti,Hill,Far-Western,2068/69,2011/12,30 - 34 Years,Male,Separated,3
Achham,Seti,Hill,Far-Western,2068/69,2011/12,35 - 39 Years,Male,Never Married,103
Achham,Seti,Hill,Far-Western,2068/69,2011/12,35 - 39 Years,Male,Single married,4899
Achham,Seti,Hill,Far-Western,2068/69,2011/12,35 - 39 Years,Male,Mutiple married,156
Achham,Seti,Hill,Far-Western,2068/69,2011/12,35 - 39 Years,Male,Re-married,269
Achham,Seti,Hill,Far-Western,2068/69,2011/12,35 - 39 Years,Male,Widow- Widower,20
Achham,Seti,Hill,Far-Western,2068/69,2011/12,35 - 39 Years,Male,Divorced,6
Achham,Seti,Hill,Far-Western,2068/69,2011/12,35 - 39 Years,Male,Separated,4
Achham,Seti,Hill,Far-Western,2068/69,2011/12,40 - 44 Years,Male,Never Married,70
Achham,Seti,Hill,Far-Western,2068/69,2011/12,40 - 44 Years,Male,Single married,3593
Achham,Seti,Hill,Far-Western,2068/69,2011/12,40 - 44 Years,Male,Mutiple married,211
Achham,Seti,Hill,Far-Western,2068/69,2011/12,40 - 44 Years,Male,Re-married,322
Achham,Seti,Hill,Far-Western,2068/69,2011/12,40 - 44 Years,Male,Widow- Widower,34
Achham,Seti,Hill,Far-Western,2068/69,2011/12,40 - 44 Years,Male,Divorced,5
Achham,Seti,Hill,Far-Western,2068/69,2011/12,40 - 44 Years,Male,Separated,4
Achham,Seti,Hill,Far-Western,2068/69,2011/12,45 - 49 Years,Male,Never Married,60
Achham,Seti,Hill,Far-Western,2068/69,2011/12,45 - 49 Years,Male,Single married,3351
Achham,Seti,Hill,Far-Western,2068/69,2011/12,45 - 49 Years,Male,Mutiple married,227
Achham,Seti,Hill,Far-Western,2068/69,2011/12,45 - 49 Years,Male,Re-married,351
Achham,Seti,Hill,Far-Western,2068/69,2011/12,45 - 49 Years,Male,Widow- Widower,52
Achham,Seti,Hill,Far-Western,2068/69,2011/12,45 - 49 Years,Male,Divorced,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,45 - 49 Years,Male,Separated,2
Achham,Seti,Hill,Far-Western,2068/69,2011/12,50 - 54 Years,Male,Never Married,49
Achham,Seti,Hill,Far-Western,2068/69,2011/12,50 - 54 Years,Male,Single married,2677
Achham,Seti,Hill,Far-Western,2068/69,2011/12,50 - 54 Years,Male,Mutiple married,227
Achham,Seti,Hill,Far-Western,2068/69,2011/12,50 - 54 Years,Male,Re-married,345
Achham,Seti,Hill,Far-Western,2068/69,2011/12,50 - 54 Years,Male,Widow- Widower,75
Achham,Seti,Hill,Far-Western,2068/69,2011/12,50 - 54 Years,Male,Divorced,5
Achham,Seti,Hill,Far-Western,2068/69,2011/12,50 - 54 Years,Male,Separated,6
Achham,Seti,Hill,Far-Western,2068/69,2011/12,55 - 59 Years,Male,Never Married,28
Achham,Seti,Hill,Far-Western,2068/69,2011/12,55 - 59 Years,Male,Single married,2252
Achham,Seti,Hill,Far-Western,2068/69,2011/12,55 - 59 Years,Male,Mutiple married,209
Achham,Seti,Hill,Far-Western,2068/69,2011/12,55 - 59 Years,Male,Re-married,318
Achham,Seti,Hill,Far-Western,2068/69,2011/12,55 - 59 Years,Male,Widow- Widower,116
Achham,Seti,Hill,Far-Western,2068/69,2011/12,55 - 59 Years,Male,Divorced,7
Achham,Seti,Hill,Far-Western,2068/69,2011/12,55 - 59 Years,Male,Separated,3
Achham,Seti,Hill,Far-Western,2068/69,2011/12,60 - 64 Years,Male,Never Married,33
Achham,Seti,Hill,Far-Western,2068/69,2011/12,60 - 64 Years,Male,Single married,2051
Achham,Seti,Hill,Far-Western,2068/69,2011/12,60 - 64 Years,Male,Mutiple married,261
Achham,Seti,Hill,Far-Western,2068/69,2011/12,60 - 64 Years,Male,Re-married,369
Achham,Seti,Hill,Far-Western,2068/69,2011/12,60 - 64 Years,Male,Widow- Widower,197
Achham,Seti,Hill,Far-Western,2068/69,2011/12,60 - 64 Years,Male,Divorced,5
Achham,Seti,Hill,Far-Western,2068/69,2011/12,60 - 64 Years,Male,Separated,4
Achham,Seti,Hill,Far-Western,2068/69,2011/12,65 - 69 Years,Male,Never Married,13
Achham,Seti,Hill,Far-Western,2068/69,2011/12,65 - 69 Years,Male,Single married,1642
Achham,Seti,Hill,Far-Western,2068/69,2011/12,65 - 69 Years,Male,Mutiple married,215
Achham,Seti,Hill,Far-Western,2068/69,2011/12,65 - 69 Years,Male,Re-married,281
Achham,Seti,Hill,Far-Western,2068/69,2011/12,65 - 69 Years,Male,Widow- Widower,193
Achham,Seti,Hill,Far-Western,2068/69,2011/12,65 - 69 Years,Male,Divorced,4
Achham,Seti,Hill,Far-Western,2068/69,2011/12,65 - 69 Years,Male,Separated,2
Achham,Seti,Hill,Far-Western,2068/69,2011/12,70 - 74 Years,Male,Never Married,13
Achham,Seti,Hill,Far-Western,2068/69,2011/12,70 - 74 Years,Male,Single married,1233
Achham,Seti,Hill,Far-Western,2068/69,2011/12,70 - 74 Years,Male,Mutiple married,140
Achham,Seti,Hill,Far-Western,2068/69,2011/12,70 - 74 Years,Male,Re-married,213
Achham,Seti,Hill,Far-Western,2068/69,2011/12,70 - 74 Years,Male,Widow- Widower,264
Achham,Seti,Hill,Far-Western,2068/69,2011/12,70 - 74 Years,Male,Divorced,2
Achham,Seti,Hill,Far-Western,2068/69,2011/12,70 - 74 Years,Male,Separated,5
Achham,Seti,Hill,Far-Western,2068/69,2011/12,10 - 14 Years,Female,Never Married,19387
Achham,Seti,Hill,Far-Western,2068/69,2011/12,10 - 14 Years,Female,Single married,99
Achham,Seti,Hill,Far-Western,2068/69,2011/12,10 - 14 Years,Female,Mutiple married,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,10 - 14 Years,Female,Re-married,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,10 - 14 Years,Female,Widow- Widower,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,10 - 14 Years,Female,Divorced,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,10 - 14 Years,Female,Separated,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,15 - 19 Years,Female,Never Married,11516
Achham,Seti,Hill,Far-Western,2068/69,2011/12,15 - 19 Years,Female,Single married,3167
Achham,Seti,Hill,Far-Western,2068/69,2011/12,15 - 19 Years,Female,Mutiple married,6
Achham,Seti,Hill,Far-Western,2068/69,2011/12,15 - 19 Years,Female,Re-married,18
Achham,Seti,Hill,Far-Western,2068/69,2011/12,15 - 19 Years,Female,Widow- Widower,2
Achham,Seti,Hill,Far-Western,2068/69,2011/12,15 - 19 Years,Female,Divorced,3
Achham,Seti,Hill,Far-Western,2068/69,2011/12,15 - 19 Years,Female,Separated,6
Achham,Seti,Hill,Far-Western,2068/69,2011/12,20 - 24 Years,Female,Never Married,1796
Achham,Seti,Hill,Far-Western,2068/69,2011/12,20 - 24 Years,Female,Single married,9018
Achham,Seti,Hill,Far-Western,2068/69,2011/12,20 - 24 Years,Female,Mutiple married,57
Achham,Seti,Hill,Far-Western,2068/69,2011/12,20 - 24 Years,Female,Re-married,139
Achham,Seti,Hill,Far-Western,2068/69,2011/12,20 - 24 Years,Female,Widow- Widower,35
Achham,Seti,Hill,Far-Western,2068/69,2011/12,20 - 24 Years,Female,Divorced,13
Achham,Seti,Hill,Far-Western,2068/69,2011/12,20 - 24 Years,Female,Separated,9
Achham,Seti,Hill,Far-Western,2068/69,2011/12,25 - 29 Years,Female,Never Married,238
Achham,Seti,Hill,Far-Western,2068/69,2011/12,25 - 29 Years,Female,Single married,8802
Achham,Seti,Hill,Far-Western,2068/69,2011/12,25 - 29 Years,Female,Mutiple married,78
Achham,Seti,Hill,Far-Western,2068/69,2011/12,25 - 29 Years,Female,Re-married,242
Achham,Seti,Hill,Far-Western,2068/69,2011/12,25 - 29 Years,Female,Widow- Widower,89
Achham,Seti,Hill,Far-Western,2068/69,2011/12,25 - 29 Years,Female,Divorced,13
Achham,Seti,Hill,Far-Western,2068/69,2011/12,25 - 29 Years,Female,Separated,13
Achham,Seti,Hill,Far-Western,2068/69,2011/12,30 - 34 Years,Female,Never Married,83
Achham,Seti,Hill,Far-Western,2068/69,2011/12,30 - 34 Years,Female,Single married,7176
Achham,Seti,Hill,Far-Western,2068/69,2011/12,30 - 34 Years,Female,Mutiple married,79
Achham,Seti,Hill,Far-Western,2068/69,2011/12,30 - 34 Years,Female,Re-married,271
Achham,Seti,Hill,Far-Western,2068/69,2011/12,30 - 34 Years,Female,Widow- Widower,129
Achham,Seti,Hill,Far-Western,2068/69,2011/12,30 - 34 Years,Female,Divorced,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,30 - 34 Years,Female,Separated,3
Achham,Seti,Hill,Far-Western,2068/69,2011/12,35 - 39 Years,Female,Never Married,51
Achham,Seti,Hill,Far-Western,2068/69,2011/12,35 - 39 Years,Female,Single married,6318
Achham,Seti,Hill,Far-Western,2068/69,2011/12,35 - 39 Years,Female,Mutiple married,91
Achham,Seti,Hill,Far-Western,2068/69,2011/12,35 - 39 Years,Female,Re-married,294
Achham,Seti,Hill,Far-Western,2068/69,2011/12,35 - 39 Years,Female,Widow- Widower,232
Achham,Seti,Hill,Far-Western,2068/69,2011/12,35 - 39 Years,Female,Divorced,7
Achham,Seti,Hill,Far-Western,2068/69,2011/12,35 - 39 Years,Female,Separated,11
Achham,Seti,Hill,Far-Western,2068/69,2011/12,40 - 44 Years,Female,Never Married,48
Achham,Seti,Hill,Far-Western,2068/69,2011/12,40 - 44 Years,Female,Single married,5182
Achham,Seti,Hill,Far-Western,2068/69,2011/12,40 - 44 Years,Female,Mutiple married,99
Achham,Seti,Hill,Far-Western,2068/69,2011/12,40 - 44 Years,Female,Re-married,298
Achham,Seti,Hill,Far-Western,2068/69,2011/12,40 - 44 Years,Female,Widow- Widower,298
Achham,Seti,Hill,Far-Western,2068/69,2011/12,40 - 44 Years,Female,Divorced,6
Achham,Seti,Hill,Far-Western,2068/69,2011/12,40 - 44 Years,Female,Separated,15
Achham,Seti,Hill,Far-Western,2068/69,2011/12,45 - 49 Years,Female,Never Married,27
Achham,Seti,Hill,Far-Western,2068/69,2011/12,45 - 49 Years,Female,Single married,4276
Achham,Seti,Hill,Far-Western,2068/69,2011/12,45 - 49 Years,Female,Mutiple married,96
Achham,Seti,Hill,Far-Western,2068/69,2011/12,45 - 49 Years,Female,Re-married,256
Achham,Seti,Hill,Far-Western,2068/69,2011/12,45 - 49 Years,Female,Widow- Widower,311
Achham,Seti,Hill,Far-Western,2068/69,2011/12,45 - 49 Years,Female,Divorced,4
Achham,Seti,Hill,Far-Western,2068/69,2011/12,45 - 49 Years,Female,Separated,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,50 - 54 Years,Female,Never Married,24
Achham,Seti,Hill,Far-Western,2068/69,2011/12,50 - 54 Years,Female,Single married,3192
Achham,Seti,Hill,Far-Western,2068/69,2011/12,50 - 54 Years,Female,Mutiple married,70
Achham,Seti,Hill,Far-Western,2068/69,2011/12,50 - 54 Years,Female,Re-married,219
Achham,Seti,Hill,Far-Western,2068/69,2011/12,50 - 54 Years,Female,Widow- Widower,354
Achham,Seti,Hill,Far-Western,2068/69,2011/12,50 - 54 Years,Female,Divorced,3
Achham,Seti,Hill,Far-Western,2068/69,2011/12,50 - 54 Years,Female,Separated,11
Achham,Seti,Hill,Far-Western,2068/69,2011/12,55 - 59 Years,Female,Never Married,14
Achham,Seti,Hill,Far-Western,2068/69,2011/12,55 - 59 Years,Female,Single married,2554
Achham,Seti,Hill,Far-Western,2068/69,2011/12,55 - 59 Years,Female,Mutiple married,60
Achham,Seti,Hill,Far-Western,2068/69,2011/12,55 - 59 Years,Female,Re-married,187
Achham,Seti,Hill,Far-Western,2068/69,2011/12,55 - 59 Years,Female,Widow- Widower,350
Achham,Seti,Hill,Far-Western,2068/69,2011/12,55 - 59 Years,Female,Divorced,2
Achham,Seti,Hill,Far-Western,2068/69,2011/12,55 - 59 Years,Female,Separated,9
Achham,Seti,Hill,Far-Western,2068/69,2011/12,60 - 64 Years,Female,Never Married,20
Achham,Seti,Hill,Far-Western,2068/69,2011/12,60 - 64 Years,Female,Single married,2822
Achham,Seti,Hill,Far-Western,2068/69,2011/12,60 - 64 Years,Female,Mutiple married,70
Achham,Seti,Hill,Far-Western,2068/69,2011/12,60 - 64 Years,Female,Re-married,236
Achham,Seti,Hill,Far-Western,2068/69,2011/12,60 - 64 Years,Female,Widow- Widower,1063
Achham,Seti,Hill,Far-Western,2068/69,2011/12,60 - 64 Years,Female,Divorced,7
Achham,Seti,Hill,Far-Western,2068/69,2011/12,60 - 64 Years,Female,Separated,6
Achham,Seti,Hill,Far-Western,2068/69,2011/12,65 - 69 Years,Female,Never Married,14
Achham,Seti,Hill,Far-Western,2068/69,2011/12,65 - 69 Years,Female,Single married,2013
Achham,Seti,Hill,Far-Western,2068/69,2011/12,65 - 69 Years,Female,Mutiple married,62
Achham,Seti,Hill,Far-Western,2068/69,2011/12,65 - 69 Years,Female,Re-married,120
Achham,Seti,Hill,Far-Western,2068/69,2011/12,65 - 69 Years,Female,Widow- Widower,1066
Achham,Seti,Hill,Far-Western,2068/69,2011/12,65 - 69 Years,Female,Divorced,4
Achham,Seti,Hill,Far-Western,2068/69,2011/12,65 - 69 Years,Female,Separated,4
Achham,Seti,Hill,Far-Western,2068/69,2011/12,70 - 74 Years,Female,Never Married,11
Achham,Seti,Hill,Far-Western,2068/69,2011/12,70 - 74 Years,Female,Single married,1534
Achham,Seti,Hill,Far-Western,2068/69,2011/12,70 - 74 Years,Female,Mutiple married,38
Achham,Seti,Hill,Far-Western,2068/69,2011/12,70 - 74 Years,Female,Re-married,105
Achham,Seti,Hill,Far-Western,2068/69,2011/12,70 - 74 Years,Female,Widow- Widower,1016
Achham,Seti,Hill,Far-Western,2068/69,2011/12,70 - 74 Years,Female,Divorced,3
Achham,Seti,Hill,Far-Western,2068/69,2011/12,70 - 74 Years,Female,Separated,8
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,10 - 14 Years,Male,Never Married,13949
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,10 - 14 Years,Male,Single married,19
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,10 - 14 Years,Male,Mutiple married,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,10 - 14 Years,Male,Re-married,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,10 - 14 Years,Male,Widow- Widower,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,10 - 14 Years,Male,Divorced,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,10 - 14 Years,Male,Separated,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,15 - 19 Years,Male,Never Married,8517
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,15 - 19 Years,Male,Single married,331
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,15 - 19 Years,Male,Mutiple married,3
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,15 - 19 Years,Male,Re-married,1
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,15 - 19 Years,Male,Widow- Widower,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,15 - 19 Years,Male,Divorced,3
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,15 - 19 Years,Male,Separated,1
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,20 - 24 Years,Male,Never Married,2725
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,20 - 24 Years,Male,Single married,1759
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,20 - 24 Years,Male,Mutiple married,13
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,20 - 24 Years,Male,Re-married,28
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,20 - 24 Years,Male,Widow- Widower,9
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,20 - 24 Years,Male,Divorced,9
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,20 - 24 Years,Male,Separated,5
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,25 - 29 Years,Male,Never Married,588
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,25 - 29 Years,Male,Single married,3283
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,25 - 29 Years,Male,Mutiple married,48
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,25 - 29 Years,Male,Re-married,70
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,25 - 29 Years,Male,Widow- Widower,3
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,25 - 29 Years,Male,Divorced,14
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,25 - 29 Years,Male,Separated,8
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,30 - 34 Years,Male,Never Married,117
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,30 - 34 Years,Male,Single married,3008
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,30 - 34 Years,Male,Mutiple married,61
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,30 - 34 Years,Male,Re-married,116
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,30 - 34 Years,Male,Widow- Widower,9
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,30 - 34 Years,Male,Divorced,20
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,30 - 34 Years,Male,Separated,4
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,35 - 39 Years,Male,Never Married,83
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,35 - 39 Years,Male,Single married,3005
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,35 - 39 Years,Male,Mutiple married,78
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,35 - 39 Years,Male,Re-married,168
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,35 - 39 Years,Male,Widow- Widower,13
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,35 - 39 Years,Male,Divorced,22
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,35 - 39 Years,Male,Separated,4
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,40 - 44 Years,Male,Never Married,67
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,40 - 44 Years,Male,Single married,3029
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,40 - 44 Years,Male,Mutiple married,118
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,40 - 44 Years,Male,Re-married,219
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,40 - 44 Years,Male,Widow- Widower,25
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,40 - 44 Years,Male,Divorced,10
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,40 - 44 Years,Male,Separated,8
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,45 - 49 Years,Male,Never Married,52
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,45 - 49 Years,Male,Single married,2972
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,45 - 49 Years,Male,Mutiple married,138
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,45 - 49 Years,Male,Re-married,269
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,45 - 49 Years,Male,Widow- Widower,50
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,45 - 49 Years,Male,Divorced,24
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,45 - 49 Years,Male,Separated,5
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,50 - 54 Years,Male,Never Married,37
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,50 - 54 Years,Male,Single married,3072
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,50 - 54 Years,Male,Mutiple married,207
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,50 - 54 Years,Male,Re-married,381
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,50 - 54 Years,Male,Widow- Widower,84
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,50 - 54 Years,Male,Divorced,17
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,50 - 54 Years,Male,Separated,5
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,55 - 59 Years,Male,Never Married,28
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,55 - 59 Years,Male,Single married,2550
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,55 - 59 Years,Male,Mutiple married,172
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,55 - 59 Years,Male,Re-married,358
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,55 - 59 Years,Male,Widow- Widower,114
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,55 - 59 Years,Male,Divorced,18
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,55 - 59 Years,Male,Separated,3
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,60 - 64 Years,Male,Never Married,14
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,60 - 64 Years,Male,Single married,2350
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,60 - 64 Years,Male,Mutiple married,228
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,60 - 64 Years,Male,Re-married,362
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,60 - 64 Years,Male,Widow- Widower,181
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,60 - 64 Years,Male,Divorced,19
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,60 - 64 Years,Male,Separated,7
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,65 - 69 Years,Male,Never Married,12
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,65 - 69 Years,Male,Single married,1747
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,65 - 69 Years,Male,Mutiple married,178
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,65 - 69 Years,Male,Re-married,291
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,65 - 69 Years,Male,Widow- Widower,224
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,65 - 69 Years,Male,Divorced,5
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,65 - 69 Years,Male,Separated,9
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,70 - 74 Years,Male,Never Married,13
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,70 - 74 Years,Male,Single married,1378
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,70 - 74 Years,Male,Mutiple married,169
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,70 - 74 Years,Male,Re-married,269
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,70 - 74 Years,Male,Widow- Widower,281
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,70 - 74 Years,Male,Divorced,3
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,70 - 74 Years,Male,Separated,9
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,10 - 14 Years,Female,Never Married,14222
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,10 - 14 Years,Female,Single married,63
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,10 - 14 Years,Female,Mutiple married,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,10 - 14 Years,Female,Re-married,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,10 - 14 Years,Female,Widow- Widower,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,10 - 14 Years,Female,Divorced,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,10 - 14 Years,Female,Separated,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,15 - 19 Years,Female,Never Married,9747
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,15 - 19 Years,Female,Single married,3199
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,15 - 19 Years,Female,Mutiple married,6
