District,Gender,Age-Group,Usual Activity performed,Value
Taplejung,Male,40 - 44 Years,Wage/salary earning,1112
Taplejung,Male,40 - 44 Years,Own non- agricultural,744
Taplejung,Male,40 - 44 Years,Extended economic,712
Taplejung,Male,40 - 44 Years,Seeking job,184
Taplejung,Male,40 - 44 Years,Household chores,744
Taplejung,Male,40 - 44 Years,Study,8
Taplejung,Male,40 - 44 Years,Non of activity,336
Taplejung,Male,40 - 44 Years,Activity not stated,0
Taplejung,Male,45 - 49 Years,Total Person,2767
Taplejung,Male,45 - 49 Years,Own agriculture,2345
Taplejung,Male,45 - 49 Years,Wage/salary earning,941
Taplejung,Male,45 - 49 Years,Own non- agricultural,584
Taplejung,Male,45 - 49 Years,Extended economic,828
Taplejung,Male,45 - 49 Years,Seeking job,227
Taplejung,Male,45 - 49 Years,Household chores,641
Taplejung,Male,45 - 49 Years,Study,24
Taplejung,Male,45 - 49 Years,Non of activity,381
Taplejung,Male,45 - 49 Years,Activity not stated,0
Taplejung,Male,50 - 54 Years,Total Person,2786
Taplejung,Male,50 - 54 Years,Own agriculture,2244
Taplejung,Male,50 - 54 Years,Wage/salary earning,906
Taplejung,Male,50 - 54 Years,Own non- agricultural,711
Taplejung,Male,50 - 54 Years,Extended economic,745
Taplejung,Male,50 - 54 Years,Seeking job,195
Taplejung,Male,50 - 54 Years,Household chores,635
Taplejung,Male,50 - 54 Years,Study,42
Taplejung,Male,50 - 54 Years,Non of activity,508
Taplejung,Male,50 - 54 Years,Activity not stated,0
Taplejung,Male,55 - 59 Years,Total Person,2026
Taplejung,Male,55 - 59 Years,Own agriculture,1745
Taplejung,Male,55 - 59 Years,Wage/salary earning,607
Taplejung,Male,55 - 59 Years,Own non- agricultural,448
Taplejung,Male,55 - 59 Years,Extended economic,660
Taplejung,Male,55 - 59 Years,Seeking job,129
Taplejung,Male,55 - 59 Years,Household chores,546
Taplejung,Male,55 - 59 Years,Study,30
Taplejung,Male,55 - 59 Years,Non of activity,387
Taplejung,Male,55 - 59 Years,Activity not stated,0
Taplejung,Male,60 - 64 Years,Total Person,1816
Taplejung,Male,60 - 64 Years,Own agriculture,1445
Taplejung,Male,60 - 64 Years,Wage/salary earning,291
Taplejung,Male,60 - 64 Years,Own non- agricultural,331
Taplejung,Male,60 - 64 Years,Extended economic,557
Taplejung,Male,60 - 64 Years,Seeking job,97
Taplejung,Male,60 - 64 Years,Household chores,541
Taplejung,Male,60 - 64 Years,Study,32
Taplejung,Male,60 - 64 Years,Non of activity,630
Taplejung,Male,60 - 64 Years,Activity not stated,0
Taplejung,Male,65 - 69 Years,Total Person,1171
Taplejung,Male,65 - 69 Years,Own agriculture,977
Taplejung,Male,65 - 69 Years,Wage/salary earning,153
Taplejung,Male,65 - 69 Years,Own non- agricultural,234
Taplejung,Male,65 - 69 Years,Extended economic,323
Taplejung,Male,65 - 69 Years,Seeking job,81
Taplejung,Male,65 - 69 Years,Household chores,307
Taplejung,Male,65 - 69 Years,Study,24
Taplejung,Male,65 - 69 Years,Non of activity,396
Taplejung,Male,65 - 69 Years,Activity not stated,0
Taplejung,Male,70 - 74 Years,Total Person,1057
Taplejung,Male,70 - 74 Years,Own agriculture,653
Taplejung,Male,70 - 74 Years,Wage/salary earning,124
Taplejung,Male,70 - 74 Years,Own non- agricultural,241
Taplejung,Male,70 - 74 Years,Extended economic,225
Taplejung,Male,70 - 74 Years,Seeking job,31
Taplejung,Male,70 - 74 Years,Household chores,319
Taplejung,Male,70 - 74 Years,Study,8
Taplejung,Male,70 - 74 Years,Non of activity,560
Taplejung,Male,70 - 74 Years,Activity not stated,0
Taplejung,Male,75+ Years,Total Person,1423
Taplejung,Male,75+ Years,Own agriculture,548
Taplejung,Male,75+ Years,Wage/salary earning,97
Taplejung,Male,75+ Years,Own non- agricultural,150
Taplejung,Male,75+ Years,Extended economic,150
Taplejung,Male,75+ Years,Seeking job,44
Taplejung,Male,75+ Years,Household chores,265
Taplejung,Male,75+ Years,Study,27
Taplejung,Male,75+ Years,Non of activity,981
Taplejung,Male,75+ Years,Activity not stated,0
Taplejung,Female,10 - 14 Years,Total Person,8796
Taplejung,Female,10 - 14 Years,Own agriculture,1301
Taplejung,Female,10 - 14 Years,Wage/salary earning,135
Taplejung,Female,10 - 14 Years,Own non- agricultural,127
Taplejung,Female,10 - 14 Years,Extended economic,428
Taplejung,Female,10 - 14 Years,Seeking job,63
Taplejung,Female,10 - 14 Years,Household chores,2427
Taplejung,Female,10 - 14 Years,Study,8082
Taplejung,Female,10 - 14 Years,Non of activity,984
Taplejung,Female,10 - 14 Years,Activity not stated,48
Taplejung,Female,15 - 19 Years,Total Person,8063
Taplejung,Female,15 - 19 Years,Own agriculture,3046
Taplejung,Female,15 - 19 Years,Wage/salary earning,499
Taplejung,Female,15 - 19 Years,Own non- agricultural,678
Taplejung,Female,15 - 19 Years,Extended economic,1091
Taplejung,Female,15 - 19 Years,Seeking job,234
Taplejung,Female,15 - 19 Years,Household chores,3373
Taplejung,Female,15 - 19 Years,Study,5819
Taplejung,Female,15 - 19 Years,Non of activity,693
Taplejung,Female,15 - 19 Years,Activity not stated,55
Taplejung,Female,20 - 24 Years,Total Person,6092
Taplejung,Female,20 - 24 Years,Own agriculture,3745
Taplejung,Female,20 - 24 Years,Wage/salary earning,686
Taplejung,Female,20 - 24 Years,Own non- agricultural,856
Taplejung,Female,20 - 24 Years,Extended economic,1279
Taplejung,Female,20 - 24 Years,Seeking job,297
Taplejung,Female,20 - 24 Years,Household chores,3347
Taplejung,Female,20 - 24 Years,Study,1779
Taplejung,Female,20 - 24 Years,Non of activity,695
Taplejung,Female,20 - 24 Years,Activity not stated,17
Taplejung,Female,25 - 29 Years,Total Person,4935
Taplejung,Female,25 - 29 Years,Own agriculture,3633
Taplejung,Female,25 - 29 Years,Wage/salary earning,791
Taplejung,Female,25 - 29 Years,Own non- agricultural,857
Taplejung,Female,25 - 29 Years,Extended economic,1285
Taplejung,Female,25 - 29 Years,Seeking job,214
Taplejung,Female,25 - 29 Years,Household chores,3147
Taplejung,Female,25 - 29 Years,Study,297
Taplejung,Female,25 - 29 Years,Non of activity,461
Taplejung,Female,25 - 29 Years,Activity not stated,0
Taplejung,Female,30 - 34 Years,Total Person,3925
Taplejung,Female,30 - 34 Years,Own agriculture,3054
Taplejung,Female,30 - 34 Years,Wage/salary earning,685
Taplejung,Female,30 - 34 Years,Own non- agricultural,727
Taplejung,Female,30 - 34 Years,Extended economic,1159
Taplejung,Female,30 - 34 Years,Seeking job,178
Taplejung,Female,30 - 34 Years,Household chores,2572
Taplejung,Female,30 - 34 Years,Study,169
Taplejung,Female,30 - 34 Years,Non of activity,321
Taplejung,Female,30 - 34 Years,Activity not stated,0
Taplejung,Female,35 - 39 Years,Total Person,3645
Taplejung,Female,35 - 39 Years,Own agriculture,2943
Taplejung,Female,35 - 39 Years,Wage/salary earning,442
Taplejung,Female,35 - 39 Years,Own non- agricultural,734
Taplejung,Female,35 - 39 Years,Extended economic,1128
Taplejung,Female,35 - 39 Years,Seeking job,150
Taplejung,Female,35 - 39 Years,Household chores,2533
Taplejung,Female,35 - 39 Years,Study,95
Taplejung,Female,35 - 39 Years,Non of activity,379
Taplejung,Female,35 - 39 Years,Activity not stated,0
Taplejung,Female,40 - 44 Years,Total Person,3512
Taplejung,Female,40 - 44 Years,Own agriculture,2959
Taplejung,Female,40 - 44 Years,Wage/salary earning,490
Taplejung,Female,40 - 44 Years,Own non- agricultural,642
Taplejung,Female,40 - 44 Years,Extended economic,972
Taplejung,Female,40 - 44 Years,Seeking job,134
Taplejung,Female,40 - 44 Years,Household chores,2442
Taplejung,Female,40 - 44 Years,Study,89
Taplejung,Female,40 - 44 Years,Non of activity,357
Taplejung,Female,40 - 44 Years,Activity not stated,9
Taplejung,Female,45 - 49 Years,Total Person,3031
Taplejung,Female,45 - 49 Years,Own agriculture,2600
Taplejung,Female,45 - 49 Years,Wage/salary earning,345
Taplejung,Female,45 - 49 Years,Own non- agricultural,650
Taplejung,Female,45 - 49 Years,Extended economic,916
Taplejung,Female,45 - 49 Years,Seeking job,102
Taplejung,Female,45 - 49 Years,Household chores,2232
Taplejung,Female,45 - 49 Years,Study,47
Taplejung,Female,45 - 49 Years,Non of activity,235
Taplejung,Female,45 - 49 Years,Activity not stated,0
Taplejung,Female,50 - 54 Years,Total Person,2648
Taplejung,Female,50 - 54 Years,Own agriculture,2151
Taplejung,Female,50 - 54 Years,Wage/salary earning,253
Taplejung,Female,50 - 54 Years,Own non- agricultural,570
Taplejung,Female,50 - 54 Years,Extended economic,782
Taplejung,Female,50 - 54 Years,Seeking job,49
Taplejung,Female,50 - 54 Years,Household chores,1866
Taplejung,Female,50 - 54 Years,Study,57
Taplejung,Female,50 - 54 Years,Non of activity,407
Taplejung,Female,50 - 54 Years,Activity not stated,0
Taplejung,Female,55 - 59 Years,Total Person,2019
Taplejung,Female,55 - 59 Years,Own agriculture,1506
Taplejung,Female,55 - 59 Years,Wage/salary earning,106
Taplejung,Female,55 - 59 Years,Own non- agricultural,391
Taplejung,Female,55 - 59 Years,Extended economic,570
Taplejung,Female,55 - 59 Years,Seeking job,73
Taplejung,Female,55 - 59 Years,Household chores,1457
Taplejung,Female,55 - 59 Years,Study,57
Taplejung,Female,55 - 59 Years,Non of activity,456
Taplejung,Female,55 - 59 Years,Activity not stated,0
Taplejung,Female,60 - 64 Years,Total Person,1908
Taplejung,Female,60 - 64 Years,Own agriculture,1249
Taplejung,Female,60 - 64 Years,Wage/salary earning,76
Taplejung,Female,60 - 64 Years,Own non- agricultural,287
Taplejung,Female,60 - 64 Years,Extended economic,363
Taplejung,Female,60 - 64 Years,Seeking job,93
Taplejung,Female,60 - 64 Years,Household chores,1241
Taplejung,Female,60 - 64 Years,Study,59
Taplejung,Female,60 - 64 Years,Non of activity,507
Taplejung,Female,60 - 64 Years,Activity not stated,0
Taplejung,Female,65 - 69 Years,Total Person,1222
Taplejung,Female,65 - 69 Years,Own agriculture,631
Taplejung,Female,65 - 69 Years,Wage/salary earning,48
Taplejung,Female,65 - 69 Years,Own non- agricultural,136
Taplejung,Female,65 - 69 Years,Extended economic,216
Taplejung,Female,65 - 69 Years,Seeking job,24
Taplejung,Female,65 - 69 Years,Household chores,703
Taplejung,Female,65 - 69 Years,Study,56
Taplejung,Female,65 - 69 Years,Non of activity,575
Taplejung,Female,65 - 69 Years,Activity not stated,0
Taplejung,Female,70 - 74 Years,Total Person,960
Taplejung,Female,70 - 74 Years,Own agriculture,391
Taplejung,Female,70 - 74 Years,Wage/salary earning,8
Taplejung,Female,70 - 74 Years,Own non- agricultural,76
Taplejung,Female,70 - 74 Years,Extended economic,212
Taplejung,Female,70 - 74 Years,Seeking job,34
Taplejung,Female,70 - 74 Years,Household chores,527
Taplejung,Female,70 - 74 Years,Study,51
Taplejung,Female,70 - 74 Years,Non of activity,569
Taplejung,Female,70 - 74 Years,Activity not stated,0
Taplejung,Female,75+ Years,Total Person,1357
Taplejung,Female,75+ Years,Own agriculture,249
Taplejung,Female,75+ Years,Wage/salary earning,52
Taplejung,Female,75+ Years,Own non- agricultural,34
Taplejung,Female,75+ Years,Extended economic,69
Taplejung,Female,75+ Years,Seeking job,0
Taplejung,Female,75+ Years,Household chores,421
Taplejung,Female,75+ Years,Study,77
Taplejung,Female,75+ Years,Non of activity,1048
Taplejung,Female,75+ Years,Activity not stated,0
Panchthar,Male,10 - 14 Years,Total Person,13166
Panchthar,Male,10 - 14 Years,Own agriculture,1127
Panchthar,Male,10 - 14 Years,Wage/salary earning,133
Panchthar,Male,10 - 14 Years,Own non- agricultural,141
Panchthar,Male,10 - 14 Years,Extended economic,315
Panchthar,Male,10 - 14 Years,Seeking job,50
Panchthar,Male,10 - 14 Years,Household chores,1143
Panchthar,Male,10 - 14 Years,Study,12213
Panchthar,Male,10 - 14 Years,Non of activity,1193
Panchthar,Male,10 - 14 Years,Activity not stated,33
Panchthar,Male,15 - 19 Years,Total Person,11355
Panchthar,Male,15 - 19 Years,Own agriculture,2604
Panchthar,Male,15 - 19 Years,Wage/salary earning,1034
Panchthar,Male,15 - 19 Years,Own non- agricultural,442
Panchthar,Male,15 - 19 Years,Extended economic,655
Panchthar,Male,15 - 19 Years,Seeking job,481
Panchthar,Male,15 - 19 Years,Household chores,1073
Panchthar,Male,15 - 19 Years,Study,8641
Panchthar,Male,15 - 19 Years,Non of activity,718
Panchthar,Male,15 - 19 Years,Activity not stated,8
Panchthar,Male,20 - 24 Years,Total Person,6249
Panchthar,Male,20 - 24 Years,Own agriculture,3049
Panchthar,Male,20 - 24 Years,Wage/salary earning,1564
Panchthar,Male,20 - 24 Years,Own non- agricultural,910
Panchthar,Male,20 - 24 Years,Extended economic,902
Panchthar,Male,20 - 24 Years,Seeking job,742
Panchthar,Male,20 - 24 Years,Household chores,654
Panchthar,Male,20 - 24 Years,Study,2227
Panchthar,Male,20 - 24 Years,Non of activity,503
Panchthar,Male,20 - 24 Years,Activity not stated,8
Panchthar,Male,25 - 29 Years,Total Person,4799
Panchthar,Male,25 - 29 Years,Own agriculture,3249
Panchthar,Male,25 - 29 Years,Wage/salary earning,1508
Panchthar,Male,25 - 29 Years,Own non- agricultural,895
Panchthar,Male,25 - 29 Years,Extended economic,837
Panchthar,Male,25 - 29 Years,Seeking job,555
Panchthar,Male,25 - 29 Years,Household chores,514
Panchthar,Male,25 - 29 Years,Study,472
Panchthar,Male,25 - 29 Years,Non of activity,390
Panchthar,Male,25 - 29 Years,Activity not stated,8
Panchthar,Male,30 - 34 Years,Total Person,4099
Panchthar,Male,30 - 34 Years,Own agriculture,2776
Panchthar,Male,30 - 34 Years,Wage/salary earning,1506
Panchthar,Male,30 - 34 Years,Own non- agricultural,1079
Panchthar,Male,30 - 34 Years,Extended economic,714
Panchthar,Male,30 - 34 Years,Seeking job,418
Panchthar,Male,30 - 34 Years,Household chores,548
Panchthar,Male,30 - 34 Years,Study,113
Panchthar,Male,30 - 34 Years,Non of activity,374
Panchthar,Male,30 - 34 Years,Activity not stated,9
Panchthar,Male,35 - 39 Years,Total Person,4018
Panchthar,Male,35 - 39 Years,Own agriculture,2985
Panchthar,Male,35 - 39 Years,Wage/salary earning,1304
Panchthar,Male,35 - 39 Years,Own non- agricultural,910
Panchthar,Male,35 - 39 Years,Extended economic,681
Panchthar,Male,35 - 39 Years,Seeking job,254
Panchthar,Male,35 - 39 Years,Household chores,541
Panchthar,Male,35 - 39 Years,Study,49
Panchthar,Male,35 - 39 Years,Non of activity,303
Panchthar,Male,35 - 39 Years,Activity not stated,8
Panchthar,Male,40 - 44 Years,Total Person,4368
Panchthar,Male,40 - 44 Years,Own agriculture,3362
Panchthar,Male,40 - 44 Years,Wage/salary earning,1422
Panchthar,Male,40 - 44 Years,Own non- agricultural,1013
Panchthar,Male,40 - 44 Years,Extended economic,990
Panchthar,Male,40 - 44 Years,Seeking job,314
Panchthar,Male,40 - 44 Years,Household chores,519
Panchthar,Male,40 - 44 Years,Study,39
Panchthar,Male,40 - 44 Years,Non of activity,354
Panchthar,Male,40 - 44 Years,Activity not stated,8
Panchthar,Male,45 - 49 Years,Total Person,4390
Panchthar,Male,45 - 49 Years,Own agriculture,3416
Panchthar,Male,45 - 49 Years,Wage/salary earning,1402
Panchthar,Male,45 - 49 Years,Own non- agricultural,930
Panchthar,Male,45 - 49 Years,Extended economic,1085
Panchthar,Male,45 - 49 Years,Seeking job,295
Panchthar,Male,45 - 49 Years,Household chores,546
Panchthar,Male,45 - 49 Years,Study,15
Panchthar,Male,45 - 49 Years,Non of activity,362
Panchthar,Male,45 - 49 Years,Activity not stated,7
Panchthar,Male,50 - 54 Years,Total Person,4297
Panchthar,Male,50 - 54 Years,Own agriculture,3555
Panchthar,Male,50 - 54 Years,Wage/salary earning,1031
Panchthar,Male,50 - 54 Years,Own non- agricultural,852
Panchthar,Male,50 - 54 Years,Extended economic,1016
Panchthar,Male,50 - 54 Years,Seeking job,281
Panchthar,Male,50 - 54 Years,Household chores,641
Panchthar,Male,50 - 54 Years,Study,39
Panchthar,Male,50 - 54 Years,Non of activity,406
Panchthar,Male,50 - 54 Years,Activity not stated,0
Panchthar,Male,55 - 59 Years,Total Person,3281
Panchthar,Male,55 - 59 Years,Own agriculture,2648
Panchthar,Male,55 - 59 Years,Wage/salary earning,765
Panchthar,Male,55 - 59 Years,Own non- agricultural,715
Panchthar,Male,55 - 59 Years,Extended economic,863
Panchthar,Male,55 - 59 Years,Seeking job,132
Panchthar,Male,55 - 59 Years,Household chores,419
Panchthar,Male,55 - 59 Years,Study,16
Panchthar,Male,55 - 59 Years,Non of activity,485
Panchthar,Male,55 - 59 Years,Activity not stated,0
Panchthar,Male,60 - 64 Years,Total Person,2747
Panchthar,Male,60 - 64 Years,Own agriculture,2246
Panchthar,Male,60 - 64 Years,Wage/salary earning,438
Panchthar,Male,60 - 64 Years,Own non- agricultural,642
Panchthar,Male,60 - 64 Years,Extended economic,587
Panchthar,Male,60 - 64 Years,Seeking job,157
Panchthar,Male,60 - 64 Years,Household chores,383
Panchthar,Male,60 - 64 Years,Study,16
Panchthar,Male,60 - 64 Years,Non of activity,485
Panchthar,Male,60 - 64 Years,Activity not stated,0
Panchthar,Male,65 - 69 Years,Total Person,2104
Panchthar,Male,65 - 69 Years,Own agriculture,1708
Panchthar,Male,65 - 69 Years,Wage/salary earning,216
Panchthar,Male,65 - 69 Years,Own non- agricultural,396
Panchthar,Male,65 - 69 Years,Extended economic,432
Panchthar,Male,65 - 69 Years,Seeking job,72
Panchthar,Male,65 - 69 Years,Household chores,342
Panchthar,Male,65 - 69 Years,Study,18
Panchthar,Male,65 - 69 Years,Non of activity,522
Panchthar,Male,65 - 69 Years,Activity not stated,0
Panchthar,Male,70 - 74 Years,Total Person,1606
Panchthar,Male,70 - 74 Years,Own agriculture,970
Panchthar,Male,70 - 74 Years,Wage/salary earning,98
Panchthar,Male,70 - 74 Years,Own non- agricultural,288
Panchthar,Male,70 - 74 Years,Extended economic,394
Panchthar,Male,70 - 74 Years,Seeking job,23
Panchthar,Male,70 - 74 Years,Household chores,182
Panchthar,Male,70 - 74 Years,Study,45
Panchthar,Male,70 - 74 Years,Non of activity,795
Panchthar,Male,70 - 74 Years,Activity not stated,0
Panchthar,Male,75+ Years,Total Person,2137
Panchthar,Male,75+ Years,Own agriculture,781
Panchthar,Male,75+ Years,Wage/salary earning,45
Panchthar,Male,75+ Years,Own non- agricultural,159
Panchthar,Male,75+ Years,Extended economic,205
Panchthar,Male,75+ Years,Seeking job,8
Panchthar,Male,75+ Years,Household chores,212
Panchthar,Male,75+ Years,Study,91
Panchthar,Male,75+ Years,Non of activity,1349
Panchthar,Male,75+ Years,Activity not stated,8
Panchthar,Female,10 - 14 Years,Total Person,13199
Panchthar,Female,10 - 14 Years,Own agriculture,953
Panchthar,Female,10 - 14 Years,Wage/salary earning,75
Panchthar,Female,10 - 14 Years,Own non- agricultural,125
Panchthar,Female,10 - 14 Years,Extended economic,176
Panchthar,Female,10 - 14 Years,Seeking job,50
Panchthar,Female,10 - 14 Years,Household chores,1906
Panchthar,Female,10 - 14 Years,Study,12413
Panchthar,Female,10 - 14 Years,Non of activity,1053
Panchthar,Female,10 - 14 Years,Activity not stated,17
Panchthar,Female,15 - 19 Years,Total Person,12630
Panchthar,Female,15 - 19 Years,Own agriculture,3098
Panchthar,Female,15 - 19 Years,Wage/salary earning,350
Panchthar,Female,15 - 19 Years,Own non- agricultural,510
Panchthar,Female,15 - 19 Years,Extended economic,844
Panchthar,Female,15 - 19 Years,Seeking job,263
Panchthar,Female,15 - 19 Years,Household chores,3066
Panchthar,Female,15 - 19 Years,Study,9691
Panchthar,Female,15 - 19 Years,Non of activity,788
Panchthar,Female,15 - 19 Years,Activity not stated,24
Panchthar,Female,20 - 24 Years,Total Person,9873
Panchthar,Female,20 - 24 Years,Own agriculture,5011
Panchthar,Female,20 - 24 Years,Wage/salary earning,864
Panchthar,Female,20 - 24 Years,Own non- agricultural,1123
Panchthar,Female,20 - 24 Years,Extended economic,1532
Panchthar,Female,20 - 24 Years,Seeking job,259
Panchthar,Female,20 - 24 Years,Household chores,4147
Panchthar,Female,20 - 24 Years,Study,3566
Panchthar,Female,20 - 24 Years,Non of activity,730
Panchthar,Female,20 - 24 Years,Activity not stated,8
Panchthar,Female,25 - 29 Years,Total Person,7742
Panchthar,Female,25 - 29 Years,Own agriculture,5089
Panchthar,Female,25 - 29 Years,Wage/salary earning,1068
Panchthar,Female,25 - 29 Years,Own non- agricultural,1230
Panchthar,Female,25 - 29 Years,Extended economic,1375
Panchthar,Female,25 - 29 Years,Seeking job,283
Panchthar,Female,25 - 29 Years,Household chores,3915
Panchthar,Female,25 - 29 Years,Study,736
Panchthar,Female,25 - 29 Years,Non of activity,558
Panchthar,Female,25 - 29 Years,Activity not stated,8
Panchthar,Female,30 - 34 Years,Total Person,6075
Panchthar,Female,30 - 34 Years,Own agriculture,4448
Panchthar,Female,30 - 34 Years,Wage/salary earning,861
Panchthar,Female,30 - 34 Years,Own non- agricultural,1039
Panchthar,Female,30 - 34 Years,Extended economic,1201
Panchthar,Female,30 - 34 Years,Seeking job,179
Panchthar,Female,30 - 34 Years,Household chores,3187
Panchthar,Female,30 - 34 Years,Study,290
Panchthar,Female,30 - 34 Years,Non of activity,307
Panchthar,Female,30 - 34 Years,Activity not stated,0
Panchthar,Female,35 - 39 Years,Total Person,5616
Panchthar,Female,35 - 39 Years,Own agriculture,4443
Panchthar,Female,35 - 39 Years,Wage/salary earning,699
Panchthar,Female,35 - 39 Years,Own non- agricultural,990
Panchthar,Female,35 - 39 Years,Extended economic,1206
Panchthar,Female,35 - 39 Years,Seeking job,233
Panchthar,Female,35 - 39 Years,Household chores,3004
Panchthar,Female,35 - 39 Years,Study,183
Panchthar,Female,35 - 39 Years,Non of activity,333
Panchthar,Female,35 - 39 Years,Activity not stated,25
Panchthar,Female,40 - 44 Years,Total Person,5582
Panchthar,Female,40 - 44 Years,Own agriculture,4681
Panchthar,Female,40 - 44 Years,Wage/salary earning,703
Panchthar,Female,40 - 44 Years,Own non- agricultural,970
Panchthar,Female,40 - 44 Years,Extended economic,1382
Panchthar,Female,40 - 44 Years,Seeking job,130
Panchthar,Female,40 - 44 Years,Household chores,3253
Panchthar,Female,40 - 44 Years,Study,137
Panchthar,Female,40 - 44 Years,Non of activity,275
Panchthar,Female,40 - 44 Years,Activity not stated,8
Panchthar,Female,45 - 49 Years,Total Person,4920
Panchthar,Female,45 - 49 Years,Own agriculture,4193
Panchthar,Female,45 - 49 Years,Wage/salary earning,454
Panchthar,Female,45 - 49 Years,Own non- agricultural,767
Panchthar,Female,45 - 49 Years,Extended economic,1048
Panchthar,Female,45 - 49 Years,Seeking job,125
Panchthar,Female,45 - 49 Years,Household chores,2910
Panchthar,Female,45 - 49 Years,Study,149
Panchthar,Female,45 - 49 Years,Non of activity,274
Panchthar,Female,45 - 49 Years,Activity not stated,0
Panchthar,Female,50 - 54 Years,Total Person,4322
Panchthar,Female,50 - 54 Years,Own agriculture,3567
Panchthar,Female,50 - 54 Years,Wage/salary earning,271
Panchthar,Female,50 - 54 Years,Own non- agricultural,648
Panchthar,Female,50 - 54 Years,Extended economic,1009
Panchthar,Female,50 - 54 Years,Seeking job,107
Panchthar,Female,50 - 54 Years,Household chores,2223
Panchthar,Female,50 - 54 Years,Study,123
Panchthar,Female,50 - 54 Years,Non of activity,426
Panchthar,Female,50 - 54 Years,Activity not stated,0
Panchthar,Female,55 - 59 Years,Total Person,3211
Panchthar,Female,55 - 59 Years,Own agriculture,2553
Panchthar,Female,55 - 59 Years,Wage/salary earning,236
Panchthar,Female,55 - 59 Years,Own non- agricultural,545
Panchthar,Female,55 - 59 Years,Extended economic,715
Panchthar,Female,55 - 59 Years,Seeking job,106
Panchthar,Female,55 - 59 Years,Household chores,1902
Panchthar,Female,55 - 59 Years,Study,49
Panchthar,Female,55 - 59 Years,Non of activity,309
Panchthar,Female,55 - 59 Years,Activity not stated,8
Panchthar,Female,60 - 64 Years,Total Person,2819
Panchthar,Female,60 - 64 Years,Own agriculture,1966
Panchthar,Female,60 - 64 Years,Wage/salary earning,159
Panchthar,Female,60 - 64 Years,Own non- agricultural,485
Panchthar,Female,60 - 64 Years,Extended economic,586
Panchthar,Female,60 - 64 Years,Seeking job,67
Panchthar,Female,60 - 64 Years,Household chores,1740
