District,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Age-Group,Gender,Indicator,Value
Achham,Seti,Hill,Far-Western,2068/69,2011/12,15 - 59 Years,Female,India,96
Achham,Seti,Hill,Far-Western,2068/69,2011/12,15 - 59 Years,Female,SAARC country (excluding india),0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,15 - 59 Years,Female,ASEAN country,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,15 - 59 Years,Female,Middle East country,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,15 - 59 Years,Female,Other Asian country,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,15 - 59 Years,Female,European country,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,15 - 59 Years,Female,North American country (USA/Canada),0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,15 - 59 Years,Female,Other countries,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,15 - 59 Years,Female,Country not stated,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,60+ Years,Female,Total foreign born population,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,60+ Years,Female,India,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,60+ Years,Female,SAARC country (excluding india),0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,60+ Years,Female,ASEAN country,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,60+ Years,Female,Middle East country,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,60+ Years,Female,Other Asian country,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,60+ Years,Female,European country,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,60+ Years,Female,North American country (USA/Canada),0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,60+ Years,Female,Other countries,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,60+ Years,Female,Country not stated,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,00 - 14 Years,Male,Total foreign born population,71
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,00 - 14 Years,Male,India,71
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,00 - 14 Years,Male,SAARC country (excluding india),0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,00 - 14 Years,Male,ASEAN country,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,00 - 14 Years,Male,Middle East country,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,00 - 14 Years,Male,Other Asian country,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,00 - 14 Years,Male,European country,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,00 - 14 Years,Male,North American country (USA/Canada),0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,00 - 14 Years,Male,Other countries,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,00 - 14 Years,Male,Country not stated,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,15 - 59 Years,Male,Total foreign born population,180
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,15 - 59 Years,Male,India,164
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,15 - 59 Years,Male,SAARC country (excluding india),0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,15 - 59 Years,Male,ASEAN country,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,15 - 59 Years,Male,Middle East country,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,15 - 59 Years,Male,Other Asian country,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,15 - 59 Years,Male,European country,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,15 - 59 Years,Male,North American country (USA/Canada),0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,15 - 59 Years,Male,Other countries,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,15 - 59 Years,Male,Country not stated,16
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,60+ Years,Male,Total foreign born population,8
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,60+ Years,Male,India,8
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,60+ Years,Male,SAARC country (excluding india),0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,60+ Years,Male,ASEAN country,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,60+ Years,Male,Middle East country,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,60+ Years,Male,Other Asian country,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,60+ Years,Male,European country,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,60+ Years,Male,North American country (USA/Canada),0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,60+ Years,Male,Other countries,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,60+ Years,Male,Country not stated,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,00 - 14 Years,Female,Total foreign born population,70
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,00 - 14 Years,Female,India,63
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,00 - 14 Years,Female,SAARC country (excluding india),0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,00 - 14 Years,Female,ASEAN country,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,00 - 14 Years,Female,Middle East country,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,00 - 14 Years,Female,Other Asian country,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,00 - 14 Years,Female,European country,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,00 - 14 Years,Female,North American country (USA/Canada),0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,00 - 14 Years,Female,Other countries,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,00 - 14 Years,Female,Country not stated,8
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,15 - 59 Years,Female,Total foreign born population,216
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,15 - 59 Years,Female,India,208
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,15 - 59 Years,Female,SAARC country (excluding india),0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,15 - 59 Years,Female,ASEAN country,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,15 - 59 Years,Female,Middle East country,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,15 - 59 Years,Female,Other Asian country,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,15 - 59 Years,Female,European country,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,15 - 59 Years,Female,North American country (USA/Canada),0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,15 - 59 Years,Female,Other countries,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,15 - 59 Years,Female,Country not stated,8
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,60+ Years,Female,Total foreign born population,23
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,60+ Years,Female,India,15
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,60+ Years,Female,SAARC country (excluding india),0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,60+ Years,Female,ASEAN country,8
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,60+ Years,Female,Middle East country,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,60+ Years,Female,Other Asian country,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,60+ Years,Female,European country,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,60+ Years,Female,North American country (USA/Canada),0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,60+ Years,Female,Other countries,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,60+ Years,Female,Country not stated,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,00 - 14 Years,Male,Total foreign born population,247
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,00 - 14 Years,Male,India,231
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,00 - 14 Years,Male,SAARC country (excluding india),0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,00 - 14 Years,Male,ASEAN country,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,00 - 14 Years,Male,Middle East country,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,00 - 14 Years,Male,Other Asian country,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,00 - 14 Years,Male,European country,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,00 - 14 Years,Male,North American country (USA/Canada),0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,00 - 14 Years,Male,Other countries,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,00 - 14 Years,Male,Country not stated,16
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,15 - 59 Years,Male,Total foreign born population,528
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,15 - 59 Years,Male,India,503
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,15 - 59 Years,Male,SAARC country (excluding india),0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,15 - 59 Years,Male,ASEAN country,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,15 - 59 Years,Male,Middle East country,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,15 - 59 Years,Male,Other Asian country,2
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,15 - 59 Years,Male,European country,8
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,15 - 59 Years,Male,North American country (USA/Canada),0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,15 - 59 Years,Male,Other countries,3
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,15 - 59 Years,Male,Country not stated,11
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,60+ Years,Male,Total foreign born population,26
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,60+ Years,Male,India,26
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,60+ Years,Male,SAARC country (excluding india),0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,60+ Years,Male,ASEAN country,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,60+ Years,Male,Middle East country,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,60+ Years,Male,Other Asian country,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,60+ Years,Male,European country,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,60+ Years,Male,North American country (USA/Canada),0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,60+ Years,Male,Other countries,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,60+ Years,Male,Country not stated,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,00 - 14 Years,Female,Total foreign born population,213
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,00 - 14 Years,Female,India,203
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,00 - 14 Years,Female,SAARC country (excluding india),0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,00 - 14 Years,Female,ASEAN country,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,00 - 14 Years,Female,Middle East country,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,00 - 14 Years,Female,Other Asian country,1
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,00 - 14 Years,Female,European country,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,00 - 14 Years,Female,North American country (USA/Canada),0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,00 - 14 Years,Female,Other countries,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,00 - 14 Years,Female,Country not stated,9
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,15 - 59 Years,Female,Total foreign born population,586
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,15 - 59 Years,Female,India,556
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,15 - 59 Years,Female,SAARC country (excluding india),0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,15 - 59 Years,Female,ASEAN country,9
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,15 - 59 Years,Female,Middle East country,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,15 - 59 Years,Female,Other Asian country,8
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,15 - 59 Years,Female,European country,2
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,15 - 59 Years,Female,North American country (USA/Canada),0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,15 - 59 Years,Female,Other countries,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,15 - 59 Years,Female,Country not stated,11
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,60+ Years,Female,Total foreign born population,17
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,60+ Years,Female,India,17
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,60+ Years,Female,SAARC country (excluding india),0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,60+ Years,Female,ASEAN country,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,60+ Years,Female,Middle East country,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,60+ Years,Female,Other Asian country,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,60+ Years,Female,European country,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,60+ Years,Female,North American country (USA/Canada),0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,60+ Years,Female,Other countries,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,60+ Years,Female,Country not stated,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,00 - 14 Years,Male,Total foreign born population,52
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,00 - 14 Years,Male,India,52
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,00 - 14 Years,Male,SAARC country (excluding india),0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,00 - 14 Years,Male,ASEAN country,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,00 - 14 Years,Male,Middle East country,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,00 - 14 Years,Male,Other Asian country,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,00 - 14 Years,Male,European country,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,00 - 14 Years,Male,North American country (USA/Canada),0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,00 - 14 Years,Male,Other countries,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,00 - 14 Years,Male,Country not stated,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,15 - 59 Years,Male,Total foreign born population,87
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,15 - 59 Years,Male,India,54
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,15 - 59 Years,Male,SAARC country (excluding india),0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,15 - 59 Years,Male,ASEAN country,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,15 - 59 Years,Male,Middle East country,8
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,15 - 59 Years,Male,Other Asian country,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,15 - 59 Years,Male,European country,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,15 - 59 Years,Male,North American country (USA/Canada),0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,15 - 59 Years,Male,Other countries,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,15 - 59 Years,Male,Country not stated,24
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,60+ Years,Male,Total foreign born population,9
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,60+ Years,Male,India,9
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,60+ Years,Male,SAARC country (excluding india),0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,60+ Years,Male,ASEAN country,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,60+ Years,Male,Middle East country,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,60+ Years,Male,Other Asian country,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,60+ Years,Male,European country,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,60+ Years,Male,North American country (USA/Canada),0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,60+ Years,Male,Other countries,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,60+ Years,Male,Country not stated,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,00 - 14 Years,Female,Total foreign born population,72
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,00 - 14 Years,Female,India,72
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,00 - 14 Years,Female,SAARC country (excluding india),0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,00 - 14 Years,Female,ASEAN country,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,00 - 14 Years,Female,Middle East country,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,00 - 14 Years,Female,Other Asian country,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,00 - 14 Years,Female,European country,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,00 - 14 Years,Female,North American country (USA/Canada),0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,00 - 14 Years,Female,Other countries,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,00 - 14 Years,Female,Country not stated,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,15 - 59 Years,Female,Total foreign born population,401
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,15 - 59 Years,Female,India,384
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,15 - 59 Years,Female,SAARC country (excluding india),0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,15 - 59 Years,Female,ASEAN country,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,15 - 59 Years,Female,Middle East country,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,15 - 59 Years,Female,Other Asian country,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,15 - 59 Years,Female,European country,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,15 - 59 Years,Female,North American country (USA/Canada),0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,15 - 59 Years,Female,Other countries,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,15 - 59 Years,Female,Country not stated,17
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,60+ Years,Female,Total foreign born population,93
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,60+ Years,Female,India,84
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,60+ Years,Female,SAARC country (excluding india),0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,60+ Years,Female,ASEAN country,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,60+ Years,Female,Middle East country,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,60+ Years,Female,Other Asian country,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,60+ Years,Female,European country,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,60+ Years,Female,North American country (USA/Canada),0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,60+ Years,Female,Other countries,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,60+ Years,Female,Country not stated,10
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,00 - 14 Years,Male,Total foreign born population,223
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,00 - 14 Years,Male,India,215
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,00 - 14 Years,Male,SAARC country (excluding india),0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,00 - 14 Years,Male,ASEAN country,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,00 - 14 Years,Male,Middle East country,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,00 - 14 Years,Male,Other Asian country,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,00 - 14 Years,Male,European country,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,00 - 14 Years,Male,North American country (USA/Canada),0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,00 - 14 Years,Male,Other countries,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,00 - 14 Years,Male,Country not stated,8
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,15 - 59 Years,Male,Total foreign born population,100
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,15 - 59 Years,Male,India,83
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,15 - 59 Years,Male,SAARC country (excluding india),0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,15 - 59 Years,Male,ASEAN country,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,15 - 59 Years,Male,Middle East country,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,15 - 59 Years,Male,Other Asian country,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,15 - 59 Years,Male,European country,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,15 - 59 Years,Male,North American country (USA/Canada),0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,15 - 59 Years,Male,Other countries,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,15 - 59 Years,Male,Country not stated,17
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,60+ Years,Male,Total foreign born population,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,60+ Years,Male,India,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,60+ Years,Male,SAARC country (excluding india),0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,60+ Years,Male,ASEAN country,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,60+ Years,Male,Middle East country,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,60+ Years,Male,Other Asian country,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,60+ Years,Male,European country,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,60+ Years,Male,North American country (USA/Canada),0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,60+ Years,Male,Other countries,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,60+ Years,Male,Country not stated,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,00 - 14 Years,Female,Total foreign born population,217
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,00 - 14 Years,Female,India,209
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,00 - 14 Years,Female,SAARC country (excluding india),8
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,00 - 14 Years,Female,ASEAN country,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,00 - 14 Years,Female,Middle East country,0
