District,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Gender,Age-group,Value
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,  Female,40 – 44 Years,71
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,  Female,45 – 49 Years,22
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,  Female,50 + Years,17
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,  Male,Below 10 years,115
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,  Male,10 – 14 Years,2072
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,  Male,15 – 19 Years,20102
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,  Male,20 – 24 Years,20650
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,  Male,25 – 29 Years,5134
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,  Male,30 –34 Years,913
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,  Male,35-39 Years,246
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,  Male,40 – 44 Years,72
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,  Male,45 – 49 Years,20
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,  Male,50 + Years,16
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,  Female,Below 10 years,1884
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,  Female,10 – 14 Years,14053
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,  Female,15 – 19 Years,42910
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,  Female,20 – 24 Years,10007
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,  Female,25 – 29 Years,852
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,  Female,30 –34 Years,149
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,  Female,35-39 Years,50
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,  Female,40 – 44 Years,24
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,  Female,45 – 49 Years,7
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,  Female,50 + Years,13
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,  Male,Below 10 years,74
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,  Male,10 – 14 Years,2393
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,  Male,15 – 19 Years,20324
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,  Male,20 – 24 Years,12149
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,  Male,25 – 29 Years,2337
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,  Male,30 –34 Years,456
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,  Male,35-39 Years,130
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,  Male,40 – 44 Years,39
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,  Male,45 – 49 Years,14
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,  Male,50 + Years,6
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,  Female,Below 10 years,528
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,  Female,10 – 14 Years,8842
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,  Female,15 – 19 Years,33131
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,  Female,20 – 24 Years,7763
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,  Female,25 – 29 Years,748
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,  Female,30 –34 Years,165
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,  Female,35-39 Years,47
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,  Female,40 – 44 Years,15
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,  Female,45 – 49 Years,4
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,  Female,50 + Years,4
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,  Male,Below 10 years,47
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,  Male,10 – 14 Years,916
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,  Male,15 – 19 Years,11644
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,  Male,20 – 24 Years,10581
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,  Male,25 – 29 Years,3374
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,  Male,30 –34 Years,764
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,  Male,35-39 Years,196
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,  Male,40 – 44 Years,59
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,  Male,45 – 49 Years,16
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,  Male,50 + Years,13
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,  Female,Below 10 years,201
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,  Female,10 – 14 Years,3897
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,  Female,15 – 19 Years,20721
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,  Female,20 – 24 Years,7066
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,  Female,25 – 29 Years,1192
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,  Female,30 –34 Years,276
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,  Female,35-39 Years,73
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,  Female,40 – 44 Years,23
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,  Female,45 – 49 Years,6
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,  Female,50 + Years,4
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,  Male,Below 10 years,265
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,  Male,10 – 14 Years,6411
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,  Male,15 – 19 Years,48744
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,  Male,20 – 24 Years,40156
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,  Male,25 – 29 Years,12900
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,  Male,30 –34 Years,3026
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,  Male,35-39 Years,700
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,  Male,40 – 44 Years,202
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,  Male,45 – 49 Years,57
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,  Male,50 + Years,33
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,  Female,Below 10 years,1589
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,  Female,10 – 14 Years,25665
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,  Female,15 – 19 Years,80306
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,  Female,20 – 24 Years,22409
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,  Female,25 – 29 Years,3297
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,  Female,30 –34 Years,594
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,  Female,35-39 Years,168
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,  Female,40 – 44 Years,54
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,  Female,45 – 49 Years,12
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,  Female,50 + Years,21
Bara,Narayani,Terai,Central,2068/69,2011/12,  Male,Below 10 years,623
Bara,Narayani,Terai,Central,2068/69,2011/12,  Male,10 – 14 Years,9118
Bara,Narayani,Terai,Central,2068/69,2011/12,  Male,15 – 19 Years,85836
Bara,Narayani,Terai,Central,2068/69,2011/12,  Male,20 – 24 Years,56295
Bara,Narayani,Terai,Central,2068/69,2011/12,  Male,25 – 29 Years,10415
Bara,Narayani,Terai,Central,2068/69,2011/12,  Male,30 –34 Years,2036
Bara,Narayani,Terai,Central,2068/69,2011/12,  Male,35-39 Years,454
Bara,Narayani,Terai,Central,2068/69,2011/12,  Male,40 – 44 Years,172
Bara,Narayani,Terai,Central,2068/69,2011/12,  Male,45 – 49 Years,45
Bara,Narayani,Terai,Central,2068/69,2011/12,  Male,50 + Years,53
Bara,Narayani,Terai,Central,2068/69,2011/12,  Female,Below 10 years,3029
Bara,Narayani,Terai,Central,2068/69,2011/12,  Female,10 – 14 Years,41154
Bara,Narayani,Terai,Central,2068/69,2011/12,  Female,15 – 19 Years,113880
Bara,Narayani,Terai,Central,2068/69,2011/12,  Female,20 – 24 Years,20202
Bara,Narayani,Terai,Central,2068/69,2011/12,  Female,25 – 29 Years,2170
Bara,Narayani,Terai,Central,2068/69,2011/12,  Female,30 –34 Years,385
Bara,Narayani,Terai,Central,2068/69,2011/12,  Female,35-39 Years,112
Bara,Narayani,Terai,Central,2068/69,2011/12,  Female,40 – 44 Years,52
Bara,Narayani,Terai,Central,2068/69,2011/12,  Female,45 – 49 Years,19
Bara,Narayani,Terai,Central,2068/69,2011/12,  Female,50 + Years,27
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,  Male,Below 10 years,168
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,  Male,10 – 14 Years,4530
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,  Male,15 – 19 Years,43987
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,  Male,20 – 24 Years,35744
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,  Male,25 – 29 Years,9880
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,  Male,30 –34 Years,1897
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,  Male,35-39 Years,467
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,  Male,40 – 44 Years,137
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,  Male,45 – 49 Years,36
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,  Male,50 + Years,27
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,  Female,Below 10 years,1072
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,  Female,10 – 14 Years,20186
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,  Female,15 – 19 Years,76539
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,  Female,20 – 24 Years,20409
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,  Female,25 – 29 Years,2326
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,  Female,30 –34 Years,377
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,  Female,35-39 Years,103
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,  Female,40 – 44 Years,50
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,  Female,45 – 49 Years,18
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,  Female,50 + Years,12
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,  Male,Below 10 years,283
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,  Male,10 – 14 Years,2174
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,  Male,15 – 19 Years,20262
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,  Male,20 – 24 Years,32123
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,  Male,25 – 29 Years,16223
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,  Male,30 –34 Years,4803
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,  Male,35-39 Years,843
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,  Male,40 – 44 Years,246
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,  Male,45 – 49 Years,69
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,  Male,50 + Years,44
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,  Female,Below 10 years,937
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,  Female,10 – 14 Years,7629
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,  Female,15 – 19 Years,41656
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,  Female,20 – 24 Years,28444
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,  Female,25 – 29 Years,6599
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,  Female,30 –34 Years,1073
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,  Female,35-39 Years,260
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,  Female,40 – 44 Years,92
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,  Female,45 – 49 Years,30
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,  Female,50 + Years,25
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,  Male,Below 10 years,175
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,  Male,10 – 14 Years,1190
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,  Male,15 – 19 Years,10267
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,  Male,20 – 24 Years,15563
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,  Male,25 – 29 Years,7812
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,  Male,30 –34 Years,2419
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,  Male,35-39 Years,730
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,  Male,40 – 44 Years,263
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,  Male,45 – 49 Years,69
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,  Male,50 + Years,78
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,  Female,Below 10 years,522
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,  Female,10 – 14 Years,4342
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,  Female,15 – 19 Years,25289
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,  Female,20 – 24 Years,15029
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,  Female,25 – 29 Years,3501
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,  Female,30 –34 Years,829
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,  Female,35-39 Years,240
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,  Female,40 – 44 Years,81
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,  Female,45 – 49 Years,35
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,  Female,50 + Years,12
Chitawan,Narayani,Terai,Central,2068/69,2011/12,  Male,Below 10 years,653
Chitawan,Narayani,Terai,Central,2068/69,2011/12,  Male,10 – 14 Years,4759
Chitawan,Narayani,Terai,Central,2068/69,2011/12,  Male,15 – 19 Years,38529
Chitawan,Narayani,Terai,Central,2068/69,2011/12,  Male,20 – 24 Years,54605
Chitawan,Narayani,Terai,Central,2068/69,2011/12,  Male,25 – 29 Years,26693
Chitawan,Narayani,Terai,Central,2068/69,2011/12,  Male,30 –34 Years,6270
Chitawan,Narayani,Terai,Central,2068/69,2011/12,  Male,35-39 Years,1402
Chitawan,Narayani,Terai,Central,2068/69,2011/12,  Male,40 – 44 Years,375
Chitawan,Narayani,Terai,Central,2068/69,2011/12,  Male,45 – 49 Years,107
Chitawan,Narayani,Terai,Central,2068/69,2011/12,  Male,50 + Years,58
Chitawan,Narayani,Terai,Central,2068/69,2011/12,  Female,Below 10 years,4526
Chitawan,Narayani,Terai,Central,2068/69,2011/12,  Female,10 – 14 Years,27579
Chitawan,Narayani,Terai,Central,2068/69,2011/12,  Female,15 – 19 Years,94840
Chitawan,Narayani,Terai,Central,2068/69,2011/12,  Female,20 – 24 Years,39532
Chitawan,Narayani,Terai,Central,2068/69,2011/12,  Female,25 – 29 Years,6179
Chitawan,Narayani,Terai,Central,2068/69,2011/12,  Female,30 –34 Years,1139
Chitawan,Narayani,Terai,Central,2068/69,2011/12,  Female,35-39 Years,334
Chitawan,Narayani,Terai,Central,2068/69,2011/12,  Female,40 – 44 Years,119
Chitawan,Narayani,Terai,Central,2068/69,2011/12,  Female,45 – 49 Years,38
Chitawan,Narayani,Terai,Central,2068/69,2011/12,  Female,50 + Years,44
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/12,  Male,Below 10 years,56
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/12,  Male,10 – 14 Years,1251
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/12,  Male,15 – 19 Years,11324
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/12,  Male,20 – 24 Years,11142
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/12,  Male,25 – 29 Years,2956
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/12,  Male,30 –34 Years,525
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/12,  Male,35-39 Years,139
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/12,  Male,40 – 44 Years,65
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/12,  Male,45 – 49 Years,14
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/12,  Male,50 + Years,9
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/12,  Female,Below 10 years,999
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/12,  Female,10 – 14 Years,9285
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/12,  Female,15 – 19 Years,23058
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/12,  Female,20 – 24 Years,5042
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/12,  Female,25 – 29 Years,461
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/12,  Female,30 –34 Years,83
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/12,  Female,35-39 Years,29
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/12,  Female,40 – 44 Years,14
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/12,  Female,45 – 49 Years,4
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/12,  Female,50 + Years,6
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/12,  Male,Below 10 years,163
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/12,  Male,10 – 14 Years,2811
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/12,  Male,15 – 19 Years,26760
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/12,  Male,20 – 24 Years,18119
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/12,  Male,25 – 29 Years,4551
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/12,  Male,30 –34 Years,956
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/12,  Male,35-39 Years,220
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/12,  Male,40 – 44 Years,75
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/12,  Male,45 – 49 Years,21
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/12,  Male,50 + Years,27
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/12,  Female,Below 10 years,731
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/12,  Female,10 – 14 Years,10553
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/12,  Female,15 – 19 Years,43406
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/12,  Female,20 – 24 Years,10188
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/12,  Female,25 – 29 Years,1316
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/12,  Female,30 –34 Years,250
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/12,  Female,35-39 Years,73
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/12,  Female,40 – 44 Years,24
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/12,  Female,45 – 49 Years,10
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/12,  Female,50 + Years,3
Dang,Rapti,Terai,Mid-Western,2068/69,2011/12,  Male,Below 10 years,149
Dang,Rapti,Terai,Mid-Western,2068/69,2011/12,  Male,10 – 14 Years,5047
Dang,Rapti,Terai,Mid-Western,2068/69,2011/12,  Male,15 – 19 Years,53995
Dang,Rapti,Terai,Mid-Western,2068/69,2011/12,  Male,20 – 24 Years,43921
Dang,Rapti,Terai,Mid-Western,2068/69,2011/12,  Male,25 – 29 Years,13504
Dang,Rapti,Terai,Mid-Western,2068/69,2011/12,  Male,30 –34 Years,2716
Dang,Rapti,Terai,Mid-Western,2068/69,2011/12,  Male,35-39 Years,675
Dang,Rapti,Terai,Mid-Western,2068/69,2011/12,  Male,40 – 44 Years,203
Dang,Rapti,Terai,Mid-Western,2068/69,2011/12,  Male,45 – 49 Years,68
Dang,Rapti,Terai,Mid-Western,2068/69,2011/12,  Male,50 + Years,54
Dang,Rapti,Terai,Mid-Western,2068/69,2011/12,  Female,Below 10 years,1021
Dang,Rapti,Terai,Mid-Western,2068/69,2011/12,  Female,10 – 14 Years,22933
Dang,Rapti,Terai,Mid-Western,2068/69,2011/12,  Female,15 – 19 Years,103467
Dang,Rapti,Terai,Mid-Western,2068/69,2011/12,  Female,20 – 24 Years,28447
Dang,Rapti,Terai,Mid-Western,2068/69,2011/12,  Female,25 – 29 Years,3451
Dang,Rapti,Terai,Mid-Western,2068/69,2011/12,  Female,30 –34 Years,574
Dang,Rapti,Terai,Mid-Western,2068/69,2011/12,  Female,35-39 Years,200
Dang,Rapti,Terai,Mid-Western,2068/69,2011/12,  Female,40 – 44 Years,44
Dang,Rapti,Terai,Mid-Western,2068/69,2011/12,  Female,45 – 49 Years,13
Dang,Rapti,Terai,Mid-Western,2068/69,2011/12,  Female,50 + Years,18
Darchula,Mahakali,Mountain,Far-Western,2068/69,2011/12,  Male,Below 10 years,64
Darchula,Mahakali,Mountain,Far-Western,2068/69,2011/12,  Male,10 – 14 Years,1174
Darchula,Mahakali,Mountain,Far-Western,2068/69,2011/12,  Male,15 – 19 Years,12009
Darchula,Mahakali,Mountain,Far-Western,2068/69,2011/12,  Male,20 – 24 Years,11254
Darchula,Mahakali,Mountain,Far-Western,2068/69,2011/12,  Male,25 – 29 Years,3091
Darchula,Mahakali,Mountain,Far-Western,2068/69,2011/12,  Male,30 –34 Years,622
Darchula,Mahakali,Mountain,Far-Western,2068/69,2011/12,  Male,35-39 Years,174
