District,Gender,"Area, Sex and type of activity",Duration of activity performed (in month),Value
 Taplejung,Female,Extended Economic,4, 1127
 Taplejung,Female,Extended Economic,5,  287
 Taplejung,Female,Extended Economic,6,516
 Taplejung,Female,Extended Economic,7,  98
 Taplejung,Female,Extended Economic,8, 66
 Taplejung,Female,Extended Economic,9,49
 Taplejung,Female,Extended Economic,10,75
 Taplejung,Female,Extended Economic,11, 0
 Taplejung,Female,Extended Economic,12,108
 Taplejung,Female,Seeking job,0,  50341
 Taplejung,Female,Seeking job,1, 366
 Taplejung,Female,Seeking job,2,413
 Taplejung,Female,Seeking job,3, 322
 Taplejung,Female,Seeking job,4,272
 Taplejung,Female,Seeking job,5,  117
 Taplejung,Female,Seeking job,6, 33
 Taplejung,Female,Seeking job,7,  41
 Taplejung,Female,Seeking job,8, 33
 Taplejung,Female,Seeking job,9, 8
 Taplejung,Female,Seeking job,10,24
 Taplejung,Female,Seeking job,11, 0
 Taplejung,Female,Seeking job,12, 17
 Taplejung,Female,Non-Economic,0,  8553
 Taplejung,Female,Non-Economic,1, 884
 Taplejung,Female,Non-Economic,2, 4584
 Taplejung,Female,Non-Economic,3,  2618
 Taplejung,Female,Non-Economic,4, 4808
 Taplejung,Female,Non-Economic,5,1678
 Taplejung,Female,Non-Economic,6, 4659
 Taplejung,Female,Non-Economic,7, 960
 Taplejung,Female,Non-Economic,8, 1324
 Taplejung,Female,Non-Economic,9,  815
 Taplejung,Female,Non-Economic,10,2233
 Taplejung,Female,Non-Economic,11,  717
 Taplejung,Female,Non-Economic,12,18153
 Panchthar,Male,Economic,0,26176
 Panchthar,Male,Economic,1, 372
 Panchthar,Male,Economic,2, 1522
 Panchthar,Male,Economic,3, 487
 Panchthar,Male,Economic,4,762
 Panchthar,Male,Economic,5, 402
 Panchthar,Male,Economic,6,  2481
 Panchthar,Male,Economic,7,  1128
 Panchthar,Male,Economic,8, 3389
 Panchthar,Male,Economic,9,1800
 Panchthar,Male,Economic,10,3506
 Panchthar,Male,Economic,11,  970
 Panchthar,Male,Economic,12,25523
 Panchthar,Male,Extended Economic,0,58845
 Panchthar,Male,Extended Economic,1,  1749
 Panchthar,Male,Extended Economic,2, 3675
 Panchthar,Male,Extended Economic,3,  1409
 Panchthar,Male,Extended Economic,4, 1398
 Panchthar,Male,Extended Economic,5, 263
 Panchthar,Male,Extended Economic,6, 661
 Panchthar,Male,Extended Economic,7,  79
 Panchthar,Male,Extended Economic,8,150
 Panchthar,Male,Extended Economic,9,  111
 Panchthar,Male,Extended Economic,10,39
 Panchthar,Male,Extended Economic,11, 8
 Panchthar,Male,Extended Economic,12,130
 Panchthar,Male,Seeking job,0,64737
 Panchthar,Male,Seeking job,1,  1035
 Panchthar,Male,Seeking job,2, 1247
 Panchthar,Male,Seeking job,3, 424
 Panchthar,Male,Seeking job,4,364
 Panchthar,Male,Seeking job,5,  80
 Panchthar,Male,Seeking job,6, 251
 Panchthar,Male,Seeking job,7,  41
 Panchthar,Male,Seeking job,8, 48
 Panchthar,Male,Seeking job,9, 0
 Panchthar,Male,Seeking job,10,  122
 Panchthar,Male,Seeking job,11, 9
 Panchthar,Male,Seeking job,12,161
 Panchthar,Male,Non-Economic,0,  32465
 Panchthar,Male,Non-Economic,1,  1426
 Panchthar,Male,Non-Economic,2, 2930
 Panchthar,Male,Non-Economic,3,  1006
 Panchthar,Male,Non-Economic,4, 1259
 Panchthar,Male,Non-Economic,5, 299
 Panchthar,Male,Non-Economic,6, 935
 Panchthar,Male,Non-Economic,7, 193
 Panchthar,Male,Non-Economic,8,457
 Panchthar,Male,Non-Economic,9,  326
 Panchthar,Male,Non-Economic,10,1804
 Panchthar,Male,Non-Economic,11,  335
 Panchthar,Male,Non-Economic,12,25084
 Panchthar,Female,Economic,0,  34789
 Panchthar,Female,Economic,1, 728
 Panchthar,Female,Economic,2, 1981
 Panchthar,Female,Economic,3,  1054
 Panchthar,Female,Economic,4, 2184
 Panchthar,Female,Economic,5,1347
 Panchthar,Female,Economic,6, 7621
 Panchthar,Female,Economic,7,  2843
 Panchthar,Female,Economic,8, 5506
 Panchthar,Female,Economic,9,2238
 Panchthar,Female,Economic,10,3320
 Panchthar,Female,Economic,11,  364
 Panchthar,Female,Economic,12,17409
 Panchthar,Female,Extended Economic,0,  69701
 Panchthar,Female,Extended Economic,1,  2484
 Panchthar,Female,Extended Economic,2, 4772
 Panchthar,Female,Extended Economic,3,  1839
 Panchthar,Female,Extended Economic,4, 1242
 Panchthar,Female,Extended Economic,5,  162
 Panchthar,Female,Extended Economic,6,758
 Panchthar,Female,Extended Economic,7,  80
 Panchthar,Female,Extended Economic,8,111
 Panchthar,Female,Extended Economic,9,33
 Panchthar,Female,Extended Economic,10,79
 Panchthar,Female,Extended Economic,11, 0
 Panchthar,Female,Extended Economic,12,122
 Panchthar,Female,Seeking job,0,  79505
 Panchthar,Female,Seeking job,1, 553
 Panchthar,Female,Seeking job,2,442
 Panchthar,Female,Seeking job,3, 225
 Panchthar,Female,Seeking job,4,266
 Panchthar,Female,Seeking job,5,64
 Panchthar,Female,Seeking job,6,177
 Panchthar,Female,Seeking job,7,  33
 Panchthar,Female,Seeking job,8, 56
 Panchthar,Female,Seeking job,9, 8
 Panchthar,Female,Seeking job,10,15
 Panchthar,Female,Seeking job,11, 0
 Panchthar,Female,Seeking job,12, 40
 Panchthar,Female,Non-Economic,0, 19833
 Panchthar,Female,Non-Economic,1, 747
 Panchthar,Female,Non-Economic,2, 5087
 Panchthar,Female,Non-Economic,3,  3445
 Panchthar,Female,Non-Economic,4, 5316
 Panchthar,Female,Non-Economic,5,2323
 Panchthar,Female,Non-Economic,6, 5738
 Panchthar,Female,Non-Economic,7, 757
 Panchthar,Female,Non-Economic,8, 1419
 Panchthar,Female,Non-Economic,9,  659
 Panchthar,Female,Non-Economic,10,1845
 Panchthar,Female,Non-Economic,11,  651
 Panchthar,Female,Non-Economic,12,33563
 Ilam,Male,Economic,0,34228
 Ilam,Male,Economic,1,  1053
 Ilam,Male,Economic,2, 2743
 Ilam,Male,Economic,3,  1205
 Ilam,Male,Economic,4, 1562
 Ilam,Male,Economic,5, 843
 Ilam,Male,Economic,6,  4501
 Ilam,Male,Economic,7,  1991
 Ilam,Male,Economic,8,  6217
 Ilam,Male,Economic,9,4470
 Ilam,Male,Economic,10, 7726
 Ilam,Male,Economic,11,2582
 Ilam,Male,Economic,12, 43685
 Ilam,Male,Extended Economic,0,93777
 Ilam,Male,Extended Economic,1,  4113
 Ilam,Male,Extended Economic,2, 6547
 Ilam,Male,Extended Economic,3,  3236
 Ilam,Male,Extended Economic,4, 2516
 Ilam,Male,Extended Economic,5, 345
 Ilam,Male,Extended Economic,6,  1284
 Ilam,Male,Extended Economic,7, 153
 Ilam,Male,Extended Economic,8, 295
 Ilam,Male,Extended Economic,9,89
 Ilam,Male,Extended Economic,10,146
 Ilam,Male,Extended Economic,11,16
 Ilam,Male,Extended Economic,12, 290
 Ilam,Male,Seeking job,0,  106593
 Ilam,Male,Seeking job,1,  1984
 Ilam,Male,Seeking job,2, 1949
 Ilam,Male,Seeking job,3, 647
 Ilam,Male,Seeking job,4,598
 Ilam,Male,Seeking job,5, 205
 Ilam,Male,Seeking job,6, 378
 Ilam,Male,Seeking job,7,  25
 Ilam,Male,Seeking job,8,  89
 Ilam,Male,Seeking job,9,24
 Ilam,Male,Seeking job,10, 42
 Ilam,Male,Seeking job,11,17
 Ilam,Male,Seeking job,12, 254
 Ilam,Male,Non-Economic,0,  56878
 Ilam,Male,Non-Economic,1,  3450
 Ilam,Male,Non-Economic,2, 6173
 Ilam,Male,Non-Economic,3,  2266
 Ilam,Male,Non-Economic,4, 2549
 Ilam,Male,Non-Economic,5, 704
 Ilam,Male,Non-Economic,6,  1588
 Ilam,Male,Non-Economic,7, 648
 Ilam,Male,Non-Economic,8,  1293
 Ilam,Male,Non-Economic,9,1159
 Ilam,Male,Non-Economic,10, 2575
 Ilam,Male,Non-Economic,11,  946
 Ilam,Male,Non-Economic,12, 32578
 Ilam,Female,Economic,0,  47404
 Ilam,Female,Economic,1,  1393
 Ilam,Female,Economic,2, 3977
 Ilam,Female,Economic,3,  2003
 Ilam,Female,Economic,4, 4350
 Ilam,Female,Economic,5,2555
 Ilam,Female,Economic,6,13682
 Ilam,Female,Economic,7,  5012
 Ilam,Female,Economic,8, 10561
 Ilam,Female,Economic,9,4695
 Ilam,Female,Economic,10, 6570
 Ilam,Female,Economic,11,  834
 Ilam,Female,Economic,12, 19937
 Ilam,Female,Extended Economic,0, 101080
 Ilam,Female,Extended Economic,1,  4585
 Ilam,Female,Extended Economic,2, 8049
 Ilam,Female,Extended Economic,3,  3890
 Ilam,Female,Extended Economic,4, 2663
 Ilam,Female,Extended Economic,5,  462
 Ilam,Female,Extended Economic,6, 1322
 Ilam,Female,Extended Economic,7, 163
 Ilam,Female,Extended Economic,8, 423
 Ilam,Female,Extended Economic,9,67
 Ilam,Female,Extended Economic,10, 66
 Ilam,Female,Extended Economic,11,33
 Ilam,Female,Extended Economic,12, 172
 Ilam,Female,Seeking job,0, 119869
 Ilam,Female,Seeking job,1, 657
 Ilam,Female,Seeking job,2,877
 Ilam,Female,Seeking job,3, 457
 Ilam,Female,Seeking job,4,426
 Ilam,Female,Seeking job,5,  132
 Ilam,Female,Seeking job,6,275
 Ilam,Female,Seeking job,7,  66
 Ilam,Female,Seeking job,8,  60
 Ilam,Female,Seeking job,9, 8
 Ilam,Female,Seeking job,10, 37
 Ilam,Female,Seeking job,11, 8
 Ilam,Female,Seeking job,12, 102
 Ilam,Female,Non-Economic,0, 25037
 Ilam,Female,Non-Economic,1,  1733
 Ilam,Female,Non-Economic,2, 8985
 Ilam,Female,Non-Economic,3,  6927
 Ilam,Female,Non-Economic,4,10341
 Ilam,Female,Non-Economic,5,3702
 Ilam,Female,Non-Economic,6,10010
 Ilam,Female,Non-Economic,7,  1568
 Ilam,Female,Non-Economic,8,  3440
 Ilam,Female,Non-Economic,9,1639
 Ilam,Female,Non-Economic,10, 3703
 Ilam,Female,Non-Economic,11,1192
 Ilam,Female,Non-Economic,12, 44697
 Jhapa,Male,Economic,0,  111309
 Jhapa,Male,Economic,1, 558
 Jhapa,Male,Economic,2, 2132
 Jhapa,Male,Economic,3,  1201
 Jhapa,Male,Economic,4, 1649
 Jhapa,Male,Economic,5, 667
 Jhapa,Male,Economic,6,  6003
 Jhapa,Male,Economic,7,  2231
 Jhapa,Male,Economic,8,  5057
 Jhapa,Male,Economic,9,2474
 Jhapa,Male,Economic,10, 6194
 Jhapa,Male,Economic,11,1507
 Jhapa,Male,Economic,12,161747
 Jhapa,Male,Extended Economic,0,  286797
 Jhapa,Male,Extended Economic,1,  2946
 Jhapa,Male,Extended Economic,2, 4917
 Jhapa,Male,Extended Economic,3,  2094
 Jhapa,Male,Extended Economic,4, 2068
 Jhapa,Male,Extended Economic,5, 554
 Jhapa,Male,Extended Economic,6,  1361
 Jhapa,Male,Extended Economic,7, 105
 Jhapa,Male,Extended Economic,8, 257
 Jhapa,Male,Extended Economic,9,67
 Jhapa,Male,Extended Economic,10,123
 Jhapa,Male,Extended Economic,11,33
 Jhapa,Male,Extended Economic,12,  1410
 Jhapa,Male,Seeking job,0,  290610
 Jhapa,Male,Seeking job,1,  1828
 Jhapa,Male,Seeking job,2, 2235
 Jhapa,Male,Seeking job,3, 896
 Jhapa,Male,Seeking job,4, 1078
 Jhapa,Male,Seeking job,5, 519
 Jhapa,Male,Seeking job,6,  1390
 Jhapa,Male,Seeking job,7, 123
 Jhapa,Male,Seeking job,8, 427
 Jhapa,Male,Seeking job,9,  168
 Jhapa,Male,Seeking job,10,324
 Jhapa,Male,Seeking job,11,17
 Jhapa,Male,Seeking job,12,  3115
 Jhapa,Male,Non-Economic,0, 178354
 Jhapa,Male,Non-Economic,1,  1388
 Jhapa,Male,Non-Economic,2, 4759
 Jhapa,Male,Non-Economic,3,  2290
 Jhapa,Male,Non-Economic,4, 2886
 Jhapa,Male,Non-Economic,5, 780
 Jhapa,Male,Non-Economic,6,  2683
 Jhapa,Male,Non-Economic,7, 495
 Jhapa,Male,Non-Economic,8,  1170
 Jhapa,Male,Non-Economic,9,  804
 Jhapa,Male,Non-Economic,10, 2398
 Jhapa,Male,Non-Economic,11,  468
 Jhapa,Male,Non-Economic,12,104255
 Jhapa,Female,Economic,0, 204783
 Jhapa,Female,Economic,1,  1088
 Jhapa,Female,Economic,2, 4949
 Jhapa,Female,Economic,3,  4095
 Jhapa,Female,Economic,4, 5893
 Jhapa,Female,Economic,5,2526
 Jhapa,Female,Economic,6,19474
 Jhapa,Female,Economic,7,  5070
 Jhapa,Female,Economic,8, 11587
 Jhapa,Female,Economic,9,3934
 Jhapa,Female,Economic,10, 7608
 Jhapa,Female,Economic,11,  877
 Jhapa,Female,Economic,12, 80138
 Jhapa,Female,Extended Economic,0, 324927
 Jhapa,Female,Extended Economic,1,  3047
 Jhapa,Female,Extended Economic,2, 8152
 Jhapa,Female,Extended Economic,3,  4949
 Jhapa,Female,Extended Economic,4, 4251
 Jhapa,Female,Extended Economic,5,  562
 Jhapa,Female,Extended Economic,6, 3016
 Jhapa,Female,Extended Economic,7, 458
 Jhapa,Female,Extended Economic,8, 820
 Jhapa,Female,Extended Economic,9,  218
 Jhapa,Female,Extended Economic,10,315
 Jhapa,Female,Extended Economic,11,16
 Jhapa,Female,Extended Economic,12,  1289
 Jhapa,Female,Seeking job,0, 346408
 Jhapa,Female,Seeking job,1,  1064
 Jhapa,Female,Seeking job,2, 1103
 Jhapa,Female,Seeking job,3, 559
 Jhapa,Female,Seeking job,4,640
 Jhapa,Female,Seeking job,5,  202
 Jhapa,Female,Seeking job,6,593
 Jhapa,Female,Seeking job,7,  75
 Jhapa,Female,Seeking job,8, 173
 Jhapa,Female,Seeking job,9,26
 Jhapa,Female,Seeking job,10, 84
 Jhapa,Female,Seeking job,11, 1
 Jhapa,Female,Seeking job,12,  1094
 Jhapa,Female,Non-Economic,0, 88105
 Jhapa,Female,Non-Economic,1,  1062
 Jhapa,Female,Non-Economic,2, 9655
 Jhapa,Female,Non-Economic,3,  5986
 Jhapa,Female,Non-Economic,4,12680
 Jhapa,Female,Non-Economic,5,4617
 Jhapa,Female,Non-Economic,6,17422
 Jhapa,Female,Non-Economic,7,  2527
 Jhapa,Female,Non-Economic,8,  6285
 Jhapa,Female,Non-Economic,9,3586
 Jhapa,Female,Non-Economic,10, 5468
 Jhapa,Female,Non-Economic,11,  973
 Jhapa,Female,Non-Economic,12,193654
 Morang,Male,Economic,0,  137026
 Morang,Male,Economic,1, 802
 Morang,Male,Economic,2, 3771
 Morang,Male,Economic,3,  2367
 Morang,Male,Economic,4, 3097
 Morang,Male,Economic,5,1232
 Morang,Male,Economic,6,11037
 Morang,Male,Economic,7,  3785
 Morang,Male,Economic,8, 11712
 Morang,Male,Economic,9, 7259
 Morang,Male,Economic,10,16549
 Morang,Male,Economic,11,3239
 Morang,Male,Economic,12,162826
 Morang,Male,Extended Economic,0,  338457
 Morang,Male,Extended Economic,1,  4450
 Morang,Male,Extended Economic,2, 8420
 Morang,Male,Extended Economic,3,  4278
 Morang,Male,Extended Economic,4, 3588
 Morang,Male,Extended Economic,5,  646
 Morang,Male,Extended Economic,6, 1934
 Morang,Male,Extended Economic,7, 259
 Morang,Male,Extended Economic,8, 494
 Morang,Male,Extended Economic,9,186
 Morang,Male,Extended Economic,10,350
 Morang,Male,Extended Economic,11,73
 Morang,Male,Extended Economic,12,  1567
 Morang,Male,Seeking job,0,  344523
 Morang,Male,Seeking job,1,  3049
 Morang,Male,Seeking job,2, 5594
 Morang,Male,Seeking job,3,  2261
 Morang,Male,Seeking job,4, 2322
 Morang,Male,Seeking job,5,  613
 Morang,Male,Seeking job,6, 2283
 Morang,Male,Seeking job,7, 262
 Morang,Male,Seeking job,8, 468
 Morang,Male,Seeking job,9,164
 Morang,Male,Seeking job,10,361
 Morang,Male,Seeking job,11,33
 Morang,Male,Seeking job,12,  2768
 Morang,Male,Non-Economic,0, 187350
 Morang,Male,Non-Economic,1,  4118
 Morang,Male,Non-Economic,2,14703
 Morang,Male,Non-Economic,3,  6066
 Morang,Male,Non-Economic,4, 6985
 Morang,Male,Non-Economic,5,2019
 Morang,Male,Non-Economic,6, 5638
 Morang,Male,Non-Economic,7, 710
 Morang,Male,Non-Economic,8,  1879
 Morang,Male,Non-Economic,9, 2142
 Morang,Male,Non-Economic,10, 4358
 Morang,Male,Non-Economic,11,  768
 Morang,Male,Non-Economic,12,127965
 Morang,Female,Economic,0, 247636
 Morang,Female,Economic,1,  1490
 Morang,Female,Economic,2, 9639
 Morang,Female,Economic,3,  8312
 Morang,Female,Economic,4,11089
 Morang,Female,Economic,5,4424
 Morang,Female,Economic,6,28182
 Morang,Female,Economic,7,  8338
 Morang,Female,Economic,8, 16722
 Morang,Female,Economic,9, 7002
 Morang,Female,Economic,10,11139
 Morang,Female,Economic,11,1469
 Morang,Female,Economic,12, 48156
 Morang,Female,Extended Economic,0, 355966
 Morang,Female,Extended Economic,1,  5786
 Morang,Female,Extended Economic,2,14681
 Morang,Female,Extended Economic,3,  9669
 Morang,Female,Extended Economic,4, 6795
 Morang,Female,Extended Economic,5,1233
 Morang,Female,Extended Economic,6, 5012
 Morang,Female,Extended Economic,7, 701
 Morang,Female,Extended Economic,8,  1253
 Morang,Female,Extended Economic,9,332
 Morang,Female,Extended Economic,10,664
 Morang,Female,Extended Economic,11,32
 Morang,Female,Extended Economic,12,  1474
 Morang,Female,Seeking job,0, 394819
 Morang,Female,Seeking job,1,  1423
 Morang,Female,Seeking job,2, 2352
 Morang,Female,Seeking job,3,  1055
 Morang,Female,Seeking job,4, 1093
 Morang,Female,Seeking job,5,  380
 Morang,Female,Seeking job,6, 1077
 Morang,Female,Seeking job,7, 162
 Morang,Female,Seeking job,8, 227
 Morang,Female,Seeking job,9,113
 Morang,Female,Seeking job,10,185
 Morang,Female,Seeking job,11,49
 Morang,Female,Seeking job,12, 663
 Morang,Female,Non-Economic,0, 58274
 Morang,Female,Non-Economic,1,  2782
 Morang,Female,Non-Economic,2,16011
 Morang,Female,Non-Economic,3, 10652
 Morang,Female,Non-Economic,4,18805
 Morang,Female,Non-Economic,5,7966
 Morang,Female,Non-Economic,6,25642
 Morang,Female,Non-Economic,7,  3521
 Morang,Female,Non-Economic,8, 10410
 Morang,Female,Non-Economic,9, 6709
 Morang,Female,Non-Economic,10,10731
 Morang,Female,Non-Economic,11,1605
 Morang,Female,Non-Economic,12,230489
 Sunsari,Male,Economic,0,  115187
 Sunsari,Male,Economic,1, 289
 Sunsari,Male,Economic,2, 1850
 Sunsari,Male,Economic,3,  1058
 Sunsari,Male,Economic,4, 1813
 Sunsari,Male,Economic,5,  706
 Sunsari,Male,Economic,6, 7758
 Sunsari,Male,Economic,7,  1927
 Sunsari,Male,Economic,8,  6308
 Sunsari,Male,Economic,9, 3922
 Sunsari,Male,Economic,10, 7863
 Sunsari,Male,Economic,11,1692
 Sunsari,Male,Economic,12,132275
 Sunsari,Male,Extended Economic,0,  266305
 Sunsari,Male,Extended Economic,1,  3075
 Sunsari,Male,Extended Economic,2, 3956
 Sunsari,Male,Extended Economic,3,  2643
 Sunsari,Male,Extended Economic,4, 1669
 Sunsari,Male,Extended Economic,5,  258
 Sunsari,Male,Extended Economic,6, 1707
 Sunsari,Male,Extended Economic,7, 131
 Sunsari,Male,Extended Economic,8, 494
 Sunsari,Male,Extended Economic,9,106
 Sunsari,Male,Extended Economic,10,298
 Sunsari,Male,Extended Economic,11,33
 Sunsari,Male,Extended Economic,12,  1972
 Sunsari,Male,Seeking job,0,  269900
 Sunsari,Male,Seeking job,1,  2226
 Sunsari,Male,Seeking job,2, 3005
 Sunsari,Male,Seeking job,3,  1193
 Sunsari,Male,Seeking job,4, 1190
 Sunsari,Male,Seeking job,5,  271
 Sunsari,Male,Seeking job,6, 1796
 Sunsari,Male,Seeking job,7, 107
 Sunsari,Male,Seeking job,8, 391
 Sunsari,Male,Seeking job,9, 57
 Sunsari,Male,Seeking job,10,154
 Sunsari,Male,Seeking job,11,10
 Sunsari,Male,Seeking job,12,  2348
 Sunsari,Male,Non-Economic,0, 146850
 Sunsari,Male,Non-Economic,1,  2113
 Sunsari,Male,Non-Economic,2, 8061
 Sunsari,Male,Non-Economic,3,  3584
 Sunsari,Male,Non-Economic,4, 4485
 Sunsari,Male,Non-Economic,5,1041
 Sunsari,Male,Non-Economic,6, 4262
 Sunsari,Male,Non-Economic,7, 398
 Sunsari,Male,Non-Economic,8,  1297
 Sunsari,Male,Non-Economic,9,819
 Sunsari,Male,Non-Economic,10, 2095
 Sunsari,Male,Non-Economic,11,  262
 Sunsari,Male,Non-Economic,12,107380
 Sunsari,Female,Economic,0, 208323
 Sunsari,Female,Economic,1,  1026
 Sunsari,Female,Economic,2, 5138
 Sunsari,Female,Economic,3,  4518
 Sunsari,Female,Economic,4, 6091
 Sunsari,Female,Economic,5,2094
 Sunsari,Female,Economic,6,19244
 Sunsari,Female,Economic,7,  3510
 Sunsari,Female,Economic,8,  9136
 Sunsari,Female,Economic,9, 4014
 Sunsari,Female,Economic,10, 6390
 Sunsari,Female,Economic,11,  653
 Sunsari,Female,Economic,12, 43966
 Sunsari,Female,Extended Economic,0, 285390
 Sunsari,Female,Extended Economic,1,  3135
 Sunsari,Female,Extended Economic,2, 8539
 Sunsari,Female,Extended Economic,3,  5680
 Sunsari,Female,Extended Economic,4, 3638
 Sunsari,Female,Extended Economic,5,  581
 Sunsari,Female,Extended Economic,6, 3869
 Sunsari,Female,Extended Economic,7, 348
 Sunsari,Female,Extended Economic,8, 955
 Sunsari,Female,Extended Economic,9,272
 Sunsari,Female,Extended Economic,10,272
 Sunsari,Female,Extended Economic,11,24
 Sunsari,Female,Extended Economic,12,  1400
 Sunsari,Female,Seeking job,0, 307891
 Sunsari,Female,Seeking job,1,  1123
 Sunsari,Female,Seeking job,2, 1299
 Sunsari,Female,Seeking job,3, 626
 Sunsari,Female,Seeking job,4,695
 Sunsari,Female,Seeking job,5,  216
 Sunsari,Female,Seeking job,6, 1033
 Sunsari,Female,Seeking job,7,  76
 Sunsari,Female,Seeking job,8, 166
 Sunsari,Female,Seeking job,9, 68
 Sunsari,Female,Seeking job,10,117
 Sunsari,Female,Seeking job,11, 8
 Sunsari,Female,Seeking job,12, 788
 Sunsari,Female,Non-Economic,0, 51339
 Sunsari,Female,Non-Economic,1, 868
 Sunsari,Female,Non-Economic,2, 7715
 Sunsari,Female,Non-Economic,3,  6541
 Sunsari,Female,Non-Economic,4,10914
 Sunsari,Female,Non-Economic,5,3734
 Sunsari,Female,Non-Economic,6,18896
 Sunsari,Female,Non-Economic,7,  1994
 Sunsari,Female,Non-Economic,8,  6450
 Sunsari,Female,Non-Economic,9, 3597
 Sunsari,Female,Non-Economic,10, 5502
 Sunsari,Female,Non-Economic,11,  666
 Sunsari,Female,Non-Economic,12,195889
 Dhankuta,Male,Economic,0, 15149
 Dhankuta,Male,Economic,1, 468
 Dhankuta,Male,Economic,2,2992
 Dhankuta,Male,Economic,3, 757
 Dhankuta,Male,Economic,4, 1151
 Dhankuta,Male,Economic,5, 365
 Dhankuta,Male,Economic,6,  2528
 Dhankuta,Male,Economic,7,643
 Dhankuta,Male,Economic,8,2300
 Dhankuta,Male,Economic,9,1143
 Dhankuta,Male,Economic,10,3223
 Dhankuta,Male,Economic,11,  506
 Dhankuta,Male,Economic,12,27165
 Dhankuta,Male,Extended Economic,0, 50975
 Dhankuta,Male,Extended Economic,1, 814
 Dhankuta,Male,Extended Economic,2,3333
 Dhankuta,Male,Extended Economic,3,  1051
 Dhankuta,Male,Extended Economic,4, 1090
 Dhankuta,Male,Extended Economic,5,  82
 Dhankuta,Male,Extended Economic,6, 692
 Dhankuta,Male,Extended Economic,7, 52
 Dhankuta,Male,Extended Economic,8,  108
 Dhankuta,Male,Extended Economic,9,13
 Dhankuta,Male,Extended Economic,10,50
 Dhankuta,Male,Extended Economic,11, 8
 Dhankuta,Male,Extended Economic,12,124
 Dhankuta,Male,Seeking job,0, 55988
 Dhankuta,Male,Seeking job,1, 434
 Dhankuta,Male,Seeking job,2,  767
 Dhankuta,Male,Seeking job,3, 221
 Dhankuta,Male,Seeking job,4,366
 Dhankuta,Male,Seeking job,5,  49
 Dhankuta,Male,Seeking job,6, 277
 Dhankuta,Male,Seeking job,7, 48
 Dhankuta,Male,Seeking job,8,54
 Dhankuta,Male,Seeking job,9,10
 Dhankuta,Male,Seeking job,10,32
 Dhankuta,Male,Seeking job,11, 1
 Dhankuta,Male,Seeking job,12,144
 Dhankuta,Male,Non-Economic,0,32869
 Dhankuta,Male,Non-Economic,1, 585
 Dhankuta,Male,Non-Economic,2,1868
