District,Gender,Age-Group,Type of activity,Value
Taplejung,Both Sexes,70 - 74 Years,Economic only,  227
Taplejung,Both Sexes,70 - 74 Years,Extended economic only,  24
Taplejung,Both Sexes,70 - 74 Years,Seeking job only,0
Taplejung,Both Sexes,70 - 74 Years,Non economic only, 835
Taplejung,Both Sexes,70 - 74 Years,Activity not stated,0
Taplejung,Both Sexes,75+ Years,Economic only,281
Taplejung,Both Sexes,75+ Years,Extended economic only,9
Taplejung,Both Sexes,75+ Years,Seeking job only,0
Taplejung,Both Sexes,75+ Years,Non economic only,  1808
Taplejung,Both Sexes,75+ Years,Activity not stated,0
Taplejung,Male,10 - 14 Years,Economic only,75
Taplejung,Male,10 - 14 Years,Extended economic only,0
Taplejung,Male,10 - 14 Years,Seeking job only,0
Taplejung,Male,10 - 14 Years,Non economic only,  6417
Taplejung,Male,10 - 14 Years,Activity not stated,  50
Taplejung,Male,15 - 19 Years,Economic only,  625
Taplejung,Male,15 - 19 Years,Extended economic only,  17
Taplejung,Male,15 - 19 Years,Seeking job only,  17
Taplejung,Male,15 - 19 Years,Non economic only,  4309
Taplejung,Male,15 - 19 Years,Activity not stated,  25
Taplejung,Male,20 - 24 Years,Economic only,1294
Taplejung,Male,20 - 24 Years,Extended economic only,8
Taplejung,Male,20 - 24 Years,Seeking job only,8
Taplejung,Male,20 - 24 Years,Non economic only,  1090
Taplejung,Male,20 - 24 Years,Activity not stated,  16
Taplejung,Male,25 - 29 Years,Economic only,1380
Taplejung,Male,25 - 29 Years,Extended economic only,  17
Taplejung,Male,25 - 29 Years,Seeking job only,  25
Taplejung,Male,25 - 29 Years,Non economic only, 229
Taplejung,Male,25 - 29 Years,Activity not stated,0
Taplejung,Male,30 - 34 Years,Economic only,1331
Taplejung,Male,30 - 34 Years,Extended economic only,8
Taplejung,Male,30 - 34 Years,Seeking job only,0
Taplejung,Male,30 - 34 Years,Non economic only, 102
Taplejung,Male,30 - 34 Years,Activity not stated,0
Taplejung,Male,35 - 39 Years,Economic only,1427
Taplejung,Male,35 - 39 Years,Extended economic only,9
Taplejung,Male,35 - 39 Years,Seeking job only,0
Taplejung,Male,35 - 39 Years,Non economic only,  60
Taplejung,Male,35 - 39 Years,Activity not stated,0
Taplejung,Male,40 - 44 Years,Economic only,1656
Taplejung,Male,40 - 44 Years,Extended economic only,  24
Taplejung,Male,40 - 44 Years,Seeking job only,0
Taplejung,Male,40 - 44 Years,Non economic only,  32
Taplejung,Male,40 - 44 Years,Activity not stated,0
Taplejung,Male,45 - 49 Years,Economic only,1363
Taplejung,Male,45 - 49 Years,Extended economic only,8
Taplejung,Male,45 - 49 Years,Seeking job only,0
Taplejung,Male,45 - 49 Years,Non economic only,  57
Taplejung,Male,45 - 49 Years,Activity not stated,0
Taplejung,Male,50 - 54 Years,Economic only,1296
Taplejung,Male,50 - 54 Years,Extended economic only,  17
Taplejung,Male,50 - 54 Years,Seeking job only,0
Taplejung,Male,50 - 54 Years,Non economic only,  93
Taplejung,Male,50 - 54 Years,Activity not stated,0
Taplejung,Male,55 - 59 Years,Economic only,  895
Taplejung,Male,55 - 59 Years,Extended economic only,8
Taplejung,Male,55 - 59 Years,Seeking job only,0
Taplejung,Male,55 - 59 Years,Non economic only,  68
Taplejung,Male,55 - 59 Years,Activity not stated,0
Taplejung,Male,60 - 64 Years,Economic only,  621
Taplejung,Male,60 - 64 Years,Extended economic only,0
Taplejung,Male,60 - 64 Years,Seeking job only,0
Taplejung,Male,60 - 64 Years,Non economic only, 242
Taplejung,Male,60 - 64 Years,Activity not stated,0
Taplejung,Male,65 - 69 Years,Economic only,  363
Taplejung,Male,65 - 69 Years,Extended economic only,0
Taplejung,Male,65 - 69 Years,Seeking job only,0
Taplejung,Male,65 - 69 Years,Non economic only, 153
Taplejung,Male,65 - 69 Years,Activity not stated,0
Taplejung,Male,70 - 74 Years,Economic only,  210
Taplejung,Male,70 - 74 Years,Extended economic only,  16
Taplejung,Male,70 - 74 Years,Seeking job only,0
Taplejung,Male,70 - 74 Years,Non economic only, 342
Taplejung,Male,70 - 74 Years,Activity not stated,0
Taplejung,Male,75+ Years,Economic only,221
Taplejung,Male,75+ Years,Extended economic only,9
Taplejung,Male,75+ Years,Seeking job only,0
Taplejung,Male,75+ Years,Non economic only, 751
Taplejung,Male,75+ Years,Activity not stated,0
Taplejung,Female,10 - 14 Years,Economic only,63
Taplejung,Female,10 - 14 Years,Extended economic only,0
Taplejung,Female,10 - 14 Years,Seeking job only,0
Taplejung,Female,10 - 14 Years,Non economic only,  7122
Taplejung,Female,10 - 14 Years,Activity not stated,  48
Taplejung,Female,15 - 19 Years,Economic only,  358
Taplejung,Female,15 - 19 Years,Extended economic only,0
Taplejung,Female,15 - 19 Years,Seeking job only,0
Taplejung,Female,15 - 19 Years,Non economic only,  4604
Taplejung,Female,15 - 19 Years,Activity not stated,  55
Taplejung,Female,20 - 24 Years,Economic only,  924
Taplejung,Female,20 - 24 Years,Extended economic only,8
Taplejung,Female,20 - 24 Years,Seeking job only,8
Taplejung,Female,20 - 24 Years,Non economic only,  1610
Taplejung,Female,20 - 24 Years,Activity not stated,  17
Taplejung,Female,25 - 29 Years,Economic only,1170
Taplejung,Female,25 - 29 Years,Extended economic only,8
Taplejung,Female,25 - 29 Years,Seeking job only,0
Taplejung,Female,25 - 29 Years,Non economic only, 527
Taplejung,Female,25 - 29 Years,Activity not stated,0
Taplejung,Female,30 - 34 Years,Economic only,  914
Taplejung,Female,30 - 34 Years,Extended economic only,  17
Taplejung,Female,30 - 34 Years,Seeking job only,8
Taplejung,Female,30 - 34 Years,Non economic only, 262
Taplejung,Female,30 - 34 Years,Activity not stated,0
Taplejung,Female,35 - 39 Years,Economic only,  702
Taplejung,Female,35 - 39 Years,Extended economic only,8
Taplejung,Female,35 - 39 Years,Seeking job only,0
Taplejung,Female,35 - 39 Years,Non economic only, 308
Taplejung,Female,35 - 39 Years,Activity not stated,0
Taplejung,Female,40 - 44 Years,Economic only,  677
Taplejung,Female,40 - 44 Years,Extended economic only,9
Taplejung,Female,40 - 44 Years,Seeking job only,0
Taplejung,Female,40 - 44 Years,Non economic only, 232
Taplejung,Female,40 - 44 Years,Activity not stated,9
Taplejung,Female,45 - 49 Years,Economic only,  493
Taplejung,Female,45 - 49 Years,Extended economic only,8
Taplejung,Female,45 - 49 Years,Seeking job only,0
Taplejung,Female,45 - 49 Years,Non economic only, 219
Taplejung,Female,45 - 49 Years,Activity not stated,0
Taplejung,Female,50 - 54 Years,Economic only,  391
Taplejung,Female,50 - 54 Years,Extended economic only,  16
Taplejung,Female,50 - 54 Years,Seeking job only,0
Taplejung,Female,50 - 54 Years,Non economic only, 326
Taplejung,Female,50 - 54 Years,Activity not stated,0
Taplejung,Female,55 - 59 Years,Economic only,  261
Taplejung,Female,55 - 59 Years,Extended economic only,8
Taplejung,Female,55 - 59 Years,Seeking job only,0
Taplejung,Female,55 - 59 Years,Non economic only, 358
Taplejung,Female,55 - 59 Years,Activity not stated,0
Taplejung,Female,60 - 64 Years,Economic only,  338
Taplejung,Female,60 - 64 Years,Extended economic only,8
Taplejung,Female,60 - 64 Years,Seeking job only,0
Taplejung,Female,60 - 64 Years,Non economic only, 532
Taplejung,Female,60 - 64 Years,Activity not stated,0
Taplejung,Female,65 - 69 Years,Economic only,80
Taplejung,Female,65 - 69 Years,Extended economic only,8
Taplejung,Female,65 - 69 Years,Seeking job only,0
Taplejung,Female,65 - 69 Years,Non economic only, 503
Taplejung,Female,65 - 69 Years,Activity not stated,0
Taplejung,Female,70 - 74 Years,Economic only,17
Taplejung,Female,70 - 74 Years,Extended economic only,8
Taplejung,Female,70 - 74 Years,Seeking job only,0
Taplejung,Female,70 - 74 Years,Non economic only, 493
Taplejung,Female,70 - 74 Years,Activity not stated,0
Taplejung,Female,75+ Years,Economic only, 60
Taplejung,Female,75+ Years,Extended economic only,0
Taplejung,Female,75+ Years,Seeking job only,0
Taplejung,Female,75+ Years,Non economic only,  1056
Taplejung,Female,75+ Years,Activity not stated,0
Panchthar,Both Sexes,10 - 14 Years,Economic only,  299
Panchthar,Both Sexes,10 - 14 Years,Extended economic only,8
Panchthar,Both Sexes,10 - 14 Years,Seeking job only,  17
Panchthar,Both Sexes,10 - 14 Years,Non economic only, 23845
Panchthar,Both Sexes,10 - 14 Years,Activity not stated,  50
Panchthar,Both Sexes,15 - 19 Years,Economic only,2431
Panchthar,Both Sexes,15 - 19 Years,Extended economic only,8
Panchthar,Both Sexes,15 - 19 Years,Seeking job only,  47
Panchthar,Both Sexes,15 - 19 Years,Non economic only, 16946
Panchthar,Both Sexes,15 - 19 Years,Activity not stated,  32
Panchthar,Both Sexes,20 - 24 Years,Economic only,4388
Panchthar,Both Sexes,20 - 24 Years,Extended economic only,8
Panchthar,Both Sexes,20 - 24 Years,Seeking job only,  72
Panchthar,Both Sexes,20 - 24 Years,Non economic only,  5978
Panchthar,Both Sexes,20 - 24 Years,Activity not stated,  16
Panchthar,Both Sexes,25 - 29 Years,Economic only,5364
Panchthar,Both Sexes,25 - 29 Years,Extended economic only,  49
Panchthar,Both Sexes,25 - 29 Years,Seeking job only,  41
Panchthar,Both Sexes,25 - 29 Years,Non economic only,  1896
Panchthar,Both Sexes,25 - 29 Years,Activity not stated,  16
Panchthar,Both Sexes,30 - 34 Years,Economic only,4843
Panchthar,Both Sexes,30 - 34 Years,Extended economic only,  26
Panchthar,Both Sexes,30 - 34 Years,Seeking job only,0
Panchthar,Both Sexes,30 - 34 Years,Non economic only, 931
Panchthar,Both Sexes,30 - 34 Years,Activity not stated,9
Panchthar,Both Sexes,35 - 39 Years,Economic only,4694
Panchthar,Both Sexes,35 - 39 Years,Extended economic only,  66
Panchthar,Both Sexes,35 - 39 Years,Seeking job only,8
Panchthar,Both Sexes,35 - 39 Years,Non economic only, 564
Panchthar,Both Sexes,35 - 39 Years,Activity not stated,  33
Panchthar,Both Sexes,40 - 44 Years,Economic only,4599
Panchthar,Both Sexes,40 - 44 Years,Extended economic only,  31
Panchthar,Both Sexes,40 - 44 Years,Seeking job only,0
Panchthar,Both Sexes,40 - 44 Years,Non economic only, 545
Panchthar,Both Sexes,40 - 44 Years,Activity not stated,  15
Panchthar,Both Sexes,45 - 49 Years,Economic only,4325
Panchthar,Both Sexes,45 - 49 Years,Extended economic only,0
Panchthar,Both Sexes,45 - 49 Years,Seeking job only,0
Panchthar,Both Sexes,45 - 49 Years,Non economic only, 565
Panchthar,Both Sexes,45 - 49 Years,Activity not stated,7
Panchthar,Both Sexes,50 - 54 Years,Economic only,4136
Panchthar,Both Sexes,50 - 54 Years,Extended economic only,  16
Panchthar,Both Sexes,50 - 54 Years,Seeking job only,0
Panchthar,Both Sexes,50 - 54 Years,Non economic only, 682
Panchthar,Both Sexes,50 - 54 Years,Activity not stated,0
Panchthar,Both Sexes,55 - 59 Years,Economic only,2859
Panchthar,Both Sexes,55 - 59 Years,Extended economic only,0
Panchthar,Both Sexes,55 - 59 Years,Seeking job only,8
Panchthar,Both Sexes,55 - 59 Years,Non economic only, 620
Panchthar,Both Sexes,55 - 59 Years,Activity not stated,8
Panchthar,Both Sexes,60 - 64 Years,Economic only,2188
Panchthar,Both Sexes,60 - 64 Years,Extended economic only,  16
Panchthar,Both Sexes,60 - 64 Years,Seeking job only,0
Panchthar,Both Sexes,60 - 64 Years,Non economic only, 870
Panchthar,Both Sexes,60 - 64 Years,Activity not stated,0
Panchthar,Both Sexes,65 - 69 Years,Economic only,1470
Panchthar,Both Sexes,65 - 69 Years,Extended economic only,9
Panchthar,Both Sexes,65 - 69 Years,Seeking job only,0
Panchthar,Both Sexes,65 - 69 Years,Non economic only, 979
Panchthar,Both Sexes,65 - 69 Years,Activity not stated,8
Panchthar,Both Sexes,70 - 74 Years,Economic only,  671
Panchthar,Both Sexes,70 - 74 Years,Extended economic only,0
Panchthar,Both Sexes,70 - 74 Years,Seeking job only,0
Panchthar,Both Sexes,70 - 74 Years,Non economic only,  1445
Panchthar,Both Sexes,70 - 74 Years,Activity not stated,0
Panchthar,Both Sexes,75+ Years,Economic only,664
Panchthar,Both Sexes,75+ Years,Extended economic only,  15
Panchthar,Both Sexes,75+ Years,Seeking job only,8
Panchthar,Both Sexes,75+ Years,Non economic only,  2781
Panchthar,Both Sexes,75+ Years,Activity not stated,8
Panchthar,Male,10 - 14 Years,Economic only,  207
Panchthar,Male,10 - 14 Years,Extended economic only,8
Panchthar,Male,10 - 14 Years,Seeking job only,8
Panchthar,Male,10 - 14 Years,Non economic only, 11749
Panchthar,Male,10 - 14 Years,Activity not stated,  33
Panchthar,Male,15 - 19 Years,Economic only,1460
Panchthar,Male,15 - 19 Years,Extended economic only,0
Panchthar,Male,15 - 19 Years,Seeking job only,  47
Panchthar,Male,15 - 19 Years,Non economic only,  7780
Panchthar,Male,15 - 19 Years,Activity not stated,8
Panchthar,Male,20 - 24 Years,Economic only,2298
Panchthar,Male,20 - 24 Years,Extended economic only,0
Panchthar,Male,20 - 24 Years,Seeking job only,  64
Panchthar,Male,20 - 24 Years,Non economic only,  2003
Panchthar,Male,20 - 24 Years,Activity not stated,8
Panchthar,Male,25 - 29 Years,Economic only,2727
Panchthar,Male,25 - 29 Years,Extended economic only,  17
Panchthar,Male,25 - 29 Years,Seeking job only,  25
Panchthar,Male,25 - 29 Years,Non economic only, 472
Panchthar,Male,25 - 29 Years,Activity not stated,8
Panchthar,Male,30 - 34 Years,Economic only,2602
Panchthar,Male,30 - 34 Years,Extended economic only,  17
Panchthar,Male,30 - 34 Years,Seeking job only,0
Panchthar,Male,30 - 34 Years,Non economic only, 122
Panchthar,Male,30 - 34 Years,Activity not stated,9
Panchthar,Male,35 - 39 Years,Economic only,2706
Panchthar,Male,35 - 39 Years,Extended economic only,  25
Panchthar,Male,35 - 39 Years,Seeking job only,8
Panchthar,Male,35 - 39 Years,Non economic only, 115
Panchthar,Male,35 - 39 Years,Activity not stated,8
Panchthar,Male,40 - 44 Years,Economic only,2812
Panchthar,Male,40 - 44 Years,Extended economic only,  24
Panchthar,Male,40 - 44 Years,Seeking job only,0
Panchthar,Male,40 - 44 Years,Non economic only, 102
Panchthar,Male,40 - 44 Years,Activity not stated,8
Panchthar,Male,45 - 49 Years,Economic only,2745
Panchthar,Male,45 - 49 Years,Extended economic only,0
Panchthar,Male,45 - 49 Years,Seeking job only,0
Panchthar,Male,45 - 49 Years,Non economic only, 103
Panchthar,Male,45 - 49 Years,Activity not stated,7
Panchthar,Male,50 - 54 Years,Economic only,2586
Panchthar,Male,50 - 54 Years,Extended economic only,8
Panchthar,Male,50 - 54 Years,Seeking job only,0
Panchthar,Male,50 - 54 Years,Non economic only, 133
Panchthar,Male,50 - 54 Years,Activity not stated,0
Panchthar,Male,55 - 59 Years,Economic only,1900
Panchthar,Male,55 - 59 Years,Extended economic only,0
Panchthar,Male,55 - 59 Years,Seeking job only,8
Panchthar,Male,55 - 59 Years,Non economic only, 189
Panchthar,Male,55 - 59 Years,Activity not stated,0
Panchthar,Male,60 - 64 Years,Economic only,1510
Panchthar,Male,60 - 64 Years,Extended economic only,8
Panchthar,Male,60 - 64 Years,Seeking job only,0
Panchthar,Male,60 - 64 Years,Non economic only, 243
Panchthar,Male,60 - 64 Years,Activity not stated,0
Panchthar,Male,65 - 69 Years,Economic only,1007
Panchthar,Male,65 - 69 Years,Extended economic only,9
Panchthar,Male,65 - 69 Years,Seeking job only,0
Panchthar,Male,65 - 69 Years,Non economic only, 261
Panchthar,Male,65 - 69 Years,Activity not stated,0
Panchthar,Male,70 - 74 Years,Economic only,  492
Panchthar,Male,70 - 74 Years,Extended economic only,0
Panchthar,Male,70 - 74 Years,Seeking job only,0
Panchthar,Male,70 - 74 Years,Non economic only, 553
Panchthar,Male,70 - 74 Years,Activity not stated,0
Panchthar,Male,75+ Years,Economic only,470
Panchthar,Male,75+ Years,Extended economic only,  15
Panchthar,Male,75+ Years,Seeking job only,0
Panchthar,Male,75+ Years,Non economic only,  1258
Panchthar,Male,75+ Years,Activity not stated,8
Panchthar,Female,10 - 14 Years,Economic only,92
Panchthar,Female,10 - 14 Years,Extended economic only,0
Panchthar,Female,10 - 14 Years,Seeking job only,8
Panchthar,Female,10 - 14 Years,Non economic only, 12096
Panchthar,Female,10 - 14 Years,Activity not stated,  17
Panchthar,Female,15 - 19 Years,Economic only,  972
Panchthar,Female,15 - 19 Years,Extended economic only,8
Panchthar,Female,15 - 19 Years,Seeking job only,0
Panchthar,Female,15 - 19 Years,Non economic only,  9166
Panchthar,Female,15 - 19 Years,Activity not stated,  24
Panchthar,Female,20 - 24 Years,Economic only,2089
Panchthar,Female,20 - 24 Years,Extended economic only,8
Panchthar,Female,20 - 24 Years,Seeking job only,8
Panchthar,Female,20 - 24 Years,Non economic only,  3974
Panchthar,Female,20 - 24 Years,Activity not stated,8
Panchthar,Female,25 - 29 Years,Economic only,2637
Panchthar,Female,25 - 29 Years,Extended economic only,  32
Panchthar,Female,25 - 29 Years,Seeking job only,  16
Panchthar,Female,25 - 29 Years,Non economic only,  1424
Panchthar,Female,25 - 29 Years,Activity not stated,8
Panchthar,Female,30 - 34 Years,Economic only,2241
Panchthar,Female,30 - 34 Years,Extended economic only,9
Panchthar,Female,30 - 34 Years,Seeking job only,0
Panchthar,Female,30 - 34 Years,Non economic only, 809
Panchthar,Female,30 - 34 Years,Activity not stated,0
Panchthar,Female,35 - 39 Years,Economic only,1988
Panchthar,Female,35 - 39 Years,Extended economic only,  42
Panchthar,Female,35 - 39 Years,Seeking job only,0
Panchthar,Female,35 - 39 Years,Non economic only, 449
Panchthar,Female,35 - 39 Years,Activity not stated,  25
Panchthar,Female,40 - 44 Years,Economic only,1787
Panchthar,Female,40 - 44 Years,Extended economic only,8
Panchthar,Female,40 - 44 Years,Seeking job only,0
Panchthar,Female,40 - 44 Years,Non economic only, 443
Panchthar,Female,40 - 44 Years,Activity not stated,8
Panchthar,Female,45 - 49 Years,Economic only,1580
Panchthar,Female,45 - 49 Years,Extended economic only,0
Panchthar,Female,45 - 49 Years,Seeking job only,0
Panchthar,Female,45 - 49 Years,Non economic only, 461
Panchthar,Female,45 - 49 Years,Activity not stated,0
Panchthar,Female,50 - 54 Years,Economic only,1550
Panchthar,Female,50 - 54 Years,Extended economic only,8
Panchthar,Female,50 - 54 Years,Seeking job only,0
Panchthar,Female,50 - 54 Years,Non economic only, 549
Panchthar,Female,50 - 54 Years,Activity not stated,0
Panchthar,Female,55 - 59 Years,Economic only,  959
Panchthar,Female,55 - 59 Years,Extended economic only,0
Panchthar,Female,55 - 59 Years,Seeking job only,0
Panchthar,Female,55 - 59 Years,Non economic only, 431
Panchthar,Female,55 - 59 Years,Activity not stated,8
Panchthar,Female,60 - 64 Years,Economic only,  678
Panchthar,Female,60 - 64 Years,Extended economic only,8
Panchthar,Female,60 - 64 Years,Seeking job only,0
Panchthar,Female,60 - 64 Years,Non economic only, 627
Panchthar,Female,60 - 64 Years,Activity not stated,0
Panchthar,Female,65 - 69 Years,Economic only,  463
Panchthar,Female,65 - 69 Years,Extended economic only,0
Panchthar,Female,65 - 69 Years,Seeking job only,0
Panchthar,Female,65 - 69 Years,Non economic only, 718
Panchthar,Female,65 - 69 Years,Activity not stated,8
Panchthar,Female,70 - 74 Years,Economic only,  178
Panchthar,Female,70 - 74 Years,Extended economic only,0
Panchthar,Female,70 - 74 Years,Seeking job only,0
Panchthar,Female,70 - 74 Years,Non economic only, 892
Panchthar,Female,70 - 74 Years,Activity not stated,0
Panchthar,Female,75+ Years,Economic only,194
Panchthar,Female,75+ Years,Extended economic only,0
Panchthar,Female,75+ Years,Seeking job only,8
Panchthar,Female,75+ Years,Non economic only,  1523
Panchthar,Female,75+ Years,Activity not stated,0
Ilam,Both Sexes,,Economic only,Total
Ilam,Both Sexes,,Extended economic only,63622
Ilam,Both Sexes,,Seeking job only, 462
Ilam,Both Sexes,,Non economic only, 356
Ilam,Both Sexes,,Activity not stated, 77275
Ilam,Both Sexes,,Column 7,  1505
Ilam,Both Sexes,,Economic only,10 - 14 Years
Ilam,Both Sexes,,Extended economic only, 382
Ilam,Both Sexes,,Seeking job only,9
Ilam,Both Sexes,,Non economic only,  10
Ilam,Both Sexes,,Activity not stated, 30270
Ilam,Both Sexes,,Column 7, 318
Ilam,Both Sexes,,Economic only,15 - 19 Years
Ilam,Both Sexes,,Extended economic only,  3532
Ilam,Both Sexes,,Seeking job only,  43
Ilam,Both Sexes,,Non economic only,  42
Ilam,Both Sexes,,Activity not stated, 21645
Ilam,Both Sexes,,Column 7, 254
Ilam,Both Sexes,,Economic only,20 - 24 Years
Ilam,Both Sexes,,Extended economic only,  6877
Ilam,Both Sexes,,Seeking job only,  60
Ilam,Both Sexes,,Non economic only, 116
Ilam,Both Sexes,,Activity not stated,  7976
Ilam,Both Sexes,,Column 7, 223
Ilam,Both Sexes,,Economic only,25 - 29 Years
Ilam,Both Sexes,,Extended economic only,  8250
Ilam,Both Sexes,,Seeking job only,  65
Ilam,Both Sexes,,Non economic only,  70
Ilam,Both Sexes,,Activity not stated,  2806
Ilam,Both Sexes,,Column 7, 194
Ilam,Both Sexes,,Economic only,30 - 34 Years
Ilam,Both Sexes,,Extended economic only,  7801
Ilam,Both Sexes,,Seeking job only,  62
Ilam,Both Sexes,,Non economic only,  45
Ilam,Both Sexes,,Activity not stated,  1366
Ilam,Both Sexes,,Column 7, 114
Ilam,Both Sexes,,Economic only,35 - 39 Years
Ilam,Both Sexes,,Extended economic only,  7293
Ilam,Both Sexes,,Seeking job only,  23
Ilam,Both Sexes,,Non economic only,  17
Ilam,Both Sexes,,Activity not stated,  1062
Ilam,Both Sexes,,Column 7,  81
Ilam,Both Sexes,,Economic only,40 - 44 Years
Ilam,Both Sexes,,Extended economic only,  6954
Ilam,Both Sexes,,Seeking job only,  30
Ilam,Both Sexes,,Non economic only,  12
Ilam,Both Sexes,,Activity not stated, 927
Ilam,Both Sexes,,Column 7,  51
Ilam,Both Sexes,,Economic only,45 - 49 Years
Ilam,Both Sexes,,Extended economic only,  6334
Ilam,Both Sexes,,Seeking job only,  55
Ilam,Both Sexes,,Non economic only,  18
Ilam,Both Sexes,,Activity not stated, 742
Ilam,Both Sexes,,Column 7,  60
Ilam,Both Sexes,,Economic only,50 - 54 Years
Ilam,Both Sexes,,Extended economic only,  5639
Ilam,Both Sexes,,Seeking job only,  25
Ilam,Both Sexes,,Non economic only,  27
Ilam,Both Sexes,,Activity not stated, 988
Ilam,Both Sexes,,Column 7,  50
Ilam,Both Sexes,,Economic only,55 - 59 Years
Ilam,Both Sexes,,Extended economic only,  3947
Ilam,Both Sexes,,Seeking job only,  45
Ilam,Both Sexes,,Non economic only,0
Ilam,Both Sexes,,Activity not stated,  1094
Ilam,Both Sexes,,Column 7,  33
Ilam,Both Sexes,,Economic only,60 - 64 Years
Ilam,Both Sexes,,Extended economic only,  3196
Ilam,Both Sexes,,Seeking job only,  19
Ilam,Both Sexes,,Non economic only,0
Ilam,Both Sexes,,Activity not stated,  1348
Ilam,Both Sexes,,Column 7,  27
Ilam,Both Sexes,,Economic only,65 - 69 Years
Ilam,Both Sexes,,Extended economic only,  1710
Ilam,Both Sexes,,Seeking job only,1
Ilam,Both Sexes,,Non economic only,0
Ilam,Both Sexes,,Activity not stated,  1653
Ilam,Both Sexes,,Column 7,  33
Ilam,Both Sexes,,Economic only,70 - 74 Years
Ilam,Both Sexes,,Extended economic only,  1022
Ilam,Both Sexes,,Seeking job only,  16
Ilam,Both Sexes,,Non economic only,1
Ilam,Both Sexes,,Activity not stated,  1787
Ilam,Both Sexes,,Column 7,  18
Ilam,Both Sexes,,Economic only,75+ Years
Ilam,Both Sexes,,Extended economic only,  683
Ilam,Both Sexes,,Seeking job only,8
Ilam,Both Sexes,,Non economic only,0
Ilam,Both Sexes,,Activity not stated,  3611
Ilam,Both Sexes,,Column 7,  48
Ilam,Male,10 - 14 Years,Economic only,  266
Ilam,Male,10 - 14 Years,Extended economic only,8
