District,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Gender,Age-Group,Indicator,Sub-Indicator,Value
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,20 - 24 Years,Other district,Urban,17
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,20 - 24 Years,Other district,Not stated,34
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,20 - 24 Years,Foreign country,,17
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,20 - 24 Years,Place not stated,,77
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,25 - 29 Years,Population aged 5 years & above,,6853
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,25 - 29 Years,Same district,,6553
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,25 - 29 Years,Other district,Total,268
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,25 - 29 Years,Other district,Rural,227
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,25 - 29 Years,Other district,Urban,16
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,25 - 29 Years,Other district,Not stated,24
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,25 - 29 Years,Foreign country,,24
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,25 - 29 Years,Place not stated,,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,30 - 34 Years,Population aged 5 years & above,,5350
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,30 - 34 Years,Same district,,5216
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,30 - 34 Years,Other district,Total,79
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,30 - 34 Years,Other district,Rural,32
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,30 - 34 Years,Other district,Urban,39
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,30 - 34 Years,Other district,Not stated,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,30 - 34 Years,Foreign country,,24
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,30 - 34 Years,Place not stated,,32
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,35 - 39 Years,Population aged 5 years & above,,5363
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,35 - 39 Years,Same district,,5283
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,35 - 39 Years,Other district,Total,48
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,35 - 39 Years,Other district,Rural,32
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,35 - 39 Years,Other district,Urban,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,35 - 39 Years,Other district,Not stated,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,35 - 39 Years,Foreign country,,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,35 - 39 Years,Place not stated,,24
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,40 - 44 Years,Population aged 5 years & above,,4205
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,40 - 44 Years,Same district,,4109
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,40 - 44 Years,Other district,Total,56
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,40 - 44 Years,Other district,Rural,32
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,40 - 44 Years,Other district,Urban,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,40 - 44 Years,Other district,Not stated,16
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,40 - 44 Years,Foreign country,,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,40 - 44 Years,Place not stated,,32
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,45 - 49 Years,Population aged 5 years & above,,4033
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,45 - 49 Years,Same district,,3963
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,45 - 49 Years,Other district,Total,31
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,45 - 49 Years,Other district,Rural,23
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,45 - 49 Years,Other district,Urban,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,45 - 49 Years,Other district,Not stated,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,45 - 49 Years,Foreign country,,16
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,45 - 49 Years,Place not stated,,23
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,50 - 54 Years,Population aged 5 years & above,,3381
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,50 - 54 Years,Same district,,3354
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,50 - 54 Years,Other district,Total,18
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,50 - 54 Years,Other district,Rural,9
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,50 - 54 Years,Other district,Urban,9
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,50 - 54 Years,Other district,Not stated,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,50 - 54 Years,Foreign country,,9
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,50 - 54 Years,Place not stated,,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,55 - 59 Years,Population aged 5 years & above,,2929
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,55 - 59 Years,Same district,,2929
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,55 - 59 Years,Other district,Total,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,55 - 59 Years,Other district,Rural,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,55 - 59 Years,Other district,Urban,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,55 - 59 Years,Other district,Not stated,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,55 - 59 Years,Foreign country,,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,55 - 59 Years,Place not stated,,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,60 - 64 Years,Population aged 5 years & above,,2917
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,60 - 64 Years,Same district,,2867
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,60 - 64 Years,Other district,Total,25
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,60 - 64 Years,Other district,Rural,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,60 - 64 Years,Other district,Urban,17
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,60 - 64 Years,Other district,Not stated,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,60 - 64 Years,Foreign country,,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,60 - 64 Years,Place not stated,,17
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,65 - 69 Years,Population aged 5 years & above,,2350
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,65 - 69 Years,Same district,,2335
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,65 - 69 Years,Other district,Total,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,65 - 69 Years,Other district,Rural,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,65 - 69 Years,Other district,Urban,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,65 - 69 Years,Other district,Not stated,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,65 - 69 Years,Foreign country,,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,65 - 69 Years,Place not stated,,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,70 - 74 Years,Population aged 5 years & above,,1869
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,70 - 74 Years,Same district,,1869
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,70 - 74 Years,Other district,Total,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,70 - 74 Years,Other district,Rural,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,70 - 74 Years,Other district,Urban,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,70 - 74 Years,Other district,Not stated,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,70 - 74 Years,Foreign country,,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,70 - 74 Years,Place not stated,,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,75+ Years,Population aged 5 years & above,,1698
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,75+ Years,Same district,,1690
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,75+ Years,Other district,Total,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,75+ Years,Other district,Rural,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,75+ Years,Other district,Urban,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,75+ Years,Other district,Not stated,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,75+ Years,Foreign country,,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,75+ Years,Place not stated,,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,05 - 09 Years,Population aged 5 years & above,,19740
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,05 - 09 Years,Same district,,19425
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,05 - 09 Years,Other district,Total,63
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,05 - 09 Years,Other district,Rural,47
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,05 - 09 Years,Other district,Urban,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,05 - 09 Years,Other district,Not stated,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,05 - 09 Years,Foreign country,,39
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,05 - 09 Years,Place not stated,,213
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,10 - 14 Years,Population aged 5 years & above,,19475
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,10 - 14 Years,Same district,,19277
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,10 - 14 Years,Other district,Total,24
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,10 - 14 Years,Other district,Rural,16
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,10 - 14 Years,Other district,Urban,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,10 - 14 Years,Other district,Not stated,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,10 - 14 Years,Foreign country,,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,10 - 14 Years,Place not stated,,174
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,15 - 19 Years,Population aged 5 years & above,,14715
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,15 - 19 Years,Same district,,14148
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,15 - 19 Years,Other district,Total,417
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,15 - 19 Years,Other district,Rural,325
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,15 - 19 Years,Other district,Urban,17
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,15 - 19 Years,Other district,Not stated,75
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,15 - 19 Years,Foreign country,,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,15 - 19 Years,Place not stated,,142
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,20 - 24 Years,Population aged 5 years & above,,11062
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,20 - 24 Years,Same district,,10469
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,20 - 24 Years,Other district,Total,513
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,20 - 24 Years,Other district,Rural,393
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,20 - 24 Years,Other district,Urban,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,20 - 24 Years,Other district,Not stated,112
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,20 - 24 Years,Foreign country,,16
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,20 - 24 Years,Place not stated,,64
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,25 - 29 Years,Population aged 5 years & above,,9470
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,25 - 29 Years,Same district,,9139
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,25 - 29 Years,Other district,Total,250
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,25 - 29 Years,Other district,Rural,145
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,25 - 29 Years,Other district,Urban,65
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,25 - 29 Years,Other district,Not stated,40
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,25 - 29 Years,Foreign country,,24
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,25 - 29 Years,Place not stated,,57
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,30 - 34 Years,Population aged 5 years & above,,7746
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,30 - 34 Years,Same district,,7628
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,30 - 34 Years,Other district,Total,63
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,30 - 34 Years,Other district,Rural,24
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,30 - 34 Years,Other district,Urban,24
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,30 - 34 Years,Other district,Not stated,16
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,30 - 34 Years,Foreign country,,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,30 - 34 Years,Place not stated,,55
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,35 - 39 Years,Population aged 5 years & above,,7003
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,35 - 39 Years,Same district,,6901
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,35 - 39 Years,Other district,Total,47
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,35 - 39 Years,Other district,Rural,47
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,35 - 39 Years,Other district,Urban,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,35 - 39 Years,Other district,Not stated,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,35 - 39 Years,Foreign country,,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,35 - 39 Years,Place not stated,,55
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,40 - 44 Years,Population aged 5 years & above,,5945
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,40 - 44 Years,Same district,,5897
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,40 - 44 Years,Other district,Total,32
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,40 - 44 Years,Other district,Rural,24
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,40 - 44 Years,Other district,Urban,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,40 - 44 Years,Other district,Not stated,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,40 - 44 Years,Foreign country,,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,40 - 44 Years,Place not stated,,16
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,45 - 49 Years,Population aged 5 years & above,,4976
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,45 - 49 Years,Same district,,4951
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,45 - 49 Years,Other district,Total,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,45 - 49 Years,Other district,Rural,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,45 - 49 Years,Other district,Urban,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,45 - 49 Years,Other district,Not stated,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,45 - 49 Years,Foreign country,,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,45 - 49 Years,Place not stated,,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,50 - 54 Years,Population aged 5 years & above,,3870
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,50 - 54 Years,Same district,,3836
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,50 - 54 Years,Other district,Total,25
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,50 - 54 Years,Other district,Rural,25
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,50 - 54 Years,Other district,Urban,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,50 - 54 Years,Other district,Not stated,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,50 - 54 Years,Foreign country,,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,50 - 54 Years,Place not stated,,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,55 - 59 Years,Population aged 5 years & above,,3176
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,55 - 59 Years,Same district,,3168
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,55 - 59 Years,Other district,Total,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,55 - 59 Years,Other district,Rural,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,55 - 59 Years,Other district,Urban,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,55 - 59 Years,Other district,Not stated,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,55 - 59 Years,Foreign country,,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,55 - 59 Years,Place not stated,,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,60 - 64 Years,Population aged 5 years & above,,4223
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,60 - 64 Years,Same district,,4165
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,60 - 64 Years,Other district,Total,33
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,60 - 64 Years,Other district,Rural,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,60 - 64 Years,Other district,Urban,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,60 - 64 Years,Other district,Not stated,25
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,60 - 64 Years,Foreign country,,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,60 - 64 Years,Place not stated,,25
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,65 - 69 Years,Population aged 5 years & above,,3283
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,65 - 69 Years,Same district,,3259
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,65 - 69 Years,Other district,Total,24
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,65 - 69 Years,Other district,Rural,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,65 - 69 Years,Other district,Urban,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,65 - 69 Years,Other district,Not stated,16
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,65 - 69 Years,Foreign country,,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,65 - 69 Years,Place not stated,,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,70 - 74 Years,Population aged 5 years & above,,2715
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,70 - 74 Years,Same district,,2658
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,70 - 74 Years,Other district,Total,14
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,70 - 74 Years,Other district,Rural,7
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,70 - 74 Years,Other district,Urban,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,70 - 74 Years,Other district,Not stated,7
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,70 - 74 Years,Foreign country,,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,70 - 74 Years,Place not stated,,43
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,75+ Years,Population aged 5 years & above,,2083
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,75+ Years,Same district,,2065
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,75+ Years,Other district,Total,9
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,75+ Years,Other district,Rural,9
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,75+ Years,Other district,Urban,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,75+ Years,Other district,Not stated,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,75+ Years,Foreign country,,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,75+ Years,Place not stated,,9
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,05 - 09 Years,Population aged 5 years & above,,12672
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,05 - 09 Years,Same district,,12543
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,05 - 09 Years,Other district,Total,40
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,05 - 09 Years,Other district,Rural,40
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,05 - 09 Years,Other district,Urban,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,05 - 09 Years,Other district,Not stated,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,05 - 09 Years,Foreign country,,8
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,05 - 09 Years,Place not stated,,81
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,10 - 14 Years,Population aged 5 years & above,,13959
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,10 - 14 Years,Same district,,13817
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,10 - 14 Years,Other district,Total,39
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,10 - 14 Years,Other district,Rural,32
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,10 - 14 Years,Other district,Urban,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,10 - 14 Years,Other district,Not stated,8
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,10 - 14 Years,Foreign country,,32
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,10 - 14 Years,Place not stated,,71
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,15 - 19 Years,Population aged 5 years & above,,8850
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,15 - 19 Years,Same district,,8706
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,15 - 19 Years,Other district,Total,56
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,15 - 19 Years,Other district,Rural,40
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,15 - 19 Years,Other district,Urban,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,15 - 19 Years,Other district,Not stated,16
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,15 - 19 Years,Foreign country,,48
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,15 - 19 Years,Place not stated,,40
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,20 - 24 Years,Population aged 5 years & above,,4406
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,20 - 24 Years,Same district,,4333
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,20 - 24 Years,Other district,Total,24
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,20 - 24 Years,Other district,Rural,8
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,20 - 24 Years,Other district,Urban,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,20 - 24 Years,Other district,Not stated,16
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,20 - 24 Years,Foreign country,,33
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,20 - 24 Years,Place not stated,,16
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,25 - 29 Years,Population aged 5 years & above,,3620
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,25 - 29 Years,Same district,,3468
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,25 - 29 Years,Other district,Total,76
