District,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Age group,Gender,Population having disability of,Value
Achham,Seti,Hill,Far-Western,2068/69,2011/12,25 - 29 Years,Male,Physical,108
Achham,Seti,Hill,Far-Western,2068/69,2011/12,25 - 29 Years,Male,Blindness/ low vision,37
Achham,Seti,Hill,Far-Western,2068/69,2011/12,25 - 29 Years,Male,Deaf / hard to hearing,33
Achham,Seti,Hill,Far-Western,2068/69,2011/12,25 - 29 Years,Male,Deaf–blind,2
Achham,Seti,Hill,Far-Western,2068/69,2011/12,25 - 29 Years,Male,Speech problem,17
Achham,Seti,Hill,Far-Western,2068/69,2011/12,25 - 29 Years,Male,Mental disable,17
Achham,Seti,Hill,Far-Western,2068/69,2011/12,25 - 29 Years,Male,Intellectual disable,4
Achham,Seti,Hill,Far-Western,2068/69,2011/12,25 - 29 Years,Male,Multiple Misable,14
Achham,Seti,Hill,Far-Western,2068/69,2011/12,30 - 34 Years,Male,Total Population,5510
Achham,Seti,Hill,Far-Western,2068/69,2011/12,30 - 34 Years,Male,Population without disability,5325
Achham,Seti,Hill,Far-Western,2068/69,2011/12,30 - 34 Years,Male,Physical,98
Achham,Seti,Hill,Far-Western,2068/69,2011/12,30 - 34 Years,Male,Blindness/ low vision,22
Achham,Seti,Hill,Far-Western,2068/69,2011/12,30 - 34 Years,Male,Deaf / hard to hearing,22
Achham,Seti,Hill,Far-Western,2068/69,2011/12,30 - 34 Years,Male,Deaf–blind,3
Achham,Seti,Hill,Far-Western,2068/69,2011/12,30 - 34 Years,Male,Speech problem,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,30 - 34 Years,Male,Mental disable,15
Achham,Seti,Hill,Far-Western,2068/69,2011/12,30 - 34 Years,Male,Intellectual disable,3
Achham,Seti,Hill,Far-Western,2068/69,2011/12,30 - 34 Years,Male,Multiple Misable,14
Achham,Seti,Hill,Far-Western,2068/69,2011/12,35 - 39 Years,Male,Total Population,5457
Achham,Seti,Hill,Far-Western,2068/69,2011/12,35 - 39 Years,Male,Population without disability,5221
Achham,Seti,Hill,Far-Western,2068/69,2011/12,35 - 39 Years,Male,Physical,118
Achham,Seti,Hill,Far-Western,2068/69,2011/12,35 - 39 Years,Male,Blindness/ low vision,29
Achham,Seti,Hill,Far-Western,2068/69,2011/12,35 - 39 Years,Male,Deaf / hard to hearing,34
Achham,Seti,Hill,Far-Western,2068/69,2011/12,35 - 39 Years,Male,Deaf–blind,1
Achham,Seti,Hill,Far-Western,2068/69,2011/12,35 - 39 Years,Male,Speech problem,21
Achham,Seti,Hill,Far-Western,2068/69,2011/12,35 - 39 Years,Male,Mental disable,19
Achham,Seti,Hill,Far-Western,2068/69,2011/12,35 - 39 Years,Male,Intellectual disable,2
Achham,Seti,Hill,Far-Western,2068/69,2011/12,35 - 39 Years,Male,Multiple Misable,12
Achham,Seti,Hill,Far-Western,2068/69,2011/12,40 - 44 Years,Male,Total Population,4239
Achham,Seti,Hill,Far-Western,2068/69,2011/12,40 - 44 Years,Male,Population without disability,4038
Achham,Seti,Hill,Far-Western,2068/69,2011/12,40 - 44 Years,Male,Physical,96
Achham,Seti,Hill,Far-Western,2068/69,2011/12,40 - 44 Years,Male,Blindness/ low vision,19
Achham,Seti,Hill,Far-Western,2068/69,2011/12,40 - 44 Years,Male,Deaf / hard to hearing,27
Achham,Seti,Hill,Far-Western,2068/69,2011/12,40 - 44 Years,Male,Deaf–blind,2
Achham,Seti,Hill,Far-Western,2068/69,2011/12,40 - 44 Years,Male,Speech problem,20
Achham,Seti,Hill,Far-Western,2068/69,2011/12,40 - 44 Years,Male,Mental disable,20
Achham,Seti,Hill,Far-Western,2068/69,2011/12,40 - 44 Years,Male,Intellectual disable,3
Achham,Seti,Hill,Far-Western,2068/69,2011/12,40 - 44 Years,Male,Multiple Misable,14
Achham,Seti,Hill,Far-Western,2068/69,2011/12,45 - 49 Years,Male,Total Population,4051
Achham,Seti,Hill,Far-Western,2068/69,2011/12,45 - 49 Years,Male,Population without disability,3809
Achham,Seti,Hill,Far-Western,2068/69,2011/12,45 - 49 Years,Male,Physical,119
Achham,Seti,Hill,Far-Western,2068/69,2011/12,45 - 49 Years,Male,Blindness/ low vision,38
Achham,Seti,Hill,Far-Western,2068/69,2011/12,45 - 49 Years,Male,Deaf / hard to hearing,30
Achham,Seti,Hill,Far-Western,2068/69,2011/12,45 - 49 Years,Male,Deaf–blind,4
Achham,Seti,Hill,Far-Western,2068/69,2011/12,45 - 49 Years,Male,Speech problem,21
Achham,Seti,Hill,Far-Western,2068/69,2011/12,45 - 49 Years,Male,Mental disable,13
Achham,Seti,Hill,Far-Western,2068/69,2011/12,45 - 49 Years,Male,Intellectual disable,2
Achham,Seti,Hill,Far-Western,2068/69,2011/12,45 - 49 Years,Male,Multiple Misable,15
Achham,Seti,Hill,Far-Western,2068/69,2011/12,50 - 54 Years,Male,Total Population,3384
Achham,Seti,Hill,Far-Western,2068/69,2011/12,50 - 54 Years,Male,Population without disability,3146
Achham,Seti,Hill,Far-Western,2068/69,2011/12,50 - 54 Years,Male,Physical,106
Achham,Seti,Hill,Far-Western,2068/69,2011/12,50 - 54 Years,Male,Blindness/ low vision,37
Achham,Seti,Hill,Far-Western,2068/69,2011/12,50 - 54 Years,Male,Deaf / hard to hearing,34
Achham,Seti,Hill,Far-Western,2068/69,2011/12,50 - 54 Years,Male,Deaf–blind,1
Achham,Seti,Hill,Far-Western,2068/69,2011/12,50 - 54 Years,Male,Speech problem,20
Achham,Seti,Hill,Far-Western,2068/69,2011/12,50 - 54 Years,Male,Mental disable,14
Achham,Seti,Hill,Far-Western,2068/69,2011/12,50 - 54 Years,Male,Intellectual disable,4
Achham,Seti,Hill,Far-Western,2068/69,2011/12,50 - 54 Years,Male,Multiple Misable,22
Achham,Seti,Hill,Far-Western,2068/69,2011/12,55 - 59 Years,Male,Total Population,2933
Achham,Seti,Hill,Far-Western,2068/69,2011/12,55 - 59 Years,Male,Population without disability,2691
Achham,Seti,Hill,Far-Western,2068/69,2011/12,55 - 59 Years,Male,Physical,117
Achham,Seti,Hill,Far-Western,2068/69,2011/12,55 - 59 Years,Male,Blindness/ low vision,45
Achham,Seti,Hill,Far-Western,2068/69,2011/12,55 - 59 Years,Male,Deaf / hard to hearing,42
Achham,Seti,Hill,Far-Western,2068/69,2011/12,55 - 59 Years,Male,Deaf–blind,2
Achham,Seti,Hill,Far-Western,2068/69,2011/12,55 - 59 Years,Male,Speech problem,9
Achham,Seti,Hill,Far-Western,2068/69,2011/12,55 - 59 Years,Male,Mental disable,9
Achham,Seti,Hill,Far-Western,2068/69,2011/12,55 - 59 Years,Male,Intellectual disable,5
Achham,Seti,Hill,Far-Western,2068/69,2011/12,55 - 59 Years,Male,Multiple Misable,13
Achham,Seti,Hill,Far-Western,2068/69,2011/12,60 - 64 Years,Male,Total Population,2920
Achham,Seti,Hill,Far-Western,2068/69,2011/12,60 - 64 Years,Male,Population without disability,2637
Achham,Seti,Hill,Far-Western,2068/69,2011/12,60 - 64 Years,Male,Physical,126
Achham,Seti,Hill,Far-Western,2068/69,2011/12,60 - 64 Years,Male,Blindness/ low vision,71
Achham,Seti,Hill,Far-Western,2068/69,2011/12,60 - 64 Years,Male,Deaf / hard to hearing,44
Achham,Seti,Hill,Far-Western,2068/69,2011/12,60 - 64 Years,Male,Deaf–blind,3
Achham,Seti,Hill,Far-Western,2068/69,2011/12,60 - 64 Years,Male,Speech problem,12
Achham,Seti,Hill,Far-Western,2068/69,2011/12,60 - 64 Years,Male,Mental disable,3
Achham,Seti,Hill,Far-Western,2068/69,2011/12,60 - 64 Years,Male,Intellectual disable,1
Achham,Seti,Hill,Far-Western,2068/69,2011/12,60 - 64 Years,Male,Multiple Misable,23
Achham,Seti,Hill,Far-Western,2068/69,2011/12,65 - 69 Years,Male,Total Population,2350
Achham,Seti,Hill,Far-Western,2068/69,2011/12,65 - 69 Years,Male,Population without disability,2113
Achham,Seti,Hill,Far-Western,2068/69,2011/12,65 - 69 Years,Male,Physical,92
Achham,Seti,Hill,Far-Western,2068/69,2011/12,65 - 69 Years,Male,Blindness/ low vision,78
Achham,Seti,Hill,Far-Western,2068/69,2011/12,65 - 69 Years,Male,Deaf / hard to hearing,39
Achham,Seti,Hill,Far-Western,2068/69,2011/12,65 - 69 Years,Male,Deaf–blind,10
Achham,Seti,Hill,Far-Western,2068/69,2011/12,65 - 69 Years,Male,Speech problem,6
Achham,Seti,Hill,Far-Western,2068/69,2011/12,65 - 69 Years,Male,Mental disable,3
Achham,Seti,Hill,Far-Western,2068/69,2011/12,65 - 69 Years,Male,Intellectual disable,1
Achham,Seti,Hill,Far-Western,2068/69,2011/12,65 - 69 Years,Male,Multiple Misable,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,70 - 74 Years,Male,Total Population,1870
Achham,Seti,Hill,Far-Western,2068/69,2011/12,70 - 74 Years,Male,Population without disability,1637
Achham,Seti,Hill,Far-Western,2068/69,2011/12,70 - 74 Years,Male,Physical,77
Achham,Seti,Hill,Far-Western,2068/69,2011/12,70 - 74 Years,Male,Blindness/ low vision,85
Achham,Seti,Hill,Far-Western,2068/69,2011/12,70 - 74 Years,Male,Deaf / hard to hearing,30
Achham,Seti,Hill,Far-Western,2068/69,2011/12,70 - 74 Years,Male,Deaf–blind,13
Achham,Seti,Hill,Far-Western,2068/69,2011/12,70 - 74 Years,Male,Speech problem,6
Achham,Seti,Hill,Far-Western,2068/69,2011/12,70 - 74 Years,Male,Mental disable,5
Achham,Seti,Hill,Far-Western,2068/69,2011/12,70 - 74 Years,Male,Intellectual disable,1
Achham,Seti,Hill,Far-Western,2068/69,2011/12,70 - 74 Years,Male,Multiple Misable,16
Achham,Seti,Hill,Far-Western,2068/69,2011/12,75+ Years,Male,Total Population,1698
Achham,Seti,Hill,Far-Western,2068/69,2011/12,75+ Years,Male,Population without disability,1412
Achham,Seti,Hill,Far-Western,2068/69,2011/12,75+ Years,Male,Physical,58
Achham,Seti,Hill,Far-Western,2068/69,2011/12,75+ Years,Male,Blindness/ low vision,115
Achham,Seti,Hill,Far-Western,2068/69,2011/12,75+ Years,Male,Deaf / hard to hearing,49
Achham,Seti,Hill,Far-Western,2068/69,2011/12,75+ Years,Male,Deaf–blind,16
Achham,Seti,Hill,Far-Western,2068/69,2011/12,75+ Years,Male,Speech problem,7
Achham,Seti,Hill,Far-Western,2068/69,2011/12,75+ Years,Male,Mental disable,4
Achham,Seti,Hill,Far-Western,2068/69,2011/12,75+ Years,Male,Intellectual disable,4
Achham,Seti,Hill,Far-Western,2068/69,2011/12,75+ Years,Male,Multiple Misable,33
Achham,Seti,Hill,Far-Western,2068/69,2011/12,00 - 04 Years,Female,Total Population,17932
Achham,Seti,Hill,Far-Western,2068/69,2011/12,00 - 04 Years,Female,Population without disability,17790
Achham,Seti,Hill,Far-Western,2068/69,2011/12,00 - 04 Years,Female,Physical,67
Achham,Seti,Hill,Far-Western,2068/69,2011/12,00 - 04 Years,Female,Blindness/ low vision,46
Achham,Seti,Hill,Far-Western,2068/69,2011/12,00 - 04 Years,Female,Deaf / hard to hearing,6
Achham,Seti,Hill,Far-Western,2068/69,2011/12,00 - 04 Years,Female,Deaf–blind,2
Achham,Seti,Hill,Far-Western,2068/69,2011/12,00 - 04 Years,Female,Speech problem,9
Achham,Seti,Hill,Far-Western,2068/69,2011/12,00 - 04 Years,Female,Mental disable,2
Achham,Seti,Hill,Far-Western,2068/69,2011/12,00 - 04 Years,Female,Intellectual disable,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,00 - 04 Years,Female,Multiple Misable,10
Achham,Seti,Hill,Far-Western,2068/69,2011/12,05 - 09 Years,Female,Total Population,19760
Achham,Seti,Hill,Far-Western,2068/69,2011/12,05 - 09 Years,Female,Population without disability,19448
Achham,Seti,Hill,Far-Western,2068/69,2011/12,05 - 09 Years,Female,Physical,141
Achham,Seti,Hill,Far-Western,2068/69,2011/12,05 - 09 Years,Female,Blindness/ low vision,44
Achham,Seti,Hill,Far-Western,2068/69,2011/12,05 - 09 Years,Female,Deaf / hard to hearing,51
Achham,Seti,Hill,Far-Western,2068/69,2011/12,05 - 09 Years,Female,Deaf–blind,6
Achham,Seti,Hill,Far-Western,2068/69,2011/12,05 - 09 Years,Female,Speech problem,25
Achham,Seti,Hill,Far-Western,2068/69,2011/12,05 - 09 Years,Female,Mental disable,11
Achham,Seti,Hill,Far-Western,2068/69,2011/12,05 - 09 Years,Female,Intellectual disable,7
Achham,Seti,Hill,Far-Western,2068/69,2011/12,05 - 09 Years,Female,Multiple Misable,27
Achham,Seti,Hill,Far-Western,2068/69,2011/12,10 - 14 Years,Female,Total Population,19486
Achham,Seti,Hill,Far-Western,2068/69,2011/12,10 - 14 Years,Female,Population without disability,19077
Achham,Seti,Hill,Far-Western,2068/69,2011/12,10 - 14 Years,Female,Physical,211
Achham,Seti,Hill,Far-Western,2068/69,2011/12,10 - 14 Years,Female,Blindness/ low vision,46
Achham,Seti,Hill,Far-Western,2068/69,2011/12,10 - 14 Years,Female,Deaf / hard to hearing,68
Achham,Seti,Hill,Far-Western,2068/69,2011/12,10 - 14 Years,Female,Deaf–blind,2
Achham,Seti,Hill,Far-Western,2068/69,2011/12,10 - 14 Years,Female,Speech problem,24
Achham,Seti,Hill,Far-Western,2068/69,2011/12,10 - 14 Years,Female,Mental disable,29
Achham,Seti,Hill,Far-Western,2068/69,2011/12,10 - 14 Years,Female,Intellectual disable,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,10 - 14 Years,Female,Multiple Misable,21
Achham,Seti,Hill,Far-Western,2068/69,2011/12,15 - 19 Years,Female,Total Population,14718
Achham,Seti,Hill,Far-Western,2068/69,2011/12,15 - 19 Years,Female,Population without disability,14434
Achham,Seti,Hill,Far-Western,2068/69,2011/12,15 - 19 Years,Female,Physical,129
Achham,Seti,Hill,Far-Western,2068/69,2011/12,15 - 19 Years,Female,Blindness/ low vision,56
Achham,Seti,Hill,Far-Western,2068/69,2011/12,15 - 19 Years,Female,Deaf / hard to hearing,44
Achham,Seti,Hill,Far-Western,2068/69,2011/12,15 - 19 Years,Female,Deaf–blind,2
Achham,Seti,Hill,Far-Western,2068/69,2011/12,15 - 19 Years,Female,Speech problem,17
Achham,Seti,Hill,Far-Western,2068/69,2011/12,15 - 19 Years,Female,Mental disable,9
Achham,Seti,Hill,Far-Western,2068/69,2011/12,15 - 19 Years,Female,Intellectual disable,9
Achham,Seti,Hill,Far-Western,2068/69,2011/12,15 - 19 Years,Female,Multiple Misable,18
Achham,Seti,Hill,Far-Western,2068/69,2011/12,20 - 24 Years,Female,Total Population,11067
Achham,Seti,Hill,Far-Western,2068/69,2011/12,20 - 24 Years,Female,Population without disability,10885
Achham,Seti,Hill,Far-Western,2068/69,2011/12,20 - 24 Years,Female,Physical,89
Achham,Seti,Hill,Far-Western,2068/69,2011/12,20 - 24 Years,Female,Blindness/ low vision,30
Achham,Seti,Hill,Far-Western,2068/69,2011/12,20 - 24 Years,Female,Deaf / hard to hearing,20
Achham,Seti,Hill,Far-Western,2068/69,2011/12,20 - 24 Years,Female,Deaf–blind,3
Achham,Seti,Hill,Far-Western,2068/69,2011/12,20 - 24 Years,Female,Speech problem,10
Achham,Seti,Hill,Far-Western,2068/69,2011/12,20 - 24 Years,Female,Mental disable,9
Achham,Seti,Hill,Far-Western,2068/69,2011/12,20 - 24 Years,Female,Intellectual disable,4
Achham,Seti,Hill,Far-Western,2068/69,2011/12,20 - 24 Years,Female,Multiple Misable,17
Achham,Seti,Hill,Far-Western,2068/69,2011/12,25 - 29 Years,Female,Total Population,9475
Achham,Seti,Hill,Far-Western,2068/69,2011/12,25 - 29 Years,Female,Population without disability,9300
Achham,Seti,Hill,Far-Western,2068/69,2011/12,25 - 29 Years,Female,Physical,85
Achham,Seti,Hill,Far-Western,2068/69,2011/12,25 - 29 Years,Female,Blindness/ low vision,28
Achham,Seti,Hill,Far-Western,2068/69,2011/12,25 - 29 Years,Female,Deaf / hard to hearing,38
Achham,Seti,Hill,Far-Western,2068/69,2011/12,25 - 29 Years,Female,Deaf–blind,2
Achham,Seti,Hill,Far-Western,2068/69,2011/12,25 - 29 Years,Female,Speech problem,5
Achham,Seti,Hill,Far-Western,2068/69,2011/12,25 - 29 Years,Female,Mental disable,7
Achham,Seti,Hill,Far-Western,2068/69,2011/12,25 - 29 Years,Female,Intellectual disable,5
Achham,Seti,Hill,Far-Western,2068/69,2011/12,25 - 29 Years,Female,Multiple Misable,5
Achham,Seti,Hill,Far-Western,2068/69,2011/12,30 - 34 Years,Female,Total Population,7749
Achham,Seti,Hill,Far-Western,2068/69,2011/12,30 - 34 Years,Female,Population without disability,7585
Achham,Seti,Hill,Far-Western,2068/69,2011/12,30 - 34 Years,Female,Physical,85
Achham,Seti,Hill,Far-Western,2068/69,2011/12,30 - 34 Years,Female,Blindness/ low vision,29
Achham,Seti,Hill,Far-Western,2068/69,2011/12,30 - 34 Years,Female,Deaf / hard to hearing,25
Achham,Seti,Hill,Far-Western,2068/69,2011/12,30 - 34 Years,Female,Deaf–blind,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,30 - 34 Years,Female,Speech problem,11
Achham,Seti,Hill,Far-Western,2068/69,2011/12,30 - 34 Years,Female,Mental disable,3
Achham,Seti,Hill,Far-Western,2068/69,2011/12,30 - 34 Years,Female,Intellectual disable,3
Achham,Seti,Hill,Far-Western,2068/69,2011/12,30 - 34 Years,Female,Multiple Misable,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,35 - 39 Years,Female,Total Population,7004
Achham,Seti,Hill,Far-Western,2068/69,2011/12,35 - 39 Years,Female,Population without disability,6817
Achham,Seti,Hill,Far-Western,2068/69,2011/12,35 - 39 Years,Female,Physical,97
Achham,Seti,Hill,Far-Western,2068/69,2011/12,35 - 39 Years,Female,Blindness/ low vision,29
Achham,Seti,Hill,Far-Western,2068/69,2011/12,35 - 39 Years,Female,Deaf / hard to hearing,26
Achham,Seti,Hill,Far-Western,2068/69,2011/12,35 - 39 Years,Female,Deaf–blind,2
Achham,Seti,Hill,Far-Western,2068/69,2011/12,35 - 39 Years,Female,Speech problem,12
Achham,Seti,Hill,Far-Western,2068/69,2011/12,35 - 39 Years,Female,Mental disable,9
Achham,Seti,Hill,Far-Western,2068/69,2011/12,35 - 39 Years,Female,Intellectual disable,2
Achham,Seti,Hill,Far-Western,2068/69,2011/12,35 - 39 Years,Female,Multiple Misable,10
Achham,Seti,Hill,Far-Western,2068/69,2011/12,40 - 44 Years,Female,Total Population,5946
Achham,Seti,Hill,Far-Western,2068/69,2011/12,40 - 44 Years,Female,Population without disability,5713
Achham,Seti,Hill,Far-Western,2068/69,2011/12,40 - 44 Years,Female,Physical,117
Achham,Seti,Hill,Far-Western,2068/69,2011/12,40 - 44 Years,Female,Blindness/ low vision,33
Achham,Seti,Hill,Far-Western,2068/69,2011/12,40 - 44 Years,Female,Deaf / hard to hearing,30
Achham,Seti,Hill,Far-Western,2068/69,2011/12,40 - 44 Years,Female,Deaf–blind,2
Achham,Seti,Hill,Far-Western,2068/69,2011/12,40 - 44 Years,Female,Speech problem,28
Achham,Seti,Hill,Far-Western,2068/69,2011/12,40 - 44 Years,Female,Mental disable,9
Achham,Seti,Hill,Far-Western,2068/69,2011/12,40 - 44 Years,Female,Intellectual disable,1
Achham,Seti,Hill,Far-Western,2068/69,2011/12,40 - 44 Years,Female,Multiple Misable,13
Achham,Seti,Hill,Far-Western,2068/69,2011/12,45 - 49 Years,Female,Total Population,4978
Achham,Seti,Hill,Far-Western,2068/69,2011/12,45 - 49 Years,Female,Population without disability,4735
Achham,Seti,Hill,Far-Western,2068/69,2011/12,45 - 49 Years,Female,Physical,122
Achham,Seti,Hill,Far-Western,2068/69,2011/12,45 - 49 Years,Female,Blindness/ low vision,45
Achham,Seti,Hill,Far-Western,2068/69,2011/12,45 - 49 Years,Female,Deaf / hard to hearing,35
Achham,Seti,Hill,Far-Western,2068/69,2011/12,45 - 49 Years,Female,Deaf–blind,1
Achham,Seti,Hill,Far-Western,2068/69,2011/12,45 - 49 Years,Female,Speech problem,9
Achham,Seti,Hill,Far-Western,2068/69,2011/12,45 - 49 Years,Female,Mental disable,16
Achham,Seti,Hill,Far-Western,2068/69,2011/12,45 - 49 Years,Female,Intellectual disable,4
Achham,Seti,Hill,Far-Western,2068/69,2011/12,45 - 49 Years,Female,Multiple Misable,11
Achham,Seti,Hill,Far-Western,2068/69,2011/12,50 - 54 Years,Female,Total Population,3873
Achham,Seti,Hill,Far-Western,2068/69,2011/12,50 - 54 Years,Female,Population without disability,3667
Achham,Seti,Hill,Far-Western,2068/69,2011/12,50 - 54 Years,Female,Physical,89
Achham,Seti,Hill,Far-Western,2068/69,2011/12,50 - 54 Years,Female,Blindness/ low vision,43
Achham,Seti,Hill,Far-Western,2068/69,2011/12,50 - 54 Years,Female,Deaf / hard to hearing,34
Achham,Seti,Hill,Far-Western,2068/69,2011/12,50 - 54 Years,Female,Deaf–blind,2
Achham,Seti,Hill,Far-Western,2068/69,2011/12,50 - 54 Years,Female,Speech problem,15
Achham,Seti,Hill,Far-Western,2068/69,2011/12,50 - 54 Years,Female,Mental disable,5
Achham,Seti,Hill,Far-Western,2068/69,2011/12,50 - 54 Years,Female,Intellectual disable,1
Achham,Seti,Hill,Far-Western,2068/69,2011/12,50 - 54 Years,Female,Multiple Misable,17
Achham,Seti,Hill,Far-Western,2068/69,2011/12,55 - 59 Years,Female,Total Population,3176
Achham,Seti,Hill,Far-Western,2068/69,2011/12,55 - 59 Years,Female,Population without disability,2970
Achham,Seti,Hill,Far-Western,2068/69,2011/12,55 - 59 Years,Female,Physical,90
Achham,Seti,Hill,Far-Western,2068/69,2011/12,55 - 59 Years,Female,Blindness/ low vision,53
Achham,Seti,Hill,Far-Western,2068/69,2011/12,55 - 59 Years,Female,Deaf / hard to hearing,29
Achham,Seti,Hill,Far-Western,2068/69,2011/12,55 - 59 Years,Female,Deaf–blind,2
Achham,Seti,Hill,Far-Western,2068/69,2011/12,55 - 59 Years,Female,Speech problem,9
Achham,Seti,Hill,Far-Western,2068/69,2011/12,55 - 59 Years,Female,Mental disable,6
Achham,Seti,Hill,Far-Western,2068/69,2011/12,55 - 59 Years,Female,Intellectual disable,5
Achham,Seti,Hill,Far-Western,2068/69,2011/12,55 - 59 Years,Female,Multiple Misable,12
Achham,Seti,Hill,Far-Western,2068/69,2011/12,60 - 64 Years,Female,Total Population,4224
