District,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Gender,Age-Group,Indicator,Sub-Indicator,Sub-Indicator.1,Value
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,20 - 24 Years,Native born,Born in other district,Urban,9
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,20 - 24 Years,Native born,Born in other district,Not stated,51
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,20 - 24 Years,Foreign born,,,26
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,20 - 24 Years,Birth Place not stated,,,26
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,25 - 29 Years,Total Population,,,6853
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,25 - 29 Years,Native born,All native born,,6829
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,25 - 29 Years,Native born,Born in same district,,6488
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,25 - 29 Years,Native born,Born in other district,Rural,251
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,25 - 29 Years,Native born,Born in other district,Urban,41
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,25 - 29 Years,Native born,Born in other district,Not stated,49
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,25 - 29 Years,Foreign born,,,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,25 - 29 Years,Birth Place not stated,,,16
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,30 - 34 Years,Total Population,,,5350
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,30 - 34 Years,Native born,All native born,,5311
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,30 - 34 Years,Native born,Born in same district,,5192
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,30 - 34 Years,Native born,Born in other district,Rural,63
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,30 - 34 Years,Native born,Born in other district,Urban,39
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,30 - 34 Years,Native born,Born in other district,Not stated,16
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,30 - 34 Years,Foreign born,,,16
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,30 - 34 Years,Birth Place not stated,,,24
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,35 - 39 Years,Total Population,,,5363
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,35 - 39 Years,Native born,All native born,,5347
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,35 - 39 Years,Native born,Born in same district,,5250
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,35 - 39 Years,Native born,Born in other district,Rural,88
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,35 - 39 Years,Native born,Born in other district,Urban,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,35 - 39 Years,Native born,Born in other district,Not stated,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,35 - 39 Years,Foreign born,,,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,35 - 39 Years,Birth Place not stated,,,16
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,40 - 44 Years,Total Population,,,4205
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,40 - 44 Years,Native born,All native born,,4181
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,40 - 44 Years,Native born,Born in same district,,4062
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,40 - 44 Years,Native born,Born in other district,Rural,88
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,40 - 44 Years,Native born,Born in other district,Urban,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,40 - 44 Years,Native born,Born in other district,Not stated,24
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,40 - 44 Years,Foreign born,,,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,40 - 44 Years,Birth Place not stated,,,24
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,45 - 49 Years,Total Population,,,4033
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,45 - 49 Years,Native born,All native born,,4010
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,45 - 49 Years,Native born,Born in same district,,3955
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,45 - 49 Years,Native born,Born in other district,Rural,31
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,45 - 49 Years,Native born,Born in other district,Urban,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,45 - 49 Years,Native born,Born in other district,Not stated,16
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,45 - 49 Years,Foreign born,,,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,45 - 49 Years,Birth Place not stated,,,23
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,50 - 54 Years,Total Population,,,3381
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,50 - 54 Years,Native born,All native born,,3381
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,50 - 54 Years,Native born,Born in same district,,3337
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,50 - 54 Years,Native born,Born in other district,Rural,35
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,50 - 54 Years,Native born,Born in other district,Urban,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,50 - 54 Years,Native born,Born in other district,Not stated,9
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,50 - 54 Years,Foreign born,,,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,50 - 54 Years,Birth Place not stated,,,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,55 - 59 Years,Total Population,,,2929
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,55 - 59 Years,Native born,All native born,,2920
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,55 - 59 Years,Native born,Born in same district,,2920
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,55 - 59 Years,Native born,Born in other district,Rural,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,55 - 59 Years,Native born,Born in other district,Urban,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,55 - 59 Years,Native born,Born in other district,Not stated,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,55 - 59 Years,Foreign born,,,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,55 - 59 Years,Birth Place not stated,,,9
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,60 - 64 Years,Total Population,,,2917
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,60 - 64 Years,Native born,All native born,,2900
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,60 - 64 Years,Native born,Born in same district,,2875
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,60 - 64 Years,Native born,Born in other district,Rural,17
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,60 - 64 Years,Native born,Born in other district,Urban,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,60 - 64 Years,Native born,Born in other district,Not stated,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,60 - 64 Years,Foreign born,,,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,60 - 64 Years,Birth Place not stated,,,17
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,65 - 69 Years,Total Population,,,2350
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,65 - 69 Years,Native born,All native born,,2342
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,65 - 69 Years,Native born,Born in same district,,2327
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,65 - 69 Years,Native born,Born in other district,Rural,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,65 - 69 Years,Native born,Born in other district,Urban,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,65 - 69 Years,Native born,Born in other district,Not stated,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,65 - 69 Years,Foreign born,,,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,65 - 69 Years,Birth Place not stated,,,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,70 - 74 Years,Total Population,,,1869
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,70 - 74 Years,Native born,All native born,,1869
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,70 - 74 Years,Native born,Born in same district,,1869
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,70 - 74 Years,Native born,Born in other district,Rural,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,70 - 74 Years,Native born,Born in other district,Urban,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,70 - 74 Years,Native born,Born in other district,Not stated,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,70 - 74 Years,Foreign born,,,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,70 - 74 Years,Birth Place not stated,,,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,75+ Years,Total Population,,,1698
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,75+ Years,Native born,All native born,,1698
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,75+ Years,Native born,Born in same district,,1698
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,75+ Years,Native born,Born in other district,Rural,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,75+ Years,Native born,Born in other district,Urban,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,75+ Years,Native born,Born in other district,Not stated,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,75+ Years,Foreign born,,,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,75+ Years,Birth Place not stated,,,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,00 - 04 Years,Total Population,,,17931
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,00 - 04 Years,Native born,All native born,,17741
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,00 - 04 Years,Native born,Born in same district,,17691
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,00 - 04 Years,Native born,Born in other district,Rural,41
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,00 - 04 Years,Native born,Born in other district,Urban,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,00 - 04 Years,Native born,Born in other district,Not stated,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,00 - 04 Years,Foreign born,,,41
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,00 - 04 Years,Birth Place not stated,,,149
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,05 - 09 Years,Total Population,,,19740
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,05 - 09 Years,Native born,All native born,,19504
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,05 - 09 Years,Native born,Born in same district,,19401
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,05 - 09 Years,Native born,Born in other district,Rural,79
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,05 - 09 Years,Native born,Born in other district,Urban,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,05 - 09 Years,Native born,Born in other district,Not stated,16
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,05 - 09 Years,Foreign born,,,79
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,05 - 09 Years,Birth Place not stated,,,158
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,10 - 14 Years,Total Population,,,19475
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,10 - 14 Years,Native born,All native born,,19285
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,10 - 14 Years,Native born,Born in same district,,19238
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,10 - 14 Years,Native born,Born in other district,Rural,16
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,10 - 14 Years,Native born,Born in other district,Urban,16
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,10 - 14 Years,Native born,Born in other district,Not stated,16
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,10 - 14 Years,Foreign born,,,24
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,10 - 14 Years,Birth Place not stated,,,166
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,15 - 19 Years,Total Population,,,14715
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,15 - 19 Years,Native born,All native born,,14590
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,15 - 19 Years,Native born,Born in same district,,14132
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,15 - 19 Years,Native born,Born in other district,Rural,375
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,15 - 19 Years,Native born,Born in other district,Urban,17
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,15 - 19 Years,Native born,Born in other district,Not stated,67
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,15 - 19 Years,Foreign born,,,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,15 - 19 Years,Birth Place not stated,,,117
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,20 - 24 Years,Total Population,,,11062
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,20 - 24 Years,Native born,All native born,,10974
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,20 - 24 Years,Native born,Born in same district,,10124
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,20 - 24 Years,Native born,Born in other district,Rural,673
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,20 - 24 Years,Native born,Born in other district,Urban,32
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,20 - 24 Years,Native born,Born in other district,Not stated,144
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,20 - 24 Years,Foreign born,,,32
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,20 - 24 Years,Birth Place not stated,,,56
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,25 - 29 Years,Total Population,,,9470
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,25 - 29 Years,Native born,All native born,,9430
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,25 - 29 Years,Native born,Born in same district,,8533
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,25 - 29 Years,Native born,Born in other district,Rural,694
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,25 - 29 Years,Native born,Born in other district,Urban,48
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,25 - 29 Years,Native born,Born in other district,Not stated,153
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,25 - 29 Years,Foreign born,,,16
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,25 - 29 Years,Birth Place not stated,,,24
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,30 - 34 Years,Total Population,,,7746
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,30 - 34 Years,Native born,All native born,,7691
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,30 - 34 Years,Native born,Born in same district,,7064
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,30 - 34 Years,Native born,Born in other district,Rural,486
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,30 - 34 Years,Native born,Born in other district,Urban,24
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,30 - 34 Years,Native born,Born in other district,Not stated,118
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,30 - 34 Years,Foreign born,,,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,30 - 34 Years,Birth Place not stated,,,47
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,35 - 39 Years,Total Population,,,7003
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,35 - 39 Years,Native born,All native born,,6948
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,35 - 39 Years,Native born,Born in same district,,6469
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,35 - 39 Years,Native born,Born in other district,Rural,409
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,35 - 39 Years,Native born,Born in other district,Urban,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,35 - 39 Years,Native born,Born in other district,Not stated,71
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,35 - 39 Years,Foreign born,,,24
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,35 - 39 Years,Birth Place not stated,,,31
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,40 - 44 Years,Total Population,,,5945
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,40 - 44 Years,Native born,All native born,,5921
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,40 - 44 Years,Native born,Born in same district,,5434
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,40 - 44 Years,Native born,Born in other district,Rural,375
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,40 - 44 Years,Native born,Born in other district,Urban,16
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,40 - 44 Years,Native born,Born in other district,Not stated,96
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,40 - 44 Years,Foreign born,,,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,40 - 44 Years,Birth Place not stated,,,24
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,45 - 49 Years,Total Population,,,4976
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,45 - 49 Years,Native born,All native born,,4968
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,45 - 49 Years,Native born,Born in same district,,4596
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,45 - 49 Years,Native born,Born in other district,Rural,314
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,45 - 49 Years,Native born,Born in other district,Urban,17
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,45 - 49 Years,Native born,Born in other district,Not stated,41
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,45 - 49 Years,Foreign born,,,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,45 - 49 Years,Birth Place not stated,,,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,50 - 54 Years,Total Population,,,3870
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,50 - 54 Years,Native born,All native born,,3853
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,50 - 54 Years,Native born,Born in same district,,3560
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,50 - 54 Years,Native born,Born in other district,Rural,209
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,50 - 54 Years,Native born,Born in other district,Urban,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,50 - 54 Years,Native born,Born in other district,Not stated,84
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,50 - 54 Years,Foreign born,,,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,50 - 54 Years,Birth Place not stated,,,17
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,55 - 59 Years,Total Population,,,3176
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,55 - 59 Years,Native born,All native born,,3159
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,55 - 59 Years,Native born,Born in same district,,2934
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,55 - 59 Years,Native born,Born in other district,Rural,159
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,55 - 59 Years,Native born,Born in other district,Urban,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,55 - 59 Years,Native born,Born in other district,Not stated,59
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,55 - 59 Years,Foreign born,,,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,55 - 59 Years,Birth Place not stated,,,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,60 - 64 Years,Total Population,,,4223
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,60 - 64 Years,Native born,All native born,,4207
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,60 - 64 Years,Native born,Born in same district,,3837
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,60 - 64 Years,Native born,Born in other district,Rural,263
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,60 - 64 Years,Native born,Born in other district,Urban,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,60 - 64 Years,Native born,Born in other district,Not stated,107
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,60 - 64 Years,Foreign born,,,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,60 - 64 Years,Birth Place not stated,,,16
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,65 - 69 Years,Total Population,,,3283
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,65 - 69 Years,Native born,All native born,,3283
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,65 - 69 Years,Native born,Born in same district,,3116
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,65 - 69 Years,Native born,Born in other district,Rural,111
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,65 - 69 Years,Native born,Born in other district,Urban,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,65 - 69 Years,Native born,Born in other district,Not stated,56
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,65 - 69 Years,Foreign born,,,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,65 - 69 Years,Birth Place not stated,,,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,70 - 74 Years,Total Population,,,2715
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,70 - 74 Years,Native born,All native born,,2679
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,70 - 74 Years,Native born,Born in same district,,2550
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,70 - 74 Years,Native born,Born in other district,Rural,108
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,70 - 74 Years,Native born,Born in other district,Urban,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,70 - 74 Years,Native born,Born in other district,Not stated,22
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,70 - 74 Years,Foreign born,,,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,70 - 74 Years,Birth Place not stated,,,36
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,75+ Years,Total Population,,,2083
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,75+ Years,Native born,All native born,,2074
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,75+ Years,Native born,Born in same district,,1913
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,75+ Years,Native born,Born in other district,Rural,143
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,75+ Years,Native born,Born in other district,Urban,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,75+ Years,Native born,Born in other district,Not stated,18
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,75+ Years,Foreign born,,,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,75+ Years,Birth Place not stated,,,9
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,00 - 04 Years,Total Population,,,11033
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,00 - 04 Years,Native born,All native born,,10954
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,00 - 04 Years,Native born,Born in same district,,10883
