District,Age-Group,Economic Activity Performed,Active/Not Active,Employed/Unemployed,Gender,Value
Taplejung,  25 - 29 Years,Economically Active,Usually Active,Unemployed,Male,34
Taplejung,  25 - 29 Years,Economically Active,Usually Active,Unemployed,Female,8
Taplejung,  25 - 29 Years,Economically Active,Not Usually Active,,Male,51
Taplejung,  25 - 29 Years,Economically Active,Not Usually Active,,Female,346
Taplejung,  25 - 29 Years,Not Economically Active,,,Male,229
Taplejung,  25 - 29 Years,Not Economically Active,,,Female,527
Taplejung,  25 - 29 Years,Economic Activity Not Stated,,,Male,0
Taplejung,  25 - 29 Years,Economic Activity Not Stated,,,Female,0
Taplejung,  30 - 34 Years,Total Population 10 Yrs. and above,,,,6729
Taplejung,  30 - 34 Years,Economically Active,Usually Active,Employed,Male,2686
Taplejung,  30 - 34 Years,Economically Active,Usually Active,Employed,Female,3409
Taplejung,  30 - 34 Years,Economically Active,Usually Active,Unemployed,Male,0
Taplejung,  30 - 34 Years,Economically Active,Usually Active,Unemployed,Female,25
Taplejung,  30 - 34 Years,Economically Active,Not Usually Active,,Male,16
Taplejung,  30 - 34 Years,Economically Active,Not Usually Active,,Female,228
Taplejung,  30 - 34 Years,Not Economically Active,,,Male,102
Taplejung,  30 - 34 Years,Not Economically Active,,,Female,262
Taplejung,  30 - 34 Years,Economic Activity Not Stated,,,Male,0
Taplejung,  30 - 34 Years,Economic Activity Not Stated,,,Female,0
Taplejung,  35 - 39 Years,Total Population 10 Yrs. and above,,,,6379
Taplejung,  35 - 39 Years,Economically Active,Usually Active,Employed,Male,2614
Taplejung,  35 - 39 Years,Economically Active,Usually Active,Employed,Female,3006
Taplejung,  35 - 39 Years,Economically Active,Usually Active,Unemployed,Male,17
Taplejung,  35 - 39 Years,Economically Active,Usually Active,Unemployed,Female,8
Taplejung,  35 - 39 Years,Economically Active,Not Usually Active,,Male,43
Taplejung,  35 - 39 Years,Economically Active,Not Usually Active,,Female,323
Taplejung,  35 - 39 Years,Not Economically Active,,,Male,60
Taplejung,  35 - 39 Years,Not Economically Active,,,Female,308
Taplejung,  35 - 39 Years,Economic Activity Not Stated,,,Male,0
Taplejung,  35 - 39 Years,Economic Activity Not Stated,,,Female,0
Taplejung,  40 - 44 Years,Total Population 10 Yrs. and above,,,,6512
Taplejung,  40 - 44 Years,Economically Active,Usually Active,Employed,Male,2952
Taplejung,  40 - 44 Years,Economically Active,Usually Active,Employed,Female,2942
Taplejung,  40 - 44 Years,Economically Active,Usually Active,Unemployed,Male,0
Taplejung,  40 - 44 Years,Economically Active,Usually Active,Unemployed,Female,0
Taplejung,  40 - 44 Years,Economically Active,Not Usually Active,,Male,16
Taplejung,  40 - 44 Years,Economically Active,Not Usually Active,,Female,330
Taplejung,  40 - 44 Years,Not Economically Active,,,Male,32
Taplejung,  40 - 44 Years,Not Economically Active,,,Female,232
Taplejung,  40 - 44 Years,Economic Activity Not Stated,,,Male,0
Taplejung,  40 - 44 Years,Economic Activity Not Stated,,,Female,9
Taplejung,  45 - 49 Years,Total Population 10 Yrs. and above,,,,5798
Taplejung,  45 - 49 Years,Economically Active,Usually Active,Employed,Male,2686
Taplejung,  45 - 49 Years,Economically Active,Usually Active,Employed,Female,2600
Taplejung,  45 - 49 Years,Economically Active,Usually Active,Unemployed,Male,8
Taplejung,  45 - 49 Years,Economically Active,Usually Active,Unemployed,Female,8
Taplejung,  45 - 49 Years,Economically Active,Not Usually Active,,Male,16
Taplejung,  45 - 49 Years,Economically Active,Not Usually Active,,Female,204
Taplejung,  45 - 49 Years,Not Economically Active,,,Male,57
Taplejung,  45 - 49 Years,Not Economically Active,,,Female,219
Taplejung,  45 - 49 Years,Economic Activity Not Stated,,,Male,0
Taplejung,  45 - 49 Years,Economic Activity Not Stated,,,Female,0
Taplejung,  50 - 54 Years,Total Population 10 Yrs. and above,,,,5434
Taplejung,  50 - 54 Years,Economically Active,Usually Active,Employed,Male,2676
Taplejung,  50 - 54 Years,Economically Active,Usually Active,Employed,Female,2029
Taplejung,  50 - 54 Years,Economically Active,Usually Active,Unemployed,Male,0
Taplejung,  50 - 54 Years,Economically Active,Usually Active,Unemployed,Female,16
Taplejung,  50 - 54 Years,Economically Active,Not Usually Active,,Male,17
Taplejung,  50 - 54 Years,Economically Active,Not Usually Active,,Female,277
Taplejung,  50 - 54 Years,Not Economically Active,,,Male,93
Taplejung,  50 - 54 Years,Not Economically Active,,,Female,326
Taplejung,  50 - 54 Years,Economic Activity Not Stated,,,Male,0
Taplejung,  50 - 54 Years,Economic Activity Not Stated,,,Female,0
Taplejung,  55 - 59 Years,Total Population 10 Yrs. and above,,,,4045
Taplejung,  55 - 59 Years,Economically Active,Usually Active,Employed,Male,1897
Taplejung,  55 - 59 Years,Economically Active,Usually Active,Employed,Female,1408
Taplejung,  55 - 59 Years,Economically Active,Usually Active,Unemployed,Male,8
Taplejung,  55 - 59 Years,Economically Active,Usually Active,Unemployed,Female,16
Taplejung,  55 - 59 Years,Economically Active,Not Usually Active,,Male,53
Taplejung,  55 - 59 Years,Economically Active,Not Usually Active,,Female,236
Taplejung,  55 - 59 Years,Not Economically Active,,,Male,68
Taplejung,  55 - 59 Years,Not Economically Active,,,Female,358
Taplejung,  55 - 59 Years,Economic Activity Not Stated,,,Male,0
Taplejung,  55 - 59 Years,Economic Activity Not Stated,,,Female,0
Taplejung,  60 - 64 Years,Total Population 10 Yrs. and above,,,,3724
Taplejung,  60 - 64 Years,Economically Active,Usually Active,Employed,Male,1477
Taplejung,  60 - 64 Years,Economically Active,Usually Active,Employed,Female,1182
Taplejung,  60 - 64 Years,Economically Active,Usually Active,Unemployed,Male,0
Taplejung,  60 - 64 Years,Economically Active,Usually Active,Unemployed,Female,8
Taplejung,  60 - 64 Years,Economically Active,Not Usually Active,,Male,97
Taplejung,  60 - 64 Years,Economically Active,Not Usually Active,,Female,186
Taplejung,  60 - 64 Years,Not Economically Active,,,Male,242
Taplejung,  60 - 64 Years,Not Economically Active,,,Female,532
Taplejung,  60 - 64 Years,Economic Activity Not Stated,,,Male,0
Taplejung,  60 - 64 Years,Economic Activity Not Stated,,,Female,0
Taplejung,  65 - 69 Years,Total Population 10 Yrs. and above,,,,2393
Taplejung,  65 - 69 Years,Economically Active,Usually Active,Employed,Male,953
Taplejung,  65 - 69 Years,Economically Active,Usually Active,Employed,Female,543
Taplejung,  65 - 69 Years,Economically Active,Usually Active,Unemployed,Male,0
Taplejung,  65 - 69 Years,Economically Active,Usually Active,Unemployed,Female,8
Taplejung,  65 - 69 Years,Economically Active,Not Usually Active,,Male,65
Taplejung,  65 - 69 Years,Economically Active,Not Usually Active,,Female,168
Taplejung,  65 - 69 Years,Not Economically Active,,,Male,153
Taplejung,  65 - 69 Years,Not Economically Active,,,Female,503
Taplejung,  65 - 69 Years,Economic Activity Not Stated,,,Male,0
Taplejung,  65 - 69 Years,Economic Activity Not Stated,,,Female,0
Taplejung,  70 - 74 Years,Total Population 10 Yrs. and above,,,,2017
Taplejung,  70 - 74 Years,Economically Active,Usually Active,Employed,Male,645
Taplejung,  70 - 74 Years,Economically Active,Usually Active,Employed,Female,280
Taplejung,  70 - 74 Years,Economically Active,Usually Active,Unemployed,Male,0
Taplejung,  70 - 74 Years,Economically Active,Usually Active,Unemployed,Female,0
Taplejung,  70 - 74 Years,Economically Active,Not Usually Active,,Male,70
Taplejung,  70 - 74 Years,Economically Active,Not Usually Active,,Female,187
Taplejung,  70 - 74 Years,Not Economically Active,,,Male,342
Taplejung,  70 - 74 Years,Not Economically Active,,,Female,493
Taplejung,  70 - 74 Years,Economic Activity Not Stated,,,Male,0
Taplejung,  70 - 74 Years,Economic Activity Not Stated,,,Female,0
Taplejung,  75+ Years,Total Population 10 Yrs. and above,,,,2780
Taplejung,  75+ Years,Economically Active,Usually Active,Employed,Male,530
Taplejung,  75+ Years,Economically Active,Usually Active,Employed,Female,198
Taplejung,  75+ Years,Economically Active,Usually Active,Unemployed,Male,0
Taplejung,  75+ Years,Economically Active,Usually Active,Unemployed,Female,0
Taplejung,  75+ Years,Economically Active,Not Usually Active,,Male,141
Taplejung,  75+ Years,Economically Active,Not Usually Active,,Female,103
Taplejung,  75+ Years,Not Economically Active,,,Male,751
Taplejung,  75+ Years,Not Economically Active,,,Female,1056
Taplejung,  75+ Years,Economic Activity Not Stated,,,Male,0
Taplejung,  75+ Years,Economic Activity Not Stated,,,Female,0
 Panchthar,  10 - 14 Years,Total Population 10 Yrs. and above,,,,26365
 Panchthar,  10 - 14 Years,Economically Active,Usually Active,Employed,Male,406
 Panchthar,  10 - 14 Years,Economically Active,Usually Active,Employed,Female,242
 Panchthar,  10 - 14 Years,Economically Active,Usually Active,Unemployed,Male,8
 Panchthar,  10 - 14 Years,Economically Active,Usually Active,Unemployed,Female,17
 Panchthar,  10 - 14 Years,Economically Active,Not Usually Active,,Male,969
 Panchthar,  10 - 14 Years,Economically Active,Not Usually Active,,Female,828
 Panchthar,  10 - 14 Years,Not Economically Active,,,Male,11749
 Panchthar,  10 - 14 Years,Not Economically Active,,,Female,12096
 Panchthar,  10 - 14 Years,Economic Activity Not Stated,,,Male,33
 Panchthar,  10 - 14 Years,Economic Activity Not Stated,,,Female,17
 Panchthar,  15 - 19 Years,Total Population 10 Yrs. and above,,,,23985
 Panchthar,  15 - 19 Years,Economically Active,Usually Active,Employed,Male,2304
 Panchthar,  15 - 19 Years,Economically Active,Usually Active,Employed,Female,2301
 Panchthar,  15 - 19 Years,Economically Active,Usually Active,Unemployed,Male,87
 Panchthar,  15 - 19 Years,Economically Active,Usually Active,Unemployed,Female,16
 Panchthar,  15 - 19 Years,Economically Active,Not Usually Active,,Male,1176
 Panchthar,  15 - 19 Years,Economically Active,Not Usually Active,,Female,1123
 Panchthar,  15 - 19 Years,Not Economically Active,,,Male,7780
 Panchthar,  15 - 19 Years,Not Economically Active,,,Female,9166
 Panchthar,  15 - 19 Years,Economic Activity Not Stated,,,Male,8
 Panchthar,  15 - 19 Years,Economic Activity Not Stated,,,Female,24
 Panchthar,  20 - 24 Years,Total Population 10 Yrs. and above,,,,16122
 Panchthar,  20 - 24 Years,Economically Active,Usually Active,Employed,Male,3751
 Panchthar,  20 - 24 Years,Economically Active,Usually Active,Employed,Female,5231
 Panchthar,  20 - 24 Years,Economically Active,Usually Active,Unemployed,Male,144
 Panchthar,  20 - 24 Years,Economically Active,Usually Active,Unemployed,Female,24
 Panchthar,  20 - 24 Years,Economically Active,Not Usually Active,,Male,343
 Panchthar,  20 - 24 Years,Economically Active,Not Usually Active,,Female,636
 Panchthar,  20 - 24 Years,Not Economically Active,,,Male,2003
 Panchthar,  20 - 24 Years,Not Economically Active,,,Female,3974
 Panchthar,  20 - 24 Years,Economic Activity Not Stated,,,Male,8
 Panchthar,  20 - 24 Years,Economic Activity Not Stated,,,Female,8
 Panchthar,  25 - 29 Years,Total Population 10 Yrs. and above,,,,12541
 Panchthar,  25 - 29 Years,Economically Active,Usually Active,Employed,Male,4144
 Panchthar,  25 - 29 Years,Economically Active,Usually Active,Employed,Female,5800
 Panchthar,  25 - 29 Years,Economically Active,Usually Active,Unemployed,Male,75
 Panchthar,  25 - 29 Years,Economically Active,Usually Active,Unemployed,Female,32
 Panchthar,  25 - 29 Years,Economically Active,Not Usually Active,,Male,99
 Panchthar,  25 - 29 Years,Economically Active,Not Usually Active,,Female,477
 Panchthar,  25 - 29 Years,Not Economically Active,,,Male,472
 Panchthar,  25 - 29 Years,Not Economically Active,,,Female,1424
 Panchthar,  25 - 29 Years,Economic Activity Not Stated,,,Male,8
 Panchthar,  25 - 29 Years,Economic Activity Not Stated,,,Female,8
 Panchthar,  30 - 34 Years,Total Population 10 Yrs. and above,,,,10174
 Panchthar,  30 - 34 Years,Economically Active,Usually Active,Employed,Male,3908
 Panchthar,  30 - 34 Years,Economically Active,Usually Active,Employed,Female,5010
 Panchthar,  30 - 34 Years,Economically Active,Usually Active,Unemployed,Male,35
 Panchthar,  30 - 34 Years,Economically Active,Usually Active,Unemployed,Female,9
 Panchthar,  30 - 34 Years,Economically Active,Not Usually Active,,Male,26
 Panchthar,  30 - 34 Years,Economically Active,Not Usually Active,,Female,247
 Panchthar,  30 - 34 Years,Not Economically Active,,,Male,122
 Panchthar,  30 - 34 Years,Not Economically Active,,,Female,809
 Panchthar,  30 - 34 Years,Economic Activity Not Stated,,,Male,9
 Panchthar,  30 - 34 Years,Economic Activity Not Stated,,,Female,0
 Panchthar,  35 - 39 Years,Total Population 10 Yrs. and above,,,,9634
 Panchthar,  35 - 39 Years,Economically Active,Usually Active,Employed,Male,3813
 Panchthar,  35 - 39 Years,Economically Active,Usually Active,Employed,Female,4759
 Panchthar,  35 - 39 Years,Economically Active,Usually Active,Unemployed,Male,8
 Panchthar,  35 - 39 Years,Economically Active,Usually Active,Unemployed,Female,25
 Panchthar,  35 - 39 Years,Economically Active,Not Usually Active,,Male,74
 Panchthar,  35 - 39 Years,Economically Active,Not Usually Active,,Female,358
 Panchthar,  35 - 39 Years,Not Economically Active,,,Male,115
 Panchthar,  35 - 39 Years,Not Economically Active,,,Female,449
 Panchthar,  35 - 39 Years,Economic Activity Not Stated,,,Male,8
 Panchthar,  35 - 39 Years,Economic Activity Not Stated,,,Female,25
 Panchthar,  40 - 44 Years,Total Population 10 Yrs. and above,,,,9950
 Panchthar,  40 - 44 Years,Economically Active,Usually Active,Employed,Male,4234
 Panchthar,  40 - 44 Years,Economically Active,Usually Active,Employed,Female,4864
 Panchthar,  40 - 44 Years,Economically Active,Usually Active,Unemployed,Male,8
 Panchthar,  40 - 44 Years,Economically Active,Usually Active,Unemployed,Female,8
 Panchthar,  40 - 44 Years,Economically Active,Not Usually Active,,Male,16
 Panchthar,  40 - 44 Years,Economically Active,Not Usually Active,,Female,260
 Panchthar,  40 - 44 Years,Not Economically Active,,,Male,102
 Panchthar,  40 - 44 Years,Not Economically Active,,,Female,443
 Panchthar,  40 - 44 Years,Economic Activity Not Stated,,,Male,8
 Panchthar,  40 - 44 Years,Economic Activity Not Stated,,,Female,8
 Panchthar,  45 - 49 Years,Total Population 10 Yrs. and above,,,,9310
 Panchthar,  45 - 49 Years,Economically Active,Usually Active,Employed,Male,4228
 Panchthar,  45 - 49 Years,Economically Active,Usually Active,Employed,Female,4200
 Panchthar,  45 - 49 Years,Economically Active,Usually Active,Unemployed,Male,7
 Panchthar,  45 - 49 Years,Economically Active,Usually Active,Unemployed,Female,8
 Panchthar,  45 - 49 Years,Economically Active,Not Usually Active,,Male,44
 Panchthar,  45 - 49 Years,Economically Active,Not Usually Active,,Female,250
 Panchthar,  45 - 49 Years,Not Economically Active,,,Male,103
 Panchthar,  45 - 49 Years,Not Economically Active,,,Female,461
 Panchthar,  45 - 49 Years,Economic Activity Not Stated,,,Male,7
 Panchthar,  45 - 49 Years,Economic Activity Not Stated,,,Female,0
 Panchthar,  50 - 54 Years,Total Population 10 Yrs. and above,,,,8619
 Panchthar,  50 - 54 Years,Economically Active,Usually Active,Employed,Male,4133
 Panchthar,  50 - 54 Years,Economically Active,Usually Active,Employed,Female,3551
 Panchthar,  50 - 54 Years,Economically Active,Usually Active,Unemployed,Male,8
 Panchthar,  50 - 54 Years,Economically Active,Usually Active,Unemployed,Female,0
 Panchthar,  50 - 54 Years,Economically Active,Not Usually Active,,Male,23
 Panchthar,  50 - 54 Years,Economically Active,Not Usually Active,,Female,221
 Panchthar,  50 - 54 Years,Not Economically Active,,,Male,133
 Panchthar,  50 - 54 Years,Not Economically Active,,,Female,549
 Panchthar,  50 - 54 Years,Economic Activity Not Stated,,,Male,0
 Panchthar,  50 - 54 Years,Economic Activity Not Stated,,,Female,0
 Panchthar,  55 - 59 Years,Total Population 10 Yrs. and above,,,,6492
 Panchthar,  55 - 59 Years,Economically Active,Usually Active,Employed,Male,3051
 Panchthar,  55 - 59 Years,Economically Active,Usually Active,Employed,Female,2488
 Panchthar,  55 - 59 Years,Economically Active,Usually Active,Unemployed,Male,16
 Panchthar,  55 - 59 Years,Economically Active,Usually Active,Unemployed,Female,41
 Panchthar,  55 - 59 Years,Economically Active,Not Usually Active,,Male,25
 Panchthar,  55 - 59 Years,Economically Active,Not Usually Active,,Female,244
 Panchthar,  55 - 59 Years,Not Economically Active,,,Male,189
 Panchthar,  55 - 59 Years,Not Economically Active,,,Female,431
 Panchthar,  55 - 59 Years,Economic Activity Not Stated,,,Male,0
 Panchthar,  55 - 59 Years,Economic Activity Not Stated,,,Female,8
 Panchthar,  60 - 64 Years,Total Population 10 Yrs. and above,,,,5566
 Panchthar,  60 - 64 Years,Economically Active,Usually Active,Employed,Male,2450
 Panchthar,  60 - 64 Years,Economically Active,Usually Active,Employed,Female,1932
 Panchthar,  60 - 64 Years,Economically Active,Usually Active,Unemployed,Male,0
 Panchthar,  60 - 64 Years,Economically Active,Usually Active,Unemployed,Female,8
 Panchthar,  60 - 64 Years,Economically Active,Not Usually Active,,Male,55
 Panchthar,  60 - 64 Years,Economically Active,Not Usually Active,,Female,251
 Panchthar,  60 - 64 Years,Not Economically Active,,,Male,243
 Panchthar,  60 - 64 Years,Not Economically Active,,,Female,627
 Panchthar,  60 - 64 Years,Economic Activity Not Stated,,,Male,0
 Panchthar,  60 - 64 Years,Economic Activity Not Stated,,,Female,0
 Panchthar,  65 - 69 Years,Total Population 10 Yrs. and above,,,,4127
 Panchthar,  65 - 69 Years,Economically Active,Usually Active,Employed,Male,1744
 Panchthar,  65 - 69 Years,Economically Active,Usually Active,Employed,Female,1112
 Panchthar,  65 - 69 Years,Economically Active,Usually Active,Unemployed,Male,9
 Panchthar,  65 - 69 Years,Economically Active,Usually Active,Unemployed,Female,8
 Panchthar,  65 - 69 Years,Economically Active,Not Usually Active,,Male,90
 Panchthar,  65 - 69 Years,Economically Active,Not Usually Active,,Female,178
 Panchthar,  65 - 69 Years,Not Economically Active,,,Male,261
 Panchthar,  65 - 69 Years,Not Economically Active,,,Female,718
 Panchthar,  65 - 69 Years,Economic Activity Not Stated,,,Male,0
 Panchthar,  65 - 69 Years,Economic Activity Not Stated,,,Female,8
 Panchthar,  70 - 74 Years,Total Population 10 Yrs. and above,,,,3115
 Panchthar,  70 - 74 Years,Economically Active,Usually Active,Employed,Male,939
 Panchthar,  70 - 74 Years,Economically Active,Usually Active,Employed,Female,431
 Panchthar,  70 - 74 Years,Economically Active,Usually Active,Unemployed,Male,8
 Panchthar,  70 - 74 Years,Economically Active,Usually Active,Unemployed,Female,7
 Panchthar,  70 - 74 Years,Economically Active,Not Usually Active,,Male,106
 Panchthar,  70 - 74 Years,Economically Active,Not Usually Active,,Female,178
 Panchthar,  70 - 74 Years,Not Economically Active,,,Male,553
 Panchthar,  70 - 74 Years,Not Economically Active,,,Female,892
 Panchthar,  70 - 74 Years,Economic Activity Not Stated,,,Male,0
 Panchthar,  70 - 74 Years,Economic Activity Not Stated,,,Female,0
 Panchthar,  75+ Years,Total Population 10 Yrs. and above,,,,4105
 Panchthar,  75+ Years,Economically Active,Usually Active,Employed,Male,803
 Panchthar,  75+ Years,Economically Active,Usually Active,Employed,Female,356
 Panchthar,  75+ Years,Economically Active,Usually Active,Unemployed,Male,0
 Panchthar,  75+ Years,Economically Active,Usually Active,Unemployed,Female,8
 Panchthar,  75+ Years,Economically Active,Not Usually Active,,Male,68
 Panchthar,  75+ Years,Economically Active,Not Usually Active,,Female,81
 Panchthar,  75+ Years,Not Economically Active,,,Male,1258
 Panchthar,  75+ Years,Not Economically Active,,,Female,1523
 Panchthar,  75+ Years,Economic Activity Not Stated,,,Male,8
 Panchthar,  75+ Years,Economic Activity Not Stated,,,Female,0
 Ilam,  10 - 14 Years,Total Population 10 Yrs. and above,,,,34988
 Ilam,  10 - 14 Years,Economically Active,Usually Active,Employed,Male,506
 Ilam,  10 - 14 Years,Economically Active,Usually Active,Employed,Female,294
 Ilam,  10 - 14 Years,Economically Active,Usually Active,Unemployed,Male,1
 Ilam,  10 - 14 Years,Economically Active,Usually Active,Unemployed,Female,16
 Ilam,  10 - 14 Years,Economically Active,Not Usually Active,,Male,2161
 Ilam,  10 - 14 Years,Economically Active,Not Usually Active,,Female,1422
 Ilam,  10 - 14 Years,Not Economically Active,,,Male,14876
 Ilam,  10 - 14 Years,Not Economically Active,,,Female,15394
 Ilam,  10 - 14 Years,Economic Activity Not Stated,,,Male,186
 Ilam,  10 - 14 Years,Economic Activity Not Stated,,,Female,132
 Ilam,  15 - 19 Years,Total Population 10 Yrs. and above,,,,34433
 Ilam,  15 - 19 Years,Economically Active,Usually Active,Employed,Male,4216
 Ilam,  15 - 19 Years,Economically Active,Usually Active,Employed,Female,3660
 Ilam,  15 - 19 Years,Economically Active,Usually Active,Unemployed,Male,102
 Ilam,  15 - 19 Years,Economically Active,Usually Active,Unemployed,Female,63
 Ilam,  15 - 19 Years,Economically Active,Not Usually Active,,Male,2295
 Ilam,  15 - 19 Years,Economically Active,Not Usually Active,,Female,2198
 Ilam,  15 - 19 Years,Not Economically Active,,,Male,9938
 Ilam,  15 - 19 Years,Not Economically Active,,,Female,11707
 Ilam,  15 - 19 Years,Economic Activity Not Stated,,,Male,136
 Ilam,  15 - 19 Years,Economic Activity Not Stated,,,Female,118
 Ilam,  20 - 24 Years,Total Population 10 Yrs. and above,,,,26802
 Ilam,  20 - 24 Years,Economically Active,Usually Active,Employed,Male,7550
 Ilam,  20 - 24 Years,Economically Active,Usually Active,Employed,Female,8595
 Ilam,  20 - 24 Years,Economically Active,Usually Active,Unemployed,Male,162
 Ilam,  20 - 24 Years,Economically Active,Usually Active,Unemployed,Female,59
 Ilam,  20 - 24 Years,Economically Active,Not Usually Active,,Male,690
 Ilam,  20 - 24 Years,Economically Active,Not Usually Active,,Female,1547
 Ilam,  20 - 24 Years,Not Economically Active,,,Male,2904
 Ilam,  20 - 24 Years,Not Economically Active,,,Female,5072
 Ilam,  20 - 24 Years,Economic Activity Not Stated,,,Male,119
 Ilam,  20 - 24 Years,Economic Activity Not Stated,,,Female,104
 Ilam,  25 - 29 Years,Total Population 10 Yrs. and above,,,,22909
 Ilam,  25 - 29 Years,Economically Active,Usually Active,Employed,Male,8487
 Ilam,  25 - 29 Years,Economically Active,Usually Active,Employed,Female,10010
 Ilam,  25 - 29 Years,Economically Active,Usually Active,Unemployed,Male,112
 Ilam,  25 - 29 Years,Economically Active,Usually Active,Unemployed,Female,37
 Ilam,  25 - 29 Years,Economically Active,Not Usually Active,,Male,218
 Ilam,  25 - 29 Years,Economically Active,Not Usually Active,,Female,1045
 Ilam,  25 - 29 Years,Not Economically Active,,,Male,670
 Ilam,  25 - 29 Years,Not Economically Active,,,Female,2136
 Ilam,  25 - 29 Years,Economic Activity Not Stated,,,Male,105
 Ilam,  25 - 29 Years,Economic Activity Not Stated,,,Female,89
 Ilam,  30 - 34 Years,Total Population 10 Yrs. and above,,,,19465
 Ilam,  30 - 34 Years,Economically Active,Usually Active,Employed,Male,8253
 Ilam,  30 - 34 Years,Economically Active,Usually Active,Employed,Female,8617
 Ilam,  30 - 34 Years,Economically Active,Usually Active,Unemployed,Male,68
 Ilam,  30 - 34 Years,Economically Active,Usually Active,Unemployed,Female,58
 Ilam,  30 - 34 Years,Economically Active,Not Usually Active,,Male,118
 Ilam,  30 - 34 Years,Economically Active,Not Usually Active,,Female,872
 Ilam,  30 - 34 Years,Not Economically Active,,,Male,247
 Ilam,  30 - 34 Years,Not Economically Active,,,Female,1119
 Ilam,  30 - 34 Years,Economic Activity Not Stated,,,Male,44
 Ilam,  30 - 34 Years,Economic Activity Not Stated,,,Female,70
 Ilam,  35 - 39 Years,Total Population 10 Yrs. and above,,,,17592
 Ilam,  35 - 39 Years,Economically Active,Usually Active,Employed,Male,7676
 Ilam,  35 - 39 Years,Economically Active,Usually Active,Employed,Female,7973
 Ilam,  35 - 39 Years,Economically Active,Usually Active,Unemployed,Male,40
 Ilam,  35 - 39 Years,Economically Active,Usually Active,Unemployed,Female,45
 Ilam,  35 - 39 Years,Economically Active,Not Usually Active,,Male,42
 Ilam,  35 - 39 Years,Economically Active,Not Usually Active,,Female,671
 Ilam,  35 - 39 Years,Not Economically Active,,,Male,210
 Ilam,  35 - 39 Years,Not Economically Active,,,Female,853
 Ilam,  35 - 39 Years,Economic Activity Not Stated,,,Male,34
 Ilam,  35 - 39 Years,Economic Activity Not Stated,,,Female,47
 Ilam,  40 - 44 Years,Total Population 10 Yrs. and above,,,,16840
 Ilam,  40 - 44 Years,Economically Active,Usually Active,Employed,Male,7809
 Ilam,  40 - 44 Years,Economically Active,Usually Active,Employed,Female,7279
 Ilam,  40 - 44 Years,Economically Active,Usually Active,Unemployed,Male,29
 Ilam,  40 - 44 Years,Economically Active,Usually Active,Unemployed,Female,26
 Ilam,  40 - 44 Years,Economically Active,Not Usually Active,,Male,24
 Ilam,  40 - 44 Years,Economically Active,Not Usually Active,,Female,695
 Ilam,  40 - 44 Years,Not Economically Active,,,Male,134
 Ilam,  40 - 44 Years,Not Economically Active,,,Female,792
 Ilam,  40 - 44 Years,Economic Activity Not Stated,,,Male,17
