District,Gender,Age-Group,Type of activity performed 1,Month,Value
Taplejung,Male,25 - 29 Years,Seeking economic job,6-7 months, 8
Taplejung,Male,25 - 29 Years,Seeking economic job,8+ months,  34
Taplejung,Male,25 - 29 Years,Non-economic work,< 3 months,542
Taplejung,Male,25 - 29 Years,Non-economic work,3 - 5 months, 322
Taplejung,Male,25 - 29 Years,Non-economic work,6 - 7 months,135
Taplejung,Male,25 - 29 Years,Non-economic work,8+ months,  271
Taplejung,Male,25 - 29 Years,Activity not stated,,0
Taplejung,Male,30 - 34 Years,Any work total person,, 2804
Taplejung,Male,30 - 34 Years,Economic,< 3 months,0
Taplejung,Male,30 - 34 Years,Economic,3 - 5 months,  55
Taplejung,Male,30 - 34 Years,Economic,6 - 7 months, 347
Taplejung,Male,30 - 34 Years,Economic,8+ months, 2284
Taplejung,Male,30 - 34 Years,Extended economic,< 3 months, 465
Taplejung,Male,30 - 34 Years,Extended economic,3 - 5 months,  268
Taplejung,Male,30 - 34 Years,Extended economic,6 - 7 months, 24
Taplejung,Male,30 - 34 Years,Extended economic,8+ months,  16
Taplejung,Male,30 - 34 Years,Seeking economic job,< 3 months,197
Taplejung,Male,30 - 34 Years,Seeking economic job,3-5 months,  102
Taplejung,Male,30 - 34 Years,Seeking economic job,6-7 months,16
Taplejung,Male,30 - 34 Years,Seeking economic job,8+ months,0
Taplejung,Male,30 - 34 Years,Non-economic work,< 3 months,520
Taplejung,Male,30 - 34 Years,Non-economic work,3 - 5 months, 276
Taplejung,Male,30 - 34 Years,Non-economic work,6 - 7 months, 87
Taplejung,Male,30 - 34 Years,Non-economic work,8+ months,  110
Taplejung,Male,30 - 34 Years,Activity not stated,,0
Taplejung,Male,35 - 39 Years,Any work total person,, 2734
Taplejung,Male,35 - 39 Years,Economic,< 3 months,  34
Taplejung,Male,35 - 39 Years,Economic,3 - 5 months,  43
Taplejung,Male,35 - 39 Years,Economic,6 - 7 months, 284
Taplejung,Male,35 - 39 Years,Economic,8+ months, 2287
Taplejung,Male,35 - 39 Years,Extended economic,< 3 months, 413
Taplejung,Male,35 - 39 Years,Extended economic,3 - 5 months,  155
Taplejung,Male,35 - 39 Years,Extended economic,6 - 7 months, 52
Taplejung,Male,35 - 39 Years,Extended economic,8+ months,9
Taplejung,Male,35 - 39 Years,Seeking economic job,< 3 months,189
Taplejung,Male,35 - 39 Years,Seeking economic job,3-5 months,95
Taplejung,Male,35 - 39 Years,Seeking economic job,6-7 months,17
Taplejung,Male,35 - 39 Years,Seeking economic job,8+ months,9
Taplejung,Male,35 - 39 Years,Non-economic work,< 3 months,533
Taplejung,Male,35 - 39 Years,Non-economic work,3 - 5 months, 206
Taplejung,Male,35 - 39 Years,Non-economic work,6 - 7 months, 60
Taplejung,Male,35 - 39 Years,Non-economic work,8+ months,  103
Taplejung,Male,35 - 39 Years,Activity not stated,,0
Taplejung,Male,40 - 44 Years,Any work total person,, 3000
Taplejung,Male,40 - 44 Years,Economic,< 3 months,  24
Taplejung,Male,40 - 44 Years,Economic,3 - 5 months,  72
Taplejung,Male,40 - 44 Years,Economic,6 - 7 months, 280
Taplejung,Male,40 - 44 Years,Economic,8+ months, 2568
Taplejung,Male,40 - 44 Years,Extended economic,< 3 months, 416
Taplejung,Male,40 - 44 Years,Extended economic,3 - 5 months,  216
Taplejung,Male,40 - 44 Years,Extended economic,6 - 7 months, 40
Taplejung,Male,40 - 44 Years,Extended economic,8+ months,  40
Taplejung,Male,40 - 44 Years,Seeking economic job,< 3 months,112
Taplejung,Male,40 - 44 Years,Seeking economic job,3-5 months,64
Taplejung,Male,40 - 44 Years,Seeking economic job,6-7 months, 8
Taplejung,Male,40 - 44 Years,Seeking economic job,8+ months,0
Taplejung,Male,40 - 44 Years,Non-economic work,< 3 months,544
Taplejung,Male,40 - 44 Years,Non-economic work,3 - 5 months, 272
Taplejung,Male,40 - 44 Years,Non-economic work,6 - 7 months, 88
Taplejung,Male,40 - 44 Years,Non-economic work,8+ months,40
Taplejung,Male,40 - 44 Years,Activity not stated,,0
Taplejung,Male,45 - 49 Years,Any work total person,, 2767
Taplejung,Male,45 - 49 Years,Economic,< 3 months,  24
Taplejung,Male,45 - 49 Years,Economic,3 - 5 months,  81
Taplejung,Male,45 - 49 Years,Economic,6 - 7 months, 349
Taplejung,Male,45 - 49 Years,Economic,8+ months, 2240
Taplejung,Male,45 - 49 Years,Extended economic,< 3 months, 438
Taplejung,Male,45 - 49 Years,Extended economic,3 - 5 months,  292
Taplejung,Male,45 - 49 Years,Extended economic,6 - 7 months, 65
Taplejung,Male,45 - 49 Years,Extended economic,8+ months,  32
Taplejung,Male,45 - 49 Years,Seeking economic job,< 3 months,179
Taplejung,Male,45 - 49 Years,Seeking economic job,3-5 months,41
Taplejung,Male,45 - 49 Years,Seeking economic job,6-7 months, 0
Taplejung,Male,45 - 49 Years,Seeking economic job,8+ months,8
Taplejung,Male,45 - 49 Years,Non-economic work,< 3 months,511
Taplejung,Male,45 - 49 Years,Non-economic work,3 - 5 months, 268
Taplejung,Male,45 - 49 Years,Non-economic work,6 - 7 months, 89
Taplejung,Male,45 - 49 Years,Non-economic work,8+ months,65
Taplejung,Male,45 - 49 Years,Activity not stated,,0
Taplejung,Male,50 - 54 Years,Any work total person,, 2786
Taplejung,Male,50 - 54 Years,Economic,< 3 months,  17
Taplejung,Male,50 - 54 Years,Economic,3 - 5 months,  68
Taplejung,Male,50 - 54 Years,Economic,6 - 7 months, 322
Taplejung,Male,50 - 54 Years,Economic,8+ months, 2261
Taplejung,Male,50 - 54 Years,Extended economic,< 3 months, 398
Taplejung,Male,50 - 54 Years,Extended economic,3 - 5 months,  279
Taplejung,Male,50 - 54 Years,Extended economic,6 - 7 months, 51
Taplejung,Male,50 - 54 Years,Extended economic,8+ months,  17
Taplejung,Male,50 - 54 Years,Seeking economic job,< 3 months,135
Taplejung,Male,50 - 54 Years,Seeking economic job,3-5 months,51
Taplejung,Male,50 - 54 Years,Seeking economic job,6-7 months, 8
Taplejung,Male,50 - 54 Years,Seeking economic job,8+ months,0
Taplejung,Male,50 - 54 Years,Non-economic work,< 3 months,491
Taplejung,Male,50 - 54 Years,Non-economic work,3 - 5 months, 347
Taplejung,Male,50 - 54 Years,Non-economic work,6 - 7 months, 59
Taplejung,Male,50 - 54 Years,Non-economic work,8+ months,  110
Taplejung,Male,50 - 54 Years,Activity not stated,,0
Taplejung,Male,55 - 59 Years,Any work total person,, 2026
Taplejung,Male,55 - 59 Years,Economic,< 3 months,  15
Taplejung,Male,55 - 59 Years,Economic,3 - 5 months, 114
Taplejung,Male,55 - 59 Years,Economic,6 - 7 months, 266
Taplejung,Male,55 - 59 Years,Economic,8+ months, 1540
Taplejung,Male,55 - 59 Years,Extended economic,< 3 months, 372
Taplejung,Male,55 - 59 Years,Extended economic,3 - 5 months,  228
Taplejung,Male,55 - 59 Years,Extended economic,6 - 7 months, 46
Taplejung,Male,55 - 59 Years,Extended economic,8+ months,  15
Taplejung,Male,55 - 59 Years,Seeking economic job,< 3 months, 83
Taplejung,Male,55 - 59 Years,Seeking economic job,3-5 months,38
Taplejung,Male,55 - 59 Years,Seeking economic job,6-7 months, 0
Taplejung,Male,55 - 59 Years,Seeking economic job,8+ months,8
Taplejung,Male,55 - 59 Years,Non-economic work,< 3 months,402
Taplejung,Male,55 - 59 Years,Non-economic work,3 - 5 months, 220
Taplejung,Male,55 - 59 Years,Non-economic work,6 - 7 months, 76
Taplejung,Male,55 - 59 Years,Non-economic work,8+ months,  106
Taplejung,Male,55 - 59 Years,Activity not stated,,0
Taplejung,Male,60 - 64 Years,Any work total person,, 1816
Taplejung,Male,60 - 64 Years,Economic,< 3 months,  56
Taplejung,Male,60 - 64 Years,Economic,3 - 5 months,  89
Taplejung,Male,60 - 64 Years,Economic,6 - 7 months, 339
Taplejung,Male,60 - 64 Years,Economic,8+ months, 1057
Taplejung,Male,60 - 64 Years,Extended economic,< 3 months, 331
Taplejung,Male,60 - 64 Years,Extended economic,3 - 5 months,  137
Taplejung,Male,60 - 64 Years,Extended economic,6 - 7 months, 48
Taplejung,Male,60 - 64 Years,Extended economic,8+ months,  40
Taplejung,Male,60 - 64 Years,Seeking economic job,< 3 months, 73
Taplejung,Male,60 - 64 Years,Seeking economic job,3-5 months,24
Taplejung,Male,60 - 64 Years,Seeking economic job,6-7 months, 0
Taplejung,Male,60 - 64 Years,Seeking economic job,8+ months,0
Taplejung,Male,60 - 64 Years,Non-economic work,< 3 months,315
Taplejung,Male,60 - 64 Years,Non-economic work,3 - 5 months, 242
Taplejung,Male,60 - 64 Years,Non-economic work,6 - 7 months,113
Taplejung,Male,60 - 64 Years,Non-economic work,8+ months,  331
Taplejung,Male,60 - 64 Years,Activity not stated,,0
Taplejung,Male,65 - 69 Years,Any work total person,, 1171
Taplejung,Male,65 - 69 Years,Economic,< 3 months,  24
Taplejung,Male,65 - 69 Years,Economic,3 - 5 months,  57
Taplejung,Male,65 - 69 Years,Economic,6 - 7 months, 226
Taplejung,Male,65 - 69 Years,Economic,8+ months,  678
Taplejung,Male,65 - 69 Years,Extended economic,< 3 months, 170
Taplejung,Male,65 - 69 Years,Extended economic,3 - 5 months,  113
Taplejung,Male,65 - 69 Years,Extended economic,6 - 7 months, 32
Taplejung,Male,65 - 69 Years,Extended economic,8+ months,8
Taplejung,Male,65 - 69 Years,Seeking economic job,< 3 months, 57
Taplejung,Male,65 - 69 Years,Seeking economic job,3-5 months,24
Taplejung,Male,65 - 69 Years,Seeking economic job,6-7 months, 0
Taplejung,Male,65 - 69 Years,Seeking economic job,8+ months,0
Taplejung,Male,65 - 69 Years,Non-economic work,< 3 months,153
Taplejung,Male,65 - 69 Years,Non-economic work,3 - 5 months, 202
Taplejung,Male,65 - 69 Years,Non-economic work,6 - 7 months, 81
Taplejung,Male,65 - 69 Years,Non-economic work,8+ months,  210
Taplejung,Male,65 - 69 Years,Activity not stated,,0
Taplejung,Male,70 - 74 Years,Any work total person,, 1057
Taplejung,Male,70 - 74 Years,Economic,< 3 months,  54
Taplejung,Male,70 - 74 Years,Economic,3 - 5 months,  23
Taplejung,Male,70 - 74 Years,Economic,6 - 7 months, 132
Taplejung,Male,70 - 74 Years,Economic,8+ months,  482
Taplejung,Male,70 - 74 Years,Extended economic,< 3 months, 163
Taplejung,Male,70 - 74 Years,Extended economic,3 - 5 months,23
Taplejung,Male,70 - 74 Years,Extended economic,6 - 7 months, 16
Taplejung,Male,70 - 74 Years,Extended economic,8+ months,  23
Taplejung,Male,70 - 74 Years,Seeking economic job,< 3 months, 16
Taplejung,Male,70 - 74 Years,Seeking economic job,3-5 months,16
Taplejung,Male,70 - 74 Years,Seeking economic job,6-7 months, 0
Taplejung,Male,70 - 74 Years,Seeking economic job,8+ months,0
Taplejung,Male,70 - 74 Years,Non-economic work,< 3 months,187
Taplejung,Male,70 - 74 Years,Non-economic work,3 - 5 months, 101
Taplejung,Male,70 - 74 Years,Non-economic work,6 - 7 months, 54
Taplejung,Male,70 - 74 Years,Non-economic work,8+ months,  412
Taplejung,Male,70 - 74 Years,Activity not stated,,0
Taplejung,Male,75+ Years,Any work total person,,  1423
Taplejung,Male,75+ Years,Economic,< 3 months,  71
Taplejung,Male,75+ Years,Economic,3 - 5 months,  62
Taplejung,Male,75+ Years,Economic,6 - 7 months, 115
Taplejung,Male,75+ Years,Economic,8+ months,  389
Taplejung,Male,75+ Years,Extended economic,< 3 months,  53
Taplejung,Male,75+ Years,Extended economic,3 - 5 months,53
Taplejung,Male,75+ Years,Extended economic,6 - 7 months, 27
Taplejung,Male,75+ Years,Extended economic,8+ months,  18
Taplejung,Male,75+ Years,Seeking economic job,< 3 months, 18
Taplejung,Male,75+ Years,Seeking economic job,3-5 months, 9
Taplejung,Male,75+ Years,Seeking economic job,6-7 months,18
Taplejung,Male,75+ Years,Seeking economic job,8+ months,0
Taplejung,Male,75+ Years,Non-economic work,< 3 months, 88
Taplejung,Male,75+ Years,Non-economic work,3 - 5 months,  97
Taplejung,Male,75+ Years,Non-economic work,6 - 7 months, 27
Taplejung,Male,75+ Years,Non-economic work,8+ months,  884
Taplejung,Male,75+ Years,Activity not stated,,0
Taplejung,Female,10 - 14 Years,Any work total person,, 8796
Taplejung,Female,10 - 14 Years,Economic,< 3 months, 880
Taplejung,Female,10 - 14 Years,Economic,3 - 5 months, 238
Taplejung,Female,10 - 14 Years,Economic,6 - 7 months,  95
Taplejung,Female,10 - 14 Years,Economic,8+ months,  159
Taplejung,Female,10 - 14 Years,Extended economic,< 3 months, 389
Taplejung,Female,10 - 14 Years,Extended economic,3 - 5 months,40
Taplejung,Female,10 - 14 Years,Extended economic,6 - 7 months,  0
Taplejung,Female,10 - 14 Years,Extended economic,8+ months,0
Taplejung,Female,10 - 14 Years,Seeking economic job,< 3 months,  40
Taplejung,Female,10 - 14 Years,Seeking economic job,3-5 months,8
Taplejung,Female,10 - 14 Years,Seeking economic job,6-7 months, 8
Taplejung,Female,10 - 14 Years,Seeking economic job,8+ months,8
Taplejung,Female,10 - 14 Years,Non-economic work,< 3 months, 79
Taplejung,Female,10 - 14 Years,Non-economic work,3 - 5 months,  63
Taplejung,Female,10 - 14 Years,Non-economic work,6 - 7 months,135
Taplejung,Female,10 - 14 Years,Non-economic work,8+ months, 8399
Taplejung,Female,10 - 14 Years,Activity not stated,,  48
Taplejung,Female,15 - 19 Years,Any work total person,, 8063
Taplejung,Female,15 - 19 Years,Economic,< 3 months, 904
Taplejung,Female,15 - 19 Years,Economic,3 - 5 months, 670
Taplejung,Female,15 - 19 Years,Economic,6 - 7 months, 592
Taplejung,Female,15 - 19 Years,Economic,8+ months, 1075
Taplejung,Female,15 - 19 Years,Extended economic,< 3 months, 763
Taplejung,Female,15 - 19 Years,Extended economic,3 - 5 months,  257
Taplejung,Female,15 - 19 Years,Extended economic,6 - 7 months, 62
Taplejung,Female,15 - 19 Years,Extended economic,8+ months,8
Taplejung,Female,15 - 19 Years,Seeking economic job,< 3 months, 156
Taplejung,Female,15 - 19 Years,Seeking economic job,3-5 months,  62
Taplejung,Female,15 - 19 Years,Seeking economic job,6-7 months, 8
Taplejung,Female,15 - 19 Years,Seeking economic job,8+ months,8
Taplejung,Female,15 - 19 Years,Non-economic work,< 3 months,428
Taplejung,Female,15 - 19 Years,Non-economic work,3 - 5 months, 600
Taplejung,Female,15 - 19 Years,Non-economic work,6 - 7 months,545
Taplejung,Female,15 - 19 Years,Non-economic work,8+ months, 5897
Taplejung,Female,15 - 19 Years,Activity not stated,,  55
Taplejung,Female,20 - 24 Years,Any work total person,, 6092
Taplejung,Female,20 - 24 Years,Economic,< 3 months, 305
Taplejung,Female,20 - 24 Years,Economic,3 - 5 months, 585
Taplejung,Female,20 - 24 Years,Economic,6 - 7 months,1059
Taplejung,Female,20 - 24 Years,Economic,8+ months, 2330
Taplejung,Female,20 - 24 Years,Extended economic,< 3 months, 830
Taplejung,Female,20 - 24 Years,Extended economic,3 - 5 months,  339
Taplejung,Female,20 - 24 Years,Extended economic,6 - 7 months, 51
Taplejung,Female,20 - 24 Years,Extended economic,8+ months,  59
Taplejung,Female,20 - 24 Years,Seeking economic job,< 3 months, 144
Taplejung,Female,20 - 24 Years,Seeking economic job,3-5 months, 119
Taplejung,Female,20 - 24 Years,Seeking economic job,6-7 months, 8
Taplejung,Female,20 - 24 Years,Seeking economic job,8+ months,  25
Taplejung,Female,20 - 24 Years,Non-economic work,< 3 months,678
Taplejung,Female,20 - 24 Years,Non-economic work,3 - 5 months,1220
Taplejung,Female,20 - 24 Years,Non-economic work,6 - 7 months,830
Taplejung,Female,20 - 24 Years,Non-economic work,8+ months, 2135
Taplejung,Female,20 - 24 Years,Activity not stated,,  17
Taplejung,Female,25 - 29 Years,Any work total person,, 4935
Taplejung,Female,25 - 29 Years,Economic,< 3 months, 165
Taplejung,Female,25 - 29 Years,Economic,3 - 5 months, 395
Taplejung,Female,25 - 29 Years,Economic,6 - 7 months,1178
Taplejung,Female,25 - 29 Years,Economic,8+ months, 2538
Taplejung,Female,25 - 29 Years,Extended economic,< 3 months, 774
Taplejung,Female,25 - 29 Years,Extended economic,3 - 5 months,  412
Taplejung,Female,25 - 29 Years,Extended economic,6 - 7 months, 58
Taplejung,Female,25 - 29 Years,Extended economic,8+ months,  41
Taplejung,Female,25 - 29 Years,Seeking economic job,< 3 months,  99
Taplejung,Female,25 - 29 Years,Seeking economic job,3-5 months, 107
Taplejung,Female,25 - 29 Years,Seeking economic job,6-7 months, 0
Taplejung,Female,25 - 29 Years,Seeking economic job,8+ months,8
Taplejung,Female,25 - 29 Years,Non-economic work,< 3 months,832
Taplejung,Female,25 - 29 Years,Non-economic work,3 - 5 months,1228
Taplejung,Female,25 - 29 Years,Non-economic work,6 - 7 months,676
Taplejung,Female,25 - 29 Years,Non-economic work,8+ months,  799
Taplejung,Female,25 - 29 Years,Activity not stated,,0
Taplejung,Female,30 - 34 Years,Any work total person,, 3925
Taplejung,Female,30 - 34 Years,Economic,< 3 months, 118
Taplejung,Female,30 - 34 Years,Economic,3 - 5 months, 338
Taplejung,Female,30 - 34 Years,Economic,6 - 7 months, 922
Taplejung,Female,30 - 34 Years,Economic,8+ months, 2157
Taplejung,Female,30 - 34 Years,Extended economic,< 3 months, 753
Taplejung,Female,30 - 34 Years,Extended economic,3 - 5 months,  305
Taplejung,Female,30 - 34 Years,Extended economic,6 - 7 months, 85
Taplejung,Female,30 - 34 Years,Extended economic,8+ months,  17
Taplejung,Female,30 - 34 Years,Seeking economic job,< 3 months,  93
Taplejung,Female,30 - 34 Years,Seeking economic job,3-5 months,  59
Taplejung,Female,30 - 34 Years,Seeking economic job,6-7 months, 8
Taplejung,Female,30 - 34 Years,Seeking economic job,8+ months,  17
Taplejung,Female,30 - 34 Years,Non-economic work,< 3 months,601
Taplejung,Female,30 - 34 Years,Non-economic work,3 - 5 months,1184
Taplejung,Female,30 - 34 Years,Non-economic work,6 - 7 months,567
Taplejung,Female,30 - 34 Years,Non-economic work,8+ months,  431
Taplejung,Female,30 - 34 Years,Activity not stated,,0
Taplejung,Female,35 - 39 Years,Any work total person,, 3645
Taplejung,Female,35 - 39 Years,Economic,< 3 months, 118
Taplejung,Female,35 - 39 Years,Economic,3 - 5 months, 434
Taplejung,Female,35 - 39 Years,Economic,6 - 7 months, 813
Taplejung,Female,35 - 39 Years,Economic,8+ months, 1870
Taplejung,Female,35 - 39 Years,Extended economic,< 3 months, 663
Taplejung,Female,35 - 39 Years,Extended economic,3 - 5 months,  355
Taplejung,Female,35 - 39 Years,Extended economic,6 - 7 months, 87
Taplejung,Female,35 - 39 Years,Extended economic,8+ months,  24
Taplejung,Female,35 - 39 Years,Seeking economic job,< 3 months,  95
Taplejung,Female,35 - 39 Years,Seeking economic job,3-5 months,  47
Taplejung,Female,35 - 39 Years,Seeking economic job,6-7 months, 0
Taplejung,Female,35 - 39 Years,Seeking economic job,8+ months,8
Taplejung,Female,35 - 39 Years,Non-economic work,< 3 months,592
Taplejung,Female,35 - 39 Years,Non-economic work,3 - 5 months, 907
Taplejung,Female,35 - 39 Years,Non-economic work,6 - 7 months,623
Taplejung,Female,35 - 39 Years,Non-economic work,8+ months,  544
Taplejung,Female,35 - 39 Years,Activity not stated,,0
Taplejung,Female,40 - 44 Years,Any work total person,, 3512
Taplejung,Female,40 - 44 Years,Economic,< 3 months, 107
Taplejung,Female,40 - 44 Years,Economic,3 - 5 months, 392
Taplejung,Female,40 - 44 Years,Economic,6 - 7 months, 882
Taplejung,Female,40 - 44 Years,Economic,8+ months, 1827
Taplejung,Female,40 - 44 Years,Extended economic,< 3 months, 615
Taplejung,Female,40 - 44 Years,Extended economic,3 - 5 months,  294
Taplejung,Female,40 - 44 Years,Extended economic,6 - 7 months, 45
Taplejung,Female,40 - 44 Years,Extended economic,8+ months,  18
Taplejung,Female,40 - 44 Years,Seeking economic job,< 3 months,  71
Taplejung,Female,40 - 44 Years,Seeking economic job,3-5 months,  62
Taplejung,Female,40 - 44 Years,Seeking economic job,6-7 months, 0
Taplejung,Female,40 - 44 Years,Seeking economic job,8+ months,0
Taplejung,Female,40 - 44 Years,Non-economic work,< 3 months,606
Taplejung,Female,40 - 44 Years,Non-economic work,3 - 5 months, 998
Taplejung,Female,40 - 44 Years,Non-economic work,6 - 7 months,553
Taplejung,Female,40 - 44 Years,Non-economic work,8+ months,  472
Taplejung,Female,40 - 44 Years,Activity not stated,,9
Taplejung,Female,45 - 49 Years,Any work total person,, 3031
Taplejung,Female,45 - 49 Years,Economic,< 3 months,  70
Taplejung,Female,45 - 49 Years,Economic,3 - 5 months, 376
Taplejung,Female,45 - 49 Years,Economic,6 - 7 months, 674
Taplejung,Female,45 - 49 Years,Economic,8+ months, 1629
Taplejung,Female,45 - 49 Years,Extended economic,< 3 months, 501
Taplejung,Female,45 - 49 Years,Extended economic,3 - 5 months,  313
Taplejung,Female,45 - 49 Years,Extended economic,6 - 7 months, 78
Taplejung,Female,45 - 49 Years,Extended economic,8+ months,  23
Taplejung,Female,45 - 49 Years,Seeking economic job,< 3 months,  23
Taplejung,Female,45 - 49 Years,Seeking economic job,3-5 months,  63
Taplejung,Female,45 - 49 Years,Seeking economic job,6-7 months,16
Taplejung,Female,45 - 49 Years,Seeking economic job,8+ months,0
Taplejung,Female,45 - 49 Years,Non-economic work,< 3 months,572
Taplejung,Female,45 - 49 Years,Non-economic work,3 - 5 months, 971
Taplejung,Female,45 - 49 Years,Non-economic work,6 - 7 months,415
Taplejung,Female,45 - 49 Years,Non-economic work,8+ months,  376
Taplejung,Female,45 - 49 Years,Activity not stated,,0
Taplejung,Female,50 - 54 Years,Any work total person,, 2648
Taplejung,Female,50 - 54 Years,Economic,< 3 months,  90
Taplejung,Female,50 - 54 Years,Economic,3 - 5 months, 318
Taplejung,Female,50 - 54 Years,Economic,6 - 7 months, 627
Taplejung,Female,50 - 54 Years,Economic,8+ months, 1214
Taplejung,Female,50 - 54 Years,Extended economic,< 3 months, 456
Taplejung,Female,50 - 54 Years,Extended economic,3 - 5 months,  236
Taplejung,Female,50 - 54 Years,Extended economic,6 - 7 months, 65
Taplejung,Female,50 - 54 Years,Extended economic,8+ months,  24
Taplejung,Female,50 - 54 Years,Seeking economic job,< 3 months,8
Taplejung,Female,50 - 54 Years,Seeking economic job,3-5 months,  24
Taplejung,Female,50 - 54 Years,Seeking economic job,6-7 months,16
Taplejung,Female,50 - 54 Years,Seeking economic job,8+ months,0
Taplejung,Female,50 - 54 Years,Non-economic work,< 3 months,399
Taplejung,Female,50 - 54 Years,Non-economic work,3 - 5 months, 741
Taplejung,Female,50 - 54 Years,Non-economic work,6 - 7 months,432
Taplejung,Female,50 - 54 Years,Non-economic work,8+ months,  513
Taplejung,Female,50 - 54 Years,Activity not stated,,0
Taplejung,Female,55 - 59 Years,Any work total person,, 2019
Taplejung,Female,55 - 59 Years,Economic,< 3 months,  49
Taplejung,Female,55 - 59 Years,Economic,3 - 5 months, 269
Taplejung,Female,55 - 59 Years,Economic,6 - 7 months, 488
Taplejung,Female,55 - 59 Years,Economic,8+ months,  782
Taplejung,Female,55 - 59 Years,Extended economic,< 3 months, 326
Taplejung,Female,55 - 59 Years,Extended economic,3 - 5 months,  195
Taplejung,Female,55 - 59 Years,Extended economic,6 - 7 months, 41
Taplejung,Female,55 - 59 Years,Extended economic,8+ months,8
Taplejung,Female,55 - 59 Years,Seeking economic job,< 3 months,  16
