District,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Literacy Status,Gender,Population under 16 years of age living with,Number
 Jhapa,,,,,,Literacy not stated,Male,Parents,17
 Jhapa,,,,,,Literacy not stated,Male,Mother,0
 Jhapa,,,,,,Literacy not stated,Male,Father,0
 Jhapa,,,,,,Literacy not stated,Male,Father and step mother,0
 Jhapa,,,,,,Literacy not stated,Male,Mother and step father,0
 Jhapa,,,,,,Literacy not stated,Male,Other relatives,0
 Jhapa,,,,,,Literacy not stated,Male,Employer,0
 Jhapa,,,,,,Literacy not stated,Male,Others,0
 Jhapa,,,,,,Literacy not stated,Male,Not stated,0
 Jhapa,,,,,,Illiterate,  Female,Parents,6457
 Jhapa,,,,,,Illiterate,  Female,Mother,666
 Jhapa,,,,,,Illiterate,  Female,Father,83
 Jhapa,,,,,,Illiterate,  Female,Father and step mother,25
 Jhapa,,,,,,Illiterate,  Female,Mother and step father,0
 Jhapa,,,,,,Illiterate,  Female,Other relatives,66
 Jhapa,,,,,,Illiterate,  Female,Employer,11
 Jhapa,,,,,,Illiterate,  Female,Others,193
 Jhapa,,,,,,Illiterate,  Female,Not stated,69
 Jhapa,,,,,,Literate,  Female,Parents,74676
 Jhapa,,,,,,Literate,  Female,Mother,8613
 Jhapa,,,,,,Literate,  Female,Father,1150
 Jhapa,,,,,,Literate,  Female,Father and step mother,353
 Jhapa,,,,,,Literate,  Female,Mother and step father,92
 Jhapa,,,,,,Literate,  Female,Other relatives,1191
 Jhapa,,,,,,Literate,  Female,Employer,219
 Jhapa,,,,,,Literate,  Female,Others,2248
 Jhapa,,,,,,Literate,  Female,Not stated,471
 Jhapa,,,,,,Literacy not stated,  Female,Parents,50
 Jhapa,,,,,,Literacy not stated,  Female,Mother,8
 Jhapa,,,,,,Literacy not stated,  Female,Father,0
 Jhapa,,,,,,Literacy not stated,  Female,Father and step mother,0
 Jhapa,,,,,,Literacy not stated,  Female,Mother and step father,0
 Jhapa,,,,,,Literacy not stated,  Female,Other relatives,0
 Jhapa,,,,,,Literacy not stated,  Female,Employer,0
 Jhapa,,,,,,Literacy not stated,  Female,Others,0
 Jhapa,,,,,,Literacy not stated,  Female,Not stated,0
 Morang,,,,,,Illiterate,Male,Parents,11160
 Morang,,,,,,Illiterate,Male,Mother,737
 Morang,,,,,,Illiterate,Male,Father,56
 Morang,,,,,,Illiterate,Male,Father and step mother,33
 Morang,,,,,,Illiterate,Male,Mother and step father,16
 Morang,,,,,,Illiterate,Male,Other relatives,120
 Morang,,,,,,Illiterate,Male,Employer,32
 Morang,,,,,,Illiterate,Male,Others,282
 Morang,,,,,,Illiterate,Male,Not stated,120
 Morang,,,,,,Literate,Male,Parents,94018
 Morang,,,,,,Literate,Male,Mother,9335
 Morang,,,,,,Literate,Male,Father,1029
 Morang,,,,,,Literate,Male,Father and step mother,315
 Morang,,,,,,Literate,Male,Mother and step father,40
 Morang,,,,,,Literate,Male,Other relatives,944
 Morang,,,,,,Literate,Male,Employer,223
 Morang,,,,,,Literate,Male,Others,2779
 Morang,,,,,,Literate,Male,Not stated,626
 Morang,,,,,,Literacy not stated,Male,Parents,57
 Morang,,,,,,Literacy not stated,Male,Mother,0
 Morang,,,,,,Literacy not stated,Male,Father,0
 Morang,,,,,,Literacy not stated,Male,Father and step mother,0
 Morang,,,,,,Literacy not stated,Male,Mother and step father,0
 Morang,,,,,,Literacy not stated,Male,Other relatives,0
 Morang,,,,,,Literacy not stated,Male,Employer,0
 Morang,,,,,,Literacy not stated,Male,Others,0
 Morang,,,,,,Literacy not stated,Male,Not stated,8
 Morang,,,,,,Illiterate,  Female,Parents,11468
 Morang,,,,,,Illiterate,  Female,Mother,756
 Morang,,,,,,Illiterate,  Female,Father,73
 Morang,,,,,,Illiterate,  Female,Father and step mother,57
 Morang,,,,,,Illiterate,  Female,Mother and step father,0
 Morang,,,,,,Illiterate,  Female,Other relatives,106
 Morang,,,,,,Illiterate,  Female,Employer,8
 Morang,,,,,,Illiterate,  Female,Others,276
 Morang,,,,,,Illiterate,  Female,Not stated,146
 Morang,,,,,,Literate,  Female,Parents,90410
 Morang,,,,,,Literate,  Female,Mother,9005
 Morang,,,,,,Literate,  Female,Father,1073
 Morang,,,,,,Literate,  Female,Father and step mother,293
 Morang,,,,,,Literate,  Female,Mother and step father,40
 Morang,,,,,,Literate,  Female,Other relatives,1067
 Morang,,,,,,Literate,  Female,Employer,161
 Morang,,,,,,Literate,  Female,Others,2762
 Morang,,,,,,Literate,  Female,Not stated,635
 Morang,,,,,,Literacy not stated,  Female,Parents,57
 Morang,,,,,,Literacy not stated,  Female,Mother,0
 Morang,,,,,,Literacy not stated,  Female,Father,0
 Morang,,,,,,Literacy not stated,  Female,Father and step mother,0
 Morang,,,,,,Literacy not stated,  Female,Mother and step father,0
 Morang,,,,,,Literacy not stated,  Female,Other relatives,0
 Morang,,,,,,Literacy not stated,  Female,Employer,0
 Morang,,,,,,Literacy not stated,  Female,Others,0
 Morang,,,,,,Literacy not stated,  Female,Not stated,0
 Sunsari,,,,,,Illiterate,Male,Parents,11840
 Sunsari,,,,,,Illiterate,Male,Mother,1020
 Sunsari,,,,,,Illiterate,Male,Father,121
 Sunsari,,,,,,Illiterate,Male,Father and step mother,16
 Sunsari,,,,,,Illiterate,Male,Mother and step father,8
 Sunsari,,,,,,Illiterate,Male,Other relatives,60
 Sunsari,,,,,,Illiterate,Male,Employer,8
 Sunsari,,,,,,Illiterate,Male,Others,275
 Sunsari,,,,,,Illiterate,Male,Not stated,93
 Sunsari,,,,,,Literate,Male,Parents,77018
 Sunsari,,,,,,Literate,Male,Mother,6238
 Sunsari,,,,,,Literate,Male,Father,699
 Sunsari,,,,,,Literate,Male,Father and step mother,246
 Sunsari,,,,,,Literate,Male,Mother and step father,50
 Sunsari,,,,,,Literate,Male,Other relatives,795
 Sunsari,,,,,,Literate,Male,Employer,94
 Sunsari,,,,,,Literate,Male,Others,2031
 Sunsari,,,,,,Literate,Male,Not stated,317
 Sunsari,,,,,,Literacy not stated,Male,Parents,19
 Sunsari,,,,,,Literacy not stated,Male,Mother,0
 Sunsari,,,,,,Literacy not stated,Male,Father,0
 Sunsari,,,,,,Literacy not stated,Male,Father and step mother,0
 Sunsari,,,,,,Literacy not stated,Male,Mother and step father,0
 Sunsari,,,,,,Literacy not stated,Male,Other relatives,0
 Sunsari,,,,,,Literacy not stated,Male,Employer,0
 Sunsari,,,,,,Literacy not stated,Male,Others,0
 Sunsari,,,,,,Literacy not stated,Male,Not stated,0
 Sunsari,,,,,,Illiterate,  Female,Parents,12992
 Sunsari,,,,,,Illiterate,  Female,Mother,773
 Sunsari,,,,,,Illiterate,  Female,Father,157
 Sunsari,,,,,,Illiterate,  Female,Father and step mother,10
 Sunsari,,,,,,Illiterate,  Female,Mother and step father,34
 Sunsari,,,,,,Illiterate,  Female,Other relatives,107
 Sunsari,,,,,,Illiterate,  Female,Employer,19
 Sunsari,,,,,,Illiterate,  Female,Others,267
 Sunsari,,,,,,Illiterate,  Female,Not stated,152
 Sunsari,,,,,,Literate,  Female,Parents,72648
 Sunsari,,,,,,Literate,  Female,Mother,6101
 Sunsari,,,,,,Literate,  Female,Father,611
 Sunsari,,,,,,Literate,  Female,Father and step mother,162
 Sunsari,,,,,,Literate,  Female,Mother and step father,26
 Sunsari,,,,,,Literate,  Female,Other relatives,823
 Sunsari,,,,,,Literate,  Female,Employer,132
 Sunsari,,,,,,Literate,  Female,Others,1867
 Sunsari,,,,,,Literate,  Female,Not stated,378
 Sunsari,,,,,,Literacy not stated,  Female,Parents,16
 Sunsari,,,,,,Literacy not stated,  Female,Mother,8
 Sunsari,,,,,,Literacy not stated,  Female,Father,0
 Sunsari,,,,,,Literacy not stated,  Female,Father and step mother,0
 Sunsari,,,,,,Literacy not stated,  Female,Mother and step father,0
 Sunsari,,,,,,Literacy not stated,  Female,Other relatives,0
 Sunsari,,,,,,Literacy not stated,  Female,Employer,0
 Sunsari,,,,,,Literacy not stated,  Female,Others,0
 Sunsari,,,,,,Literacy not stated,  Female,Not stated,0
 Terhathum,,,,,,Illiterate,Male,Parents,1243
 Terhathum,,,,,,Illiterate,Male,Mother,242
 Terhathum,,,,,,Illiterate,Male,Father,8
 Terhathum,,,,,,Illiterate,Male,Father and step mother,16
 Terhathum,,,,,,Illiterate,Male,Mother and step father,0
 Terhathum,,,,,,Illiterate,Male,Other relatives,16
 Terhathum,,,,,,Illiterate,Male,Employer,0
 Terhathum,,,,,,Illiterate,Male,Others,8
 Terhathum,,,,,,Illiterate,Male,Not stated,8
 Terhathum,,,,,,Literate,Male,Parents,9865
 Terhathum,,,,,,Literate,Male,Mother,1659
 Terhathum,,,,,,Literate,Male,Father,129
 Terhathum,,,,,,Literate,Male,Father and step mother,48
 Terhathum,,,,,,Literate,Male,Mother and step father,0
 Terhathum,,,,,,Literate,Male,Other relatives,89
 Terhathum,,,,,,Literate,Male,Employer,0
 Terhathum,,,,,,Literate,Male,Others,274
 Terhathum,,,,,,Literate,Male,Not stated,32
