District,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Occupation,Gender,Status of employment,Value
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Office assistance,Male,Own account holder,32
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Office assistance,Male,Unpaid family worker,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Office assistance,Male,Not stated,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Service & sale workers,Male,Employer,24
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Service & sale workers,Male,Employee,674
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Service & sale workers,Male,Own account holder,1747
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Service & sale workers,Male,Unpaid family worker,9
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Service & sale workers,Male,Not stated,121
Achham,Seti,Hill,Far-Western,2068/69,2011/12,"Skilled agri.,forestry & fishery workers",Male,Employer,336
Achham,Seti,Hill,Far-Western,2068/69,2011/12,"Skilled agri.,forestry & fishery workers",Male,Employee,683
Achham,Seti,Hill,Far-Western,2068/69,2011/12,"Skilled agri.,forestry & fishery workers",Male,Own account holder,30182
Achham,Seti,Hill,Far-Western,2068/69,2011/12,"Skilled agri.,forestry & fishery workers",Male,Unpaid family worker,196
Achham,Seti,Hill,Far-Western,2068/69,2011/12,"Skilled agri.,forestry & fishery workers",Male,Not stated,702
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Craft and related trades workers,Male,Employer,25
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Craft and related trades workers,Male,Employee,1318
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Craft and related trades workers,Male,Own account holder,550
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Craft and related trades workers,Male,Unpaid family worker,9
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Craft and related trades workers,Male,Not stated,33
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Plant & machine operators & assemblers,Male,Employer,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Plant & machine operators & assemblers,Male,Employee,248
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Plant & machine operators & assemblers,Male,Own account holder,80
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Plant & machine operators & assemblers,Male,Unpaid family worker,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Plant & machine operators & assemblers,Male,Not stated,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Elementary Occupations,Male,Employer,33
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Elementary Occupations,Male,Employee,1350
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Elementary Occupations,Male,Own account holder,419
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Elementary Occupations,Male,Unpaid family worker,32
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Elementary Occupations,Male,Not stated,50
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Not Stated,Male,Employer,16
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Not Stated,Male,Employee,514
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Not Stated,Male,Own account holder,56
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Not Stated,Male,Unpaid family worker,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Not Stated,Male,Not stated,89
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Armed Forces,Female,Employer,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Armed Forces,Female,Employee,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Armed Forces,Female,Own account holder,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Armed Forces,Female,Unpaid family worker,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Armed Forces,Female,Not stated,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Managers,Female,Employer,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Managers,Female,Employee,48
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Managers,Female,Own account holder,72
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Managers,Female,Unpaid family worker,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Managers,Female,Not stated,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Professionals,Female,Employer,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Professionals,Female,Employee,657
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Professionals,Female,Own account holder,24
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Professionals,Female,Unpaid family worker,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Professionals,Female,Not stated,24
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Technicians and associate Prof.,Female,Employer,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Technicians and associate Prof.,Female,Employee,177
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Technicians and associate Prof.,Female,Own account holder,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Technicians and associate Prof.,Female,Unpaid family worker,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Technicians and associate Prof.,Female,Not stated,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Office assistance,Female,Employer,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Office assistance,Female,Employee,89
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Office assistance,Female,Own account holder,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Office assistance,Female,Unpaid family worker,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Office assistance,Female,Not stated,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Service & sale workers,Female,Employer,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Service & sale workers,Female,Employee,73
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Service & sale workers,Female,Own account holder,522
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Service & sale workers,Female,Unpaid family worker,16
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Service & sale workers,Female,Not stated,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,"Skilled agri.,forestry & fishery workers",Female,Employer,421
Achham,Seti,Hill,Far-Western,2068/69,2011/12,"Skilled agri.,forestry & fishery workers",Female,Employee,604
Achham,Seti,Hill,Far-Western,2068/69,2011/12,"Skilled agri.,forestry & fishery workers",Female,Own account holder,48865
Achham,Seti,Hill,Far-Western,2068/69,2011/12,"Skilled agri.,forestry & fishery workers",Female,Unpaid family worker,413
Achham,Seti,Hill,Far-Western,2068/69,2011/12,"Skilled agri.,forestry & fishery workers",Female,Not stated,1439
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Craft and related trades workers,Female,Employer,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Craft and related trades workers,Female,Employee,114
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Craft and related trades workers,Female,Own account holder,129
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Craft and related trades workers,Female,Unpaid family worker,16
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Craft and related trades workers,Female,Not stated,24
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Plant & machine operators & assemblers,Female,Employer,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Plant & machine operators & assemblers,Female,Employee,16
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Plant & machine operators & assemblers,Female,Own account holder,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Plant & machine operators & assemblers,Female,Unpaid family worker,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Plant & machine operators & assemblers,Female,Not stated,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Elementary Occupations,Female,Employer,48
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Elementary Occupations,Female,Employee,284
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Elementary Occupations,Female,Own account holder,1157
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Elementary Occupations,Female,Unpaid family worker,57
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Elementary Occupations,Female,Not stated,72
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Not Stated,Female,Employer,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Not Stated,Female,Employee,88
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Not Stated,Female,Own account holder,48
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Not Stated,Female,Unpaid family worker,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Not Stated,Female,Not stated,72
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Armed Forces,Male,Employer,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Armed Forces,Male,Employee,42
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Armed Forces,Male,Own account holder,8
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Armed Forces,Male,Unpaid family worker,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Armed Forces,Male,Not stated,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Managers,Male,Employer,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Managers,Male,Employee,113
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Managers,Male,Own account holder,212
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Managers,Male,Unpaid family worker,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Managers,Male,Not stated,8
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Professionals,Male,Employer,16
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Professionals,Male,Employee,1614
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Professionals,Male,Own account holder,106
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Professionals,Male,Unpaid family worker,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Professionals,Male,Not stated,48
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Technicians and associate Prof.,Male,Employer,25
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Technicians and associate Prof.,Male,Employee,384
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Technicians and associate Prof.,Male,Own account holder,75
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Technicians and associate Prof.,Male,Unpaid family worker,8
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Technicians and associate Prof.,Male,Not stated,16
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Office assistance,Male,Employer,25
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Office assistance,Male,Employee,405
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Office assistance,Male,Own account holder,8
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Office assistance,Male,Unpaid family worker,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Office assistance,Male,Not stated,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Service & sale workers,Male,Employer,16
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Service & sale workers,Male,Employee,513
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Service & sale workers,Male,Own account holder,1955
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Service & sale workers,Male,Unpaid family worker,40
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Service & sale workers,Male,Not stated,32
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,"Skilled agri.,forestry & fishery workers",Male,Employer,194
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,"Skilled agri.,forestry & fishery workers",Male,Employee,716
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,"Skilled agri.,forestry & fishery workers",Male,Own account holder,18856
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,"Skilled agri.,forestry & fishery workers",Male,Unpaid family worker,170
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,"Skilled agri.,forestry & fishery workers",Male,Not stated,416
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Craft and related trades workers,Male,Employer,49
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Craft and related trades workers,Male,Employee,3527
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Craft and related trades workers,Male,Own account holder,948
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Craft and related trades workers,Male,Unpaid family worker,7
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Craft and related trades workers,Male,Not stated,130
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Plant & machine operators & assemblers,Male,Employer,17
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Plant & machine operators & assemblers,Male,Employee,558
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Plant & machine operators & assemblers,Male,Own account holder,74
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Plant & machine operators & assemblers,Male,Unpaid family worker,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Plant & machine operators & assemblers,Male,Not stated,8
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Elementary Occupations,Male,Employer,25
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Elementary Occupations,Male,Employee,1596
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Elementary Occupations,Male,Own account holder,527
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Elementary Occupations,Male,Unpaid family worker,41
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Elementary Occupations,Male,Not stated,57
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Not Stated,Male,Employer,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Not Stated,Male,Employee,310
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Not Stated,Male,Own account holder,48
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Not Stated,Male,Unpaid family worker,7
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Not Stated,Male,Not stated,103
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Armed Forces,Female,Employer,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Armed Forces,Female,Employee,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Armed Forces,Female,Own account holder,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Armed Forces,Female,Unpaid family worker,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Armed Forces,Female,Not stated,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Managers,Female,Employer,8
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Managers,Female,Employee,40
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Managers,Female,Own account holder,176
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Managers,Female,Unpaid family worker,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Managers,Female,Not stated,8
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Professionals,Female,Employer,32
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Professionals,Female,Employee,1043
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Professionals,Female,Own account holder,40
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Professionals,Female,Unpaid family worker,8
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Professionals,Female,Not stated,16
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Technicians and associate Prof.,Female,Employer,16
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Technicians and associate Prof.,Female,Employee,120
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Technicians and associate Prof.,Female,Own account holder,16
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Technicians and associate Prof.,Female,Unpaid family worker,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Technicians and associate Prof.,Female,Not stated,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Office assistance,Female,Employer,8
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Office assistance,Female,Employee,144
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Office assistance,Female,Own account holder,16
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Office assistance,Female,Unpaid family worker,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Office assistance,Female,Not stated,8
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Service & sale workers,Female,Employer,15
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Service & sale workers,Female,Employee,104
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Service & sale workers,Female,Own account holder,1480
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Service & sale workers,Female,Unpaid family worker,56
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Service & sale workers,Female,Not stated,72
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,"Skilled agri.,forestry & fishery workers",Female,Employer,304
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,"Skilled agri.,forestry & fishery workers",Female,Employee,654
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,"Skilled agri.,forestry & fishery workers",Female,Own account holder,39071
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,"Skilled agri.,forestry & fishery workers",Female,Unpaid family worker,873
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,"Skilled agri.,forestry & fishery workers",Female,Not stated,924
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Craft and related trades workers,Female,Employer,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Craft and related trades workers,Female,Employee,414
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Craft and related trades workers,Female,Own account holder,563
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Craft and related trades workers,Female,Unpaid family worker,32
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Craft and related trades workers,Female,Not stated,24
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Plant & machine operators & assemblers,Female,Employer,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Plant & machine operators & assemblers,Female,Employee,16
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Plant & machine operators & assemblers,Female,Own account holder,48
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Plant & machine operators & assemblers,Female,Unpaid family worker,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Plant & machine operators & assemblers,Female,Not stated,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Elementary Occupations,Female,Employer,8
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Elementary Occupations,Female,Employee,1249
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Elementary Occupations,Female,Own account holder,2729
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Elementary Occupations,Female,Unpaid family worker,88
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Elementary Occupations,Female,Not stated,120
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Not Stated,Female,Employer,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Not Stated,Female,Employee,97
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Not Stated,Female,Own account holder,8
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Not Stated,Female,Unpaid family worker,8
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Not Stated,Female,Not stated,23
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Armed Forces,Male,Employer,1
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Armed Forces,Male,Employee,89
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Armed Forces,Male,Own account holder,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Armed Forces,Male,Unpaid family worker,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Armed Forces,Male,Not stated,4
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Managers,Male,Employer,23
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Managers,Male,Employee,130
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Managers,Male,Own account holder,274
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Managers,Male,Unpaid family worker,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Managers,Male,Not stated,35
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Professionals,Male,Employer,19
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Professionals,Male,Employee,2296
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Professionals,Male,Own account holder,86
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Professionals,Male,Unpaid family worker,8
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Professionals,Male,Not stated,70
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Technicians and associate Prof.,Male,Employer,30
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Technicians and associate Prof.,Male,Employee,583
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Technicians and associate Prof.,Male,Own account holder,110
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Technicians and associate Prof.,Male,Unpaid family worker,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Technicians and associate Prof.,Male,Not stated,46
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Office assistance,Male,Employer,1
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Office assistance,Male,Employee,722
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Office assistance,Male,Own account holder,62
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Office assistance,Male,Unpaid family worker,8
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Office assistance,Male,Not stated,40
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Service & sale workers,Male,Employer,50
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Service & sale workers,Male,Employee,605
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Service & sale workers,Male,Own account holder,2335
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Service & sale workers,Male,Unpaid family worker,18
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Service & sale workers,Male,Not stated,140
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,"Skilled agri.,forestry & fishery workers",Male,Employer,211
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,"Skilled agri.,forestry & fishery workers",Male,Employee,1286
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,"Skilled agri.,forestry & fishery workers",Male,Own account holder,23507
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,"Skilled agri.,forestry & fishery workers",Male,Unpaid family worker,157
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,"Skilled agri.,forestry & fishery workers",Male,Not stated,676
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Craft and related trades workers,Male,Employer,39
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Craft and related trades workers,Male,Employee,4038
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Craft and related trades workers,Male,Own account holder,1133
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Craft and related trades workers,Male,Unpaid family worker,24
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Craft and related trades workers,Male,Not stated,149
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Plant & machine operators & assemblers,Male,Employer,23
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Plant & machine operators & assemblers,Male,Employee,358
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Plant & machine operators & assemblers,Male,Own account holder,272
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Plant & machine operators & assemblers,Male,Unpaid family worker,3
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Plant & machine operators & assemblers,Male,Not stated,37
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Elementary Occupations,Male,Employer,37
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Elementary Occupations,Male,Employee,2305
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Elementary Occupations,Male,Own account holder,508
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Elementary Occupations,Male,Unpaid family worker,34
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Elementary Occupations,Male,Not stated,116
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Not Stated,Male,Employer,20
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Not Stated,Male,Employee,405
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Not Stated,Male,Own account holder,124
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Not Stated,Male,Unpaid family worker,25
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Not Stated,Male,Not stated,101
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Armed Forces,Female,Employer,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Armed Forces,Female,Employee,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Armed Forces,Female,Own account holder,0
